,block,block_group,census_tract,american_indian_and_alaska_native,asian,black_or_african_american,hispanic_or_latino,native_hawaiian_and_other_pacific_islander,one_race_total,some_other_race,total_population,total_population_not_hispanic_or_latino,two_or_more_races,white
0,1000,1,010100,0,0,0,0,0,0,0,0,0,0,0
1,1001,1,010100,0,4,3,1,0,44,1,44,43,0,36
2,1002,1,010100,0,0,0,0,0,0,0,0,0,0,0
3,1003,1,010100,0,0,0,0,0,0,0,0,0,0,0
4,1004,1,010100,0,0,1,0,0,1,0,1,1,0,0
5,1005,1,010100,0,0,0,0,0,0,0,0,0,0,0
6,1006,1,010100,0,0,0,0,0,2,0,2,2,0,2
7,1007,1,010100,0,0,0,0,0,0,0,0,0,0,0
8,1008,1,010100,0,0,0,0,0,0,0,0,0,0,0
9,1009,1,010100,0,0,0,0,0,1,0,1,1,0,1
10,1010,1,010100,0,0,0,0,0,1,0,1,1,0,1
11,1011,1,010100,0,1,0,0,0,1,0,1,1,0,0
12,1012,1,010100,0,0,0,0,0,0,0,0,0,0,0
13,1013,1,010100,0,0,0,0,0,0,0,0,0,0,0
14,1014,1,010100,0,0,0,0,0,0,0,0,0,0,0
15,1015,1,010100,0,0,0,0,0,0,0,0,0,0,0
16,1016,1,010100,0,0,0,0,0,0,0,0,0,0,0
17,1017,1,010100,1,64,7,8,1,199,3,200,192,1,123
18,1018,1,010100,0,0,0,0,0,1,0,1,1,0,1
19,1019,1,010100,1,101,13,32,0,377,7,389,357,12,255
20,1020,1,010100,0,19,1,8,0,91,3,93,85,2,68
21,1021,1,010100,0,4,4,0,0,22,0,24,24,2,14
22,1022,1,010100,0,0,0,0,0,0,0,0,0,0,0
23,1023,1,010100,0,0,0,1,0,1,1,1,0,0,0
24,1024,1,010100,0,0,0,0,0,0,0,0,0,0,0
25,1025,1,010100,0,0,0,0,0,0,0,0,0,0,0
26,1026,1,010100,0,0,0,0,0,0,0,0,0,0,0
27,1027,1,010100,0,0,0,0,0,1,0,1,1,0,1
28,2000,2,010100,0,0,0,0,0,1,0,1,1,0,1
29,2001,2,010100,0,0,0,0,0,0,0,0,0,0,0
30,2002,2,010100,0,224,9,31,0,399,8,410,379,11,158
31,2003,2,010100,1,39,3,15,1,151,4,158,143,7,103
32,2004,2,010100,1,116,9,18,0,251,2,264,246,13,123
33,2005,2,010100,1,21,2,7,0,77,4,79,72,2,49
34,2006,2,010100,0,323,108,74,20,578,52,599,525,21,75
35,2007,2,010100,0,233,84,36,0,402,14,430,394,28,71
36,2008,2,010100,0,1,0,3,0,19,2,19,16,0,16
37,2009,2,010100,0,4,0,0,0,37,1,38,38,1,32
38,2010,2,010100,0,62,3,10,0,276,4,281,271,5,207
39,2011,2,010100,1,6,0,3,0,58,1,61,58,3,50
40,2012,2,010100,0,15,0,1,0,43,0,43,42,0,28
41,2013,2,010100,0,10,0,2,0,90,0,93,91,3,80
42,2014,2,010100,0,3,3,3,0,82,1,85,82,3,75
43,2015,2,010100,0,9,1,5,1,43,0,44,39,1,32
44,2016,2,010100,0,0,0,0,0,0,0,0,0,0,0
45,2017,2,010100,0,54,5,18,0,225,3,244,226,19,163
46,2018,2,010100,1,32,0,10,0,127,1,131,121,4,93
47,2019,2,010100,0,0,0,0,0,0,0,0,0,0,0
48,1000,1,010200,0,0,0,0,0,0,0,0,0,0,0
49,1001,1,010200,0,0,0,0,0,0,0,0,0,0,0
50,1002,1,010200,0,0,0,0,0,0,0,0,0,0,0
51,1003,1,010200,0,0,0,0,0,0,0,0,0,0,0
52,1004,1,010200,0,0,0,0,0,0,0,0,0,0,0
53,1005,1,010200,0,0,0,0,0,0,0,0,0,0,0
54,1006,1,010200,0,0,0,0,0,2,0,2,2,0,2
55,1007,1,010200,0,0,1,0,0,1,0,1,1,0,0
56,1008,1,010200,0,18,0,9,0,101,1,103,94,2,82
57,1009,1,010200,0,0,0,0,0,0,0,0,0,0,0
58,1010,1,010200,0,12,0,6,0,77,0,83,77,6,65
59,1011,1,010200,1,23,0,9,0,160,2,173,164,13,134
60,1012,1,010200,0,18,0,10,0,160,2,161,151,1,140
61,1013,1,010200,0,8,0,4,0,91,0,98,94,7,83
62,1014,1,010200,0,0,0,0,0,0,0,0,0,0,0
63,1015,1,010200,0,30,1,3,0,199,2,199,196,0,166
64,1016,1,010200,0,9,0,6,0,107,0,112,106,5,98
65,1017,1,010200,0,2,2,10,0,103,0,105,95,2,99
66,1018,1,010200,0,6,1,3,0,100,2,100,97,0,91
67,1019,1,010200,0,0,0,0,0,0,0,0,0,0,0
68,1020,1,010200,0,11,3,5,2,214,0,217,212,3,198
69,2000,2,010200,0,18,2,11,0,180,2,185,174,5,158
70,2001,2,010200,0,18,2,10,0,199,0,202,192,3,179
71,2002,2,010200,2,16,3,11,0,227,0,236,225,9,206
72,2003,2,010200,0,24,0,6,0,201,1,211,205,10,176
73,2004,2,010200,0,16,1,15,0,197,1,203,188,6,179
74,2005,2,010200,0,23,2,17,1,292,3,299,282,7,263
75,2006,2,010200,0,0,0,0,0,0,0,0,0,0,0
76,2007,2,010200,1,16,2,11,0,185,1,191,180,6,165
77,2008,2,010200,0,0,0,0,0,0,0,0,0,0,0
78,2009,2,010200,1,41,4,25,2,401,3,412,387,11,350
79,2010,2,010200,0,0,0,0,0,0,0,0,0,0,0
80,3000,3,010200,0,0,0,0,0,0,0,0,0,0,0
81,3001,3,010200,1,25,0,3,1,96,0,99,96,3,69
82,3002,3,010200,0,0,0,0,0,0,0,0,0,0,0
83,3003,3,010200,0,34,1,21,0,260,3,277,256,17,222
84,3004,3,010200,0,19,1,4,0,140,0,143,139,3,120
85,3005,3,010200,0,0,0,0,0,0,0,0,0,0,0
86,3006,3,010200,0,0,0,0,0,0,0,0,0,0,0
87,3007,3,010200,0,9,1,2,0,92,0,101,99,9,82
88,3008,3,010200,0,23,1,8,0,206,4,216,208,10,178
89,3009,3,010200,0,0,0,2,0,14,1,14,12,0,13
90,3010,3,010200,0,0,0,0,0,0,0,0,0,0,0
91,1000,1,010300,0,4,0,0,0,26,0,29,29,3,22
92,1001,1,010300,0,37,0,3,0,96,1,99,96,3,58
93,1002,1,010300,0,0,0,0,0,0,0,0,0,0,0
94,1003,1,010300,0,7,0,4,0,60,2,62,58,2,51
95,1004,1,010300,0,10,0,3,0,47,0,52,49,5,37
96,1005,1,010300,0,0,0,0,0,0,0,0,0,0,0
97,1006,1,010300,0,1,0,7,0,76,1,79,72,3,74
98,1007,1,010300,1,79,2,11,0,212,3,214,203,2,127
99,1008,1,010300,1,29,7,16,2,102,6,111,95,9,57
100,1009,1,010300,0,6,0,3,0,47,1,49,46,2,40
101,1010,1,010300,0,54,0,5,0,113,0,114,109,1,59
102,1011,1,010300,0,55,3,23,1,220,8,230,207,10,153
103,1012,1,010300,0,142,0,4,0,292,1,296,292,4,149
104,1013,1,010300,1,17,3,5,0,198,1,202,197,4,176
105,2000,2,010300,0,99,0,16,1,193,11,195,179,2,82
106,2001,2,010300,0,69,5,12,0,141,1,146,134,5,66
107,2002,2,010300,0,84,2,1,0,125,0,129,128,4,39
108,2003,2,010300,1,24,1,9,0,197,2,197,188,0,169
109,2004,2,010300,0,70,1,9,0,161,4,168,159,7,86
110,2005,2,010300,0,150,0,13,0,301,2,311,298,10,149
111,3000,3,010300,0,116,1,16,0,268,6,287,271,19,145
112,3001,3,010300,0,18,0,3,0,109,0,111,108,2,91
113,3002,3,010300,0,39,3,14,0,195,3,198,184,3,150
114,3003,3,010300,0,7,0,0,0,36,0,36,36,0,29
115,3004,3,010300,0,13,0,2,0,42,2,42,40,0,27
116,3005,3,010300,0,17,5,4,0,167,0,168,164,1,145
117,3006,3,010300,1,13,1,6,0,127,2,133,127,6,110
118,3007,3,010300,0,16,2,9,0,188,1,194,185,6,169
119,1000,1,010400,3,168,2,15,0,281,7,292,277,11,101
120,1001,1,010400,0,79,5,3,0,175,0,182,179,7,91
121,1002,1,010400,0,0,0,0,0,0,0,0,0,0,0
122,1003,1,010400,0,0,0,0,0,0,0,0,0,0,0
123,1004,1,010400,0,35,0,1,0,49,2,49,48,0,12
124,1005,1,010400,0,74,1,6,0,107,0,107,101,0,32
125,2000,2,010400,0,45,0,24,0,244,5,262,238,18,194
126,2001,2,010400,0,66,4,10,0,259,1,280,270,21,188
127,2002,2,010400,0,113,2,12,1,302,5,311,299,9,181
128,2003,2,010400,0,45,5,17,0,248,4,255,238,7,194
129,2004,2,010400,0,80,5,7,0,211,1,211,204,0,125
130,2005,2,010400,0,65,2,16,0,171,1,176,160,5,103
131,2006,2,010400,0,55,1,4,0,125,1,130,126,5,68
132,2007,2,010400,0,3,0,2,0,26,4,27,25,1,19
133,3000,3,010400,0,82,8,8,0,296,3,302,294,6,203
134,3001,3,010400,0,7,0,0,0,64,0,69,69,5,57
135,3002,3,010400,0,5,2,11,0,129,1,141,130,12,121
136,3003,3,010400,0,0,0,1,0,3,1,3,2,0,2
137,3004,3,010400,0,0,0,0,0,0,0,0,0,0,0
138,3005,3,010400,0,4,0,3,4,65,1,67,64,2,56
139,3006,3,010400,1,3,0,2,1,109,0,110,108,1,104
140,3007,3,010400,0,2,2,3,0,67,0,69,66,2,63
141,3008,3,010400,0,0,0,0,0,0,0,0,0,0,0
142,3009,3,010400,0,4,0,0,0,24,0,24,24,0,20
143,3010,3,010400,0,18,0,6,0,90,3,93,87,3,69
144,3011,3,010400,0,15,0,8,0,88,0,88,80,0,73
145,3012,3,010400,0,65,0,12,1,183,0,189,177,6,117
146,3013,3,010400,0,37,2,18,0,226,1,232,214,6,186
147,3014,3,010400,0,6,0,3,0,59,0,62,59,3,53
148,4000,4,010400,0,4,1,4,0,73,1,75,71,2,67
149,4001,4,010400,0,22,0,4,0,111,0,114,110,3,89
150,4002,4,010400,0,61,3,9,0,159,0,164,155,5,95
151,4003,4,010400,0,69,0,22,0,304,13,310,288,6,222
152,4004,4,010400,0,38,1,8,0,148,0,151,143,3,109
153,1000,1,010500,0,0,0,0,0,0,0,0,0,0,0
154,1001,1,010500,0,0,0,0,0,0,0,0,0,0,0
155,1002,1,010500,0,0,0,0,0,0,0,0,0,0,0
156,1003,1,010500,0,0,0,0,0,0,0,0,0,0,0
157,1004,1,010500,0,0,0,0,0,0,0,0,0,0,0
158,1005,1,010500,0,0,0,1,0,1,1,1,0,0,0
159,1006,1,010500,0,43,1,9,0,254,2,262,253,8,208
160,1007,1,010500,0,45,3,9,0,240,4,242,233,2,188
161,1008,1,010500,0,0,0,0,0,0,0,0,0,0,0
162,1009,1,010500,0,0,0,1,0,1,0,1,0,0,1
163,1010,1,010500,0,0,0,0,0,0,0,0,0,0,0
164,1011,1,010500,0,0,0,0,0,0,0,0,0,0,0
165,1012,1,010500,0,0,0,0,0,1,0,1,1,0,1
166,1013,1,010500,0,0,0,0,0,0,0,0,0,0,0
167,1014,1,010500,0,0,0,0,0,0,0,0,0,0,0
168,1015,1,010500,0,0,0,0,0,0,0,0,0,0,0
169,1016,1,010500,0,0,0,0,0,0,0,0,0,0,0
170,1017,1,010500,0,0,0,0,0,0,0,0,0,0,0
171,1018,1,010500,0,0,0,0,0,0,0,0,0,0,0
172,1019,1,010500,0,0,0,0,0,1,0,1,1,0,1
173,1020,1,010500,0,0,0,0,0,0,0,0,0,0,0
174,1021,1,010500,0,0,0,0,0,0,0,0,0,0,0
175,1022,1,010500,0,207,5,33,0,250,11,257,224,7,27
176,1023,1,010500,0,0,0,0,0,0,0,0,0,0,0
177,1024,1,010500,0,2,3,6,0,30,2,32,26,2,23
178,1025,1,010500,0,65,5,12,0,145,3,147,135,2,72
179,1026,1,010500,0,0,0,0,0,0,0,0,0,0,0
180,1027,1,010500,0,0,0,0,0,0,0,0,0,0,0
181,2000,2,010500,0,0,0,0,0,0,0,0,0,0,0
182,2001,2,010500,0,0,0,0,0,0,0,0,0,0,0
183,2002,2,010500,0,0,0,0,0,0,0,0,0,0,0
184,2003,2,010500,0,0,0,0,0,0,0,0,0,0,0
185,2004,2,010500,0,37,2,6,0,142,0,145,139,3,103
186,2005,2,010500,0,20,0,0,0,57,0,57,57,0,37
187,2006,2,010500,0,0,0,0,0,0,0,0,0,0,0
188,2007,2,010500,0,0,0,0,0,2,0,2,2,0,2
189,2008,2,010500,0,111,13,25,0,449,4,461,436,12,321
190,2009,2,010500,0,5,0,5,1,21,0,21,16,0,15
191,2010,2,010500,0,0,1,0,0,1,0,1,1,0,0
192,2011,2,010500,0,1,0,0,0,2,0,2,2,0,1
193,2012,2,010500,2,241,12,47,0,1014,13,1037,990,23,746
194,2013,2,010500,0,0,0,0,0,1,0,1,1,0,1
195,2014,2,010500,0,0,0,0,0,1,0,1,1,0,1
196,2015,2,010500,0,0,0,0,1,3,0,3,3,0,2
197,2016,2,010500,0,1,0,0,0,2,0,2,2,0,1
198,2017,2,010500,0,0,0,0,0,0,0,0,0,0,0
199,2018,2,010500,1,0,1,1,0,6,0,6,5,0,4
200,2019,2,010500,0,0,0,0,0,0,0,0,0,0,0
201,2020,2,010500,0,0,0,0,0,1,0,2,2,1,1
202,2021,2,010500,0,0,0,0,0,0,0,0,0,0,0
203,1000,1,010600,1,8,1,3,0,76,1,78,75,2,65
204,1001,1,010600,0,29,3,5,0,94,1,98,93,4,61
205,1002,1,010600,0,108,0,8,1,215,1,225,217,10,105
206,1003,1,010600,1,112,3,8,0,190,2,199,191,9,72
207,1004,1,010600,0,100,1,14,0,152,1,157,143,5,50
208,1005,1,010600,0,72,0,4,0,120,0,120,116,0,48
209,1006,1,010600,0,143,5,10,0,306,0,315,305,9,158
210,1007,1,010600,1,12,0,7,0,70,5,73,66,3,52
211,2000,2,010600,0,51,2,4,0,93,2,98,94,5,38
212,2001,2,010600,0,65,0,6,0,94,1,98,92,4,28
213,2002,2,010600,1,101,20,33,0,337,14,352,319,15,201
214,2003,2,010600,0,50,2,3,0,72,2,75,72,3,18
215,2004,2,010600,0,123,2,9,0,172,2,178,169,6,45
216,2005,2,010600,0,78,2,36,0,141,29,145,109,4,32
217,2006,2,010600,0,134,1,3,0,139,0,139,136,0,4
218,2007,2,010600,0,168,0,1,0,174,0,176,175,2,6
219,2008,2,010600,0,0,0,0,0,0,0,0,0,0,0
220,3000,3,010600,0,181,2,3,0,234,2,236,233,2,49
221,3001,3,010600,0,64,1,11,0,136,2,143,132,7,69
222,3002,3,010600,0,0,0,0,0,0,0,0,0,0,0
223,3003,3,010600,0,1,0,0,0,2,0,2,2,0,1
224,3004,3,010600,0,73,2,5,0,152,2,158,153,6,75
225,3005,3,010600,0,162,1,6,0,203,1,209,203,6,39
226,3006,3,010600,0,48,0,2,0,66,1,70,68,4,17
227,3007,3,010600,0,115,1,6,0,159,0,162,156,3,43
228,3008,3,010600,0,51,0,28,0,87,13,89,61,2,23
229,3009,3,010600,0,24,0,4,0,39,2,40,36,1,13
230,3010,3,010600,0,90,6,30,0,172,15,179,149,7,61
231,3011,3,010600,2,6,4,5,0,80,4,80,75,0,64
232,1000,1,010700,0,0,0,0,0,0,0,0,0,0,0
233,1001,1,010700,0,18,0,6,1,66,1,66,60,0,46
234,1002,1,010700,1,34,0,0,0,61,0,61,61,0,26
235,1003,1,010700,0,96,2,12,0,203,6,208,196,5,99
236,1004,1,010700,0,0,1,0,0,1,0,1,1,0,0
237,1005,1,010700,2,53,5,28,0,199,15,205,177,6,124
238,1006,1,010700,0,87,0,9,0,158,2,164,155,6,69
239,1007,1,010700,0,62,2,6,0,162,2,166,160,4,96
240,2000,2,010700,0,21,0,11,0,31,8,34,23,3,2
241,2001,2,010700,0,329,4,7,0,395,2,398,391,3,60
242,2002,2,010700,2,303,2,19,0,433,4,448,429,15,122
243,2003,2,010700,0,321,2,6,0,388,1,395,389,7,64
244,3000,3,010700,0,0,0,0,0,0,0,0,0,0,0
245,3001,3,010700,0,30,0,4,0,38,0,38,34,0,8
246,3002,3,010700,0,209,0,0,0,209,0,209,209,0,0
247,3003,3,010700,0,345,2,0,0,355,0,363,363,8,8
248,3004,3,010700,2,430,40,24,0,495,3,510,486,15,20
249,3005,3,010700,0,87,0,2,0,91,0,92,90,1,4
250,3006,3,010700,0,176,0,2,0,197,1,200,198,3,20
251,3007,3,010700,0,0,0,0,0,0,0,0,0,0,0
252,3008,3,010700,0,33,0,0,0,36,0,36,36,0,3
253,3009,3,010700,0,164,16,2,0,222,0,224,222,2,42
254,4000,4,010700,5,664,3,14,0,717,5,727,713,10,40
255,4001,4,010700,0,704,5,13,1,764,3,768,755,4,51
256,4002,4,010700,0,274,1,2,0,279,0,279,277,0,4
257,1000,1,010800,0,24,4,2,0,155,0,157,155,2,127
258,1001,1,010800,0,32,0,8,0,288,4,293,285,5,252
259,1002,1,010800,0,40,5,2,0,153,0,153,151,0,108
260,1003,1,010800,0,30,0,1,0,114,1,123,122,9,83
261,1004,1,010800,1,73,4,6,0,153,0,155,149,2,75
262,1005,1,010800,0,155,3,9,0,309,2,318,309,9,149
263,2000,2,010800,0,0,0,0,0,0,0,0,0,0,0
264,2001,2,010800,0,0,0,0,0,0,0,0,0,0,0
265,2002,2,010800,0,1,0,0,0,18,0,18,18,0,17
266,2003,2,010800,0,3,2,5,0,68,2,68,63,0,61
267,2004,2,010800,0,45,1,5,0,106,1,109,104,3,59
268,2005,2,010800,0,44,2,7,0,109,2,115,108,6,61
269,2006,2,010800,0,357,0,8,0,382,0,385,377,3,25
270,2007,2,010800,1,25,0,6,0,71,5,71,65,0,40
271,2008,2,010800,0,69,0,3,0,119,0,122,119,3,50
272,2009,2,010800,0,105,1,7,0,166,1,168,161,2,59
273,2010,2,010800,0,136,0,8,0,185,6,188,180,3,43
274,2011,2,010800,0,189,1,8,0,333,3,345,337,12,140
275,3000,3,010800,0,196,0,4,1,241,1,244,240,3,43
276,3001,3,010800,1,108,4,7,1,205,0,212,205,7,91
277,3002,3,010800,1,166,4,25,0,378,7,388,363,10,200
278,3003,3,010800,1,78,3,21,0,312,4,332,311,20,226
279,3004,3,010800,0,109,4,10,0,231,0,237,227,6,118
280,3005,3,010800,0,146,5,14,0,367,3,377,363,10,213
281,1000,1,010900,1,18,3,12,0,245,2,252,240,7,221
282,1001,1,010900,1,44,3,11,0,235,4,248,237,13,183
283,1002,1,010900,0,8,0,2,0,27,0,29,27,2,19
284,1003,1,010900,0,15,0,3,0,45,0,50,47,5,30
285,1004,1,010900,1,30,3,25,0,242,5,244,219,2,203
286,1005,1,010900,0,30,0,3,0,78,3,85,82,7,45
287,1006,1,010900,0,13,0,3,0,54,0,59,56,5,41
288,1007,1,010900,0,7,0,0,0,38,0,41,41,3,31
289,2000,2,010900,1,62,0,11,0,290,0,294,283,4,227
290,2001,2,010900,1,65,0,12,0,275,8,279,267,4,201
291,2002,2,010900,0,36,3,13,0,298,2,309,296,11,257
292,2003,2,010900,1,36,2,14,0,224,3,228,214,4,182
293,2004,2,010900,0,92,3,19,0,240,10,246,227,6,135
294,2005,2,010900,0,99,5,18,0,274,0,290,272,16,170
295,3000,3,010900,0,27,7,15,0,257,6,262,247,5,217
296,3001,3,010900,0,28,1,27,0,212,8,218,191,6,175
297,3002,3,010900,0,1,0,4,0,16,0,17,13,1,15
298,3003,3,010900,0,37,3,24,1,304,10,312,288,8,253
299,3004,3,010900,0,35,2,19,0,260,3,269,250,9,220
300,3005,3,010900,0,0,0,0,0,0,0,0,0,0,0
301,3006,3,010900,0,32,0,18,0,197,7,206,188,9,158
302,3007,3,010900,0,49,2,5,0,58,0,64,59,6,7
303,3008,3,010900,0,202,4,8,0,315,3,318,310,3,106
304,3009,3,010900,0,0,0,0,0,0,0,0,0,0,0
305,1000,1,011000,0,3,0,0,0,3,0,3,3,0,0
306,1001,1,011000,0,15,1,1,0,21,1,21,20,0,4
307,1002,1,011000,0,2,0,2,0,2,0,5,3,3,0
308,1003,1,011000,0,39,6,6,0,147,1,151,145,4,101
309,1004,1,011000,1,53,2,1,0,130,1,137,136,7,73
310,1005,1,011000,0,62,0,6,0,110,4,115,109,5,44
311,1006,1,011000,0,6,0,1,0,14,0,14,13,0,8
312,1007,1,011000,2,43,18,11,2,166,2,173,162,7,99
313,1008,1,011000,0,0,0,0,0,0,0,0,0,0,0
314,1009,1,011000,0,32,2,17,0,161,7,171,154,10,120
315,1010,1,011000,0,0,0,0,0,0,0,0,0,0,0
316,1011,1,011000,0,26,0,11,0,73,8,77,66,4,39
317,2000,2,011000,0,405,13,18,0,545,7,557,539,12,120
318,2001,2,011000,0,184,0,17,0,299,8,301,284,2,107
319,2002,2,011000,0,146,0,13,0,245,2,250,237,5,97
320,2003,2,011000,0,18,1,10,0,148,1,148,138,0,128
321,2004,2,011000,0,0,0,0,0,0,0,0,0,0,0
322,2005,2,011000,0,158,3,5,0,266,2,279,274,13,103
323,2006,2,011000,0,149,3,15,0,384,4,395,380,11,228
324,3000,3,011000,0,258,5,17,0,494,5,508,491,14,226
325,3001,3,011000,1,118,7,15,1,373,2,394,379,21,244
326,3002,3,011000,0,194,3,14,0,330,4,340,326,10,129
327,3003,3,011000,1,260,5,17,0,434,4,442,425,8,164
328,3004,3,011000,1,28,4,8,0,142,1,148,140,6,108
329,3005,3,011000,0,0,0,0,0,0,0,0,0,0,0
330,3006,3,011000,0,53,5,21,1,186,10,198,177,12,117
331,3007,3,011000,0,0,0,0,0,0,0,0,0,0,0
332,1000,1,011100,2,143,7,21,2,396,3,415,394,19,239
333,1001,1,011100,0,234,10,33,0,471,12,490,457,19,215
334,1002,1,011100,2,122,9,56,2,398,12,417,361,19,251
335,1003,1,011100,0,234,3,33,0,343,14,349,316,6,92
336,1004,1,011100,0,0,0,0,0,0,0,0,0,0,0
337,1005,1,011100,1,102,16,25,2,339,5,353,328,14,213
338,1006,1,011100,0,27,8,14,1,136,3,142,128,6,97
339,1007,1,011100,0,0,0,0,0,0,0,0,0,0,0
340,2000,2,011100,0,157,13,44,1,435,15,447,403,12,249
341,2001,2,011100,1,191,9,62,0,516,16,525,463,9,299
342,2002,2,011100,0,134,8,20,0,350,3,364,344,14,205
343,2003,2,011100,5,159,6,54,0,400,18,424,370,24,212
344,2004,2,011100,0,126,14,10,1,235,3,239,229,4,91
345,2005,2,011100,0,16,1,10,1,84,5,85,75,1,61
346,2006,2,011100,0,0,0,0,0,0,0,0,0,0,0
