OBJECTID,precinct_id,num_blocks,total_population,hispanic_or_latino,NeighRep,SupDist,DISTRICT,CongDist,BARTDist,white,two_or_more_races,one_race_total,AssemDist,PREC_2010,native_hawaiian_and_other_pacif,PREC_2012,asian,total_population_not_hispanic_o,black_or_african_american,american_indian_and_alaska_nati,some_other_race
1,0,141,12395.000000000000000,2090.000000000000000,NA,1,01,12,8,5705.000000000000000,755.000000000000000,11640.000000000000000,19,GG Park,253.000000000000000, ,2926.000000000000000,10305.000000000000000,1809.000000000000000,60.000000000000000,887.000000000000000
2,1101,17,1046.000000000000000,261.000000000000000,EXCELSIOR,11,11,14,9,342.000000000000000,57.000000000000000,989.000000000000000,19,1101,0.000000000000000,1101,533.000000000000000,785.000000000000000,11.000000000000000,11.000000000000000,92.000000000000000
3,1102,23,1764.000000000000000,619.000000000000000,EXCELSIOR,11,11,14,9,704.000000000000000,96.000000000000000,1668.000000000000000,19,1104,1.000000000000000,1102,687.000000000000000,1145.000000000000000,37.000000000000000,7.000000000000000,232.000000000000000
4,1103,13,1630.000000000000000,480.000000000000000,EXCELSIOR,11,11,14,9,680.000000000000000,75.000000000000000,1555.000000000000000,19,1102,2.000000000000000,1103,687.000000000000000,1150.000000000000000,23.000000000000000,6.000000000000000,157.000000000000000
5,1104,6,898.000000000000000,284.000000000000000,EXCELSIOR,11,11,14,9,238.000000000000000,36.000000000000000,862.000000000000000,19,1105,0.000000000000000,1104,459.000000000000000,614.000000000000000,15.000000000000000,7.000000000000000,143.000000000000000
6,1105,14,1352.000000000000000,447.000000000000000,EXCELSIOR,11,11,14,9,425.000000000000000,64.000000000000000,1288.000000000000000,19,1105,4.000000000000000,1105,683.000000000000000,905.000000000000000,12.000000000000000,5.000000000000000,159.000000000000000
7,1106,11,1269.000000000000000,94.000000000000000,INGLESIDE,11,11,14,8,306.000000000000000,42.000000000000000,1227.000000000000000,19,1113,3.000000000000000,1106,708.000000000000000,1175.000000000000000,174.000000000000000,2.000000000000000,34.000000000000000
8,1107,8,1228.000000000000000,95.000000000000000,INGLESIDE,11,11,14,8,298.000000000000000,52.000000000000000,1176.000000000000000,19,1114,0.000000000000000,1107,590.000000000000000,1133.000000000000000,245.000000000000000,1.000000000000000,42.000000000000000
9,1108,11,1503.000000000000000,113.000000000000000,INGLESIDE,11,11,14,8,406.000000000000000,81.000000000000000,1422.000000000000000,19,1115,5.000000000000000,1108,665.000000000000000,1390.000000000000000,291.000000000000000,5.000000000000000,50.000000000000000
10,1109,7,1467.000000000000000,164.000000000000000,INGLESIDE,11,11,14,8,295.000000000000000,46.000000000000000,1421.000000000000000,19,1116,16.000000000000000,1109,806.000000000000000,1303.000000000000000,213.000000000000000,3.000000000000000,88.000000000000000
11,1111,9,2243.000000000000000,381.000000000000000,INGLESIDE,11,11,14,8,283.000000000000000,63.000000000000000,2180.000000000000000,19,1117,5.000000000000000,1111,1486.000000000000000,1862.000000000000000,181.000000000000000,3.000000000000000,222.000000000000000
12,1112,15,1536.000000000000000,167.000000000000000,INGLESIDE,11,11,14,8,189.000000000000000,31.000000000000000,1505.000000000000000,19,1118,9.000000000000000,1112,1055.000000000000000,1369.000000000000000,153.000000000000000,9.000000000000000,90.000000000000000
13,1113,13,1419.000000000000000,256.000000000000000,EXCELSIOR,11,11,14,9,269.000000000000000,52.000000000000000,1367.000000000000000,19,1119,1.000000000000000,1113,920.000000000000000,1163.000000000000000,14.000000000000000,15.000000000000000,148.000000000000000
14,1114,15,2053.000000000000000,757.000000000000000,EXCELSIOR,11,11,14,9,428.000000000000000,109.000000000000000,1944.000000000000000,19,1121,9.000000000000000,1114,981.000000000000000,1296.000000000000000,52.000000000000000,10.000000000000000,464.000000000000000
15,1115,14,1579.000000000000000,148.000000000000000,INGLESIDE,11,11,14,8,259.000000000000000,57.000000000000000,1522.000000000000000,19,1125,2.000000000000000,1115,922.000000000000000,1431.000000000000000,246.000000000000000,4.000000000000000,89.000000000000000
16,1116,10,1597.000000000000000,264.000000000000000,INGLESIDE,11,11,14,8,211.000000000000000,66.000000000000000,1531.000000000000000,19,1126,3.000000000000000,1116,765.000000000000000,1333.000000000000000,369.000000000000000,7.000000000000000,176.000000000000000
17,1117,7,1566.000000000000000,343.000000000000000,INGLESIDE,11,11,14,8,327.000000000000000,48.000000000000000,1518.000000000000000,19,1127,10.000000000000000,1117,701.000000000000000,1223.000000000000000,331.000000000000000,3.000000000000000,146.000000000000000
18,1118,11,1700.000000000000000,376.000000000000000,INGLESIDE,11,11,14,8,317.000000000000000,67.000000000000000,1633.000000000000000,19,1128,5.000000000000000,1118,737.000000000000000,1324.000000000000000,345.000000000000000,5.000000000000000,224.000000000000000
19,1119,13,1362.000000000000000,365.000000000000000,INGLESIDE,11,11,14,8,284.000000000000000,65.000000000000000,1297.000000000000000,19,1129,4.000000000000000,1119,603.000000000000000,997.000000000000000,187.000000000000000,10.000000000000000,209.000000000000000
20,1121,17,1052.000000000000000,211.000000000000000,EXCELSIOR,11,11,14,8,235.000000000000000,19.000000000000000,1033.000000000000000,19,1133,6.000000000000000,1121,669.000000000000000,841.000000000000000,13.000000000000000,2.000000000000000,108.000000000000000
21,1122,20,1278.000000000000000,248.000000000000000,EXCELSIOR,11,11,14,8,200.000000000000000,47.000000000000000,1231.000000000000000,19,1119,5.000000000000000,1122,850.000000000000000,1030.000000000000000,18.000000000000000,0.000000000000000,158.000000000000000
22,1123,7,1890.000000000000000,407.000000000000000,INGLESIDE,11,11,14,8,261.000000000000000,105.000000000000000,1785.000000000000000,19,1128,34.000000000000000,1123,980.000000000000000,1483.000000000000000,265.000000000000000,7.000000000000000,238.000000000000000
23,1124,15,1698.000000000000000,519.000000000000000,INGLESIDE,11,11,14,8,350.000000000000000,86.000000000000000,1612.000000000000000,19,1131,12.000000000000000,1124,798.000000000000000,1179.000000000000000,184.000000000000000,8.000000000000000,260.000000000000000
24,1125,39,2144.000000000000000,626.000000000000000,EXCELSIOR,11,11,14,8,412.000000000000000,80.000000000000000,2064.000000000000000,19,1132,1.000000000000000,1125,1196.000000000000000,1518.000000000000000,118.000000000000000,6.000000000000000,331.000000000000000
