precinctid,writein_bernard_bernie_sanders__tu,gary_johnson__bill_weld,writein_jerry_white__niles_niemuth,jill_stein__ajamu_baraka,writein_evan_mcmullin__nathan_johnso,hillary_clinton__tim_kaine,writein_laurence_kotlikoff__edward_l,writein,precincts,under_vote,ballots_cast,gloria_estela_la_riva__dennis_j_bank,over_vote,registration,writein_mike_maturen__juan_munoz,donald_j_trump__michael_r_pence
1101,2,9,0,9,2,359,0,3,1,6,446,4,1,586,0,51
1102,3,18,0,16,1,659,0,3,1,8,810,6,2,996,0,94
1103,3,13,0,20,0,640,0,11,1,10,781,3,1,971,0,80
1104,4,12,0,22,0,606,0,2,1,9,763,5,2,991,0,101
1106,5,9,0,23,1,472,0,4,1,13,600,2,0,808,0,71
1107,0,5,0,13,0,404,0,4,1,8,506,2,3,781,0,67
1108,3,10,0,22,0,622,0,3,1,8,744,2,1,951,0,73
1109,2,11,0,17,0,475,0,4,1,14,617,3,0,809,0,91
1111,6,12,0,25,0,566,0,0,1,15,717,6,4,1031,0,83
1112,3,10,0,11,0,464,0,3,1,9,557,5,4,765,0,48
1113,3,11,0,10,0,411,0,8,1,13,547,5,3,713,0,83
1114,3,4,0,21,0,592,0,2,1,21,741,2,4,971,0,92
1115,2,23,0,18,0,582,0,7,1,22,746,8,1,910,0,83
1116,4,14,0,14,0,520,0,4,1,14,636,6,1,913,0,59
1117,3,10,0,16,0,510,0,9,1,6,644,5,4,886,0,81
1118,6,5,0,17,1,634,0,2,1,12,776,11,1,1031,0,87
1119,4,8,0,6,0,492,0,3,1,5,587,3,5,783,0,61
1121,2,6,0,15,0,398,0,1,1,12,525,5,0,691,0,86
1122,2,8,0,9,0,352,0,3,1,16,482,5,1,658,0,86
1123,2,11,0,23,0,533,0,4,1,12,646,3,3,954,0,55
1124,0,9,0,21,0,456,0,6,1,6,556,3,2,831,0,53
1125,4,13,0,15,0,585,0,3,1,8,745,3,6,1029,0,108
1126,0,6,0,14,0,586,0,6,1,9,701,3,2,954,0,75
1127,4,13,0,8,0,522,0,8,1,12,685,6,1,911,0,111
1128,4,12,0,10,2,540,1,4,1,12,686,4,5,907,0,92
1129,5,17,0,13,0,544,0,3,1,8,703,2,8,951,0,103
1131,4,3,0,4,0,440,0,6,1,10,574,4,0,853,0,103
1132,3,7,0,15,0,548,0,6,1,12,721,6,4,982,0,120
1133,2,10,0,10,0,512,0,4,1,13,661,3,6,870,0,101
1134,2,9,0,9,0,464,0,6,1,15,593,7,1,793,0,80
1135,1,10,0,11,0,330,0,1,1,14,421,1,1,521,0,52
1136,5,7,0,8,1,518,0,5,1,7,669,5,0,857,0,113
1141,1,14,0,26,0,677,0,2,1,7,812,2,3,1047,0,80
1142,3,19,0,23,1,514,0,1,1,9,667,5,1,858,0,91
1143,7,11,0,17,0,644,0,5,1,8,801,11,4,1056,0,94
1144,3,9,0,10,0,578,0,6,1,6,713,6,0,928,0,95
1145,4,12,0,29,0,622,0,3,1,9,753,7,3,931,0,64
1146,8,9,0,26,0,624,0,12,1,9,791,8,1,1036,0,94
1147,2,15,0,19,0,577,0,5,1,18,734,7,5,927,0,86
1148,2,11,0,18,0,556,0,3,1,13,727,6,13,992,2,103
1149,4,15,0,21,2,590,0,6,1,4,747,13,3,950,0,89
1151,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1152,6,4,0,17,0,536,0,4,1,8,671,10,5,898,0,81
1153,3,16,0,21,0,580,0,4,1,12,749,6,4,961,0,103
1154,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7001,2,14,0,15,0,492,0,2,1,5,559,1,3,742,0,25
7002,2,21,0,24,0,859,0,7,1,8,997,5,1,1225,0,70
7003,5,17,0,20,0,728,0,4,1,9,834,2,0,927,0,49
7004,4,16,0,18,1,728,0,4,1,5,808,0,0,896,0,32
7005,2,13,0,13,0,688,0,2,1,6,755,3,1,853,0,27
7006,5,16,0,26,0,703,0,2,1,11,799,5,0,966,0,31
7007,0,18,0,15,0,796,0,4,1,2,870,3,0,987,0,32
7008,1,13,0,13,0,741,0,7,1,10,820,0,1,882,0,34
7009,1,21,0,22,0,648,0,3,1,5,750,4,1,931,0,45
7011,1,7,0,17,2,565,0,2,1,3,621,8,0,1063,0,16
7012,2,22,0,21,1,803,0,2,1,9,925,1,0,1034,0,64
7013,2,19,0,10,1,583,0,4,1,6,640,2,0,733,0,13
7014,8,17,0,22,0,839,0,4,1,9,928,3,0,1073,0,26
7015,0,1,0,8,0,65,0,1,1,0,81,2,0,113,0,4
7016,4,6,0,16,0,500,0,1,1,6,593,11,2,977,0,47
7017,4,5,0,8,1,404,0,2,1,7,469,6,2,786,0,30
7018,0,4,0,16,0,527,0,3,1,18,672,7,5,992,0,92
7019,1,11,0,17,0,590,0,2,1,10,696,12,3,945,0,50
7021,1,7,0,22,0,532,0,7,1,13,631,6,3,993,0,40
7022,5,4,0,19,0,587,0,2,1,5,667,3,3,1032,0,39
7023,2,5,0,6,1,585,0,4,1,15,671,6,4,938,0,43
7024,0,0,0,0,0,98,0,1,1,4,119,1,3,309,0,12
7025,2,1,0,8,0,241,0,1,1,0,266,2,3,505,0,8
7026,6,4,0,16,0,537,0,9,1,11,700,7,3,1022,0,107
7027,1,6,0,9,0,484,0,2,1,12,577,8,3,879,0,52
