precinctid,under_vote,precincts,kamala_d_harris,ballots_cast,over_vote,registration,loretta_l_sanchez
1101,41,1,300,446,0,586,105
1102,66,1,529,810,0,996,215
1103,72,1,480,781,0,971,229
1104,68,1,487,763,1,991,207
1106,74,1,409,600,1,808,116
1107,56,1,340,506,2,781,108
1108,66,1,547,744,1,951,130
1109,61,1,422,617,0,809,134
1111,100,1,430,717,2,1031,185
1112,73,1,347,557,1,765,136
1113,59,1,341,547,0,713,147
1114,93,1,444,741,9,971,195
1115,116,1,469,746,0,910,161
1116,72,1,417,636,0,913,147
1117,77,1,416,644,1,886,150
1118,61,1,521,776,0,1031,194
1119,71,1,370,587,4,783,142
1121,85,1,292,525,0,691,148
1122,65,1,283,482,0,658,134
1123,68,1,411,646,3,954,164
1124,50,1,361,556,0,831,145
1125,72,1,454,745,2,1029,217
1126,75,1,427,701,3,954,196
1127,89,1,420,685,0,911,176
1128,91,1,397,686,2,907,196
1129,97,1,386,703,4,951,216
1131,80,1,314,574,2,853,178
1132,113,1,416,721,2,982,190
1133,85,1,428,661,0,870,148
1134,79,1,357,593,0,793,157
1135,43,1,257,421,2,521,119
1136,89,1,412,669,0,857,168
1141,77,1,552,812,1,1047,182
1142,81,1,382,667,1,858,203
1143,99,1,468,801,4,1056,230
1144,73,1,421,713,0,928,219
1145,53,1,541,753,0,931,159
1146,84,1,474,791,2,1036,231
1147,77,1,445,734,4,927,208
1148,88,1,411,727,7,992,221
1149,79,1,450,747,3,950,215
1151,0,1,0,0,0,0,0
1152,75,1,393,671,2,898,201
1153,108,1,447,749,1,961,193
1154,0,1,0,0,0,0,0
7001,61,1,400,559,1,742,97
7002,144,1,667,997,2,1225,184
7003,60,1,651,834,0,927,123
7004,87,1,615,808,0,896,106
7005,62,1,590,755,2,853,101
7006,75,1,589,799,0,966,135
7007,68,1,668,870,1,987,133
7008,60,1,627,820,0,882,133
7009,81,1,529,750,3,931,137
7011,46,1,454,621,2,1063,119
7012,92,1,689,925,0,1034,144
7013,66,1,472,640,0,733,102
7014,89,1,705,928,0,1073,134
7015,7,1,56,81,0,113,18
7016,66,1,369,593,3,977,155
7017,28,1,363,469,0,786,78
7018,88,1,408,672,0,992,176
7019,66,1,500,696,0,945,130
7021,52,1,456,631,1,993,122
7022,56,1,495,667,0,1032,116
7023,54,1,524,671,2,938,91
7024,5,1,91,119,1,309,22
7025,16,1,195,266,0,505,55
7026,115,1,393,700,1,1022,191
7027,64,1,383,577,0,879,130
7028,39,1,398,544,3,900,104
7029,35,1,403,525,4,924,83
7030,90,1,310,558,2,787,156
7031,51,1,246,392,0,511,95
7032,40,1,388,589,5,938,156
7033,44,1,367,546,4,814,131
7034,30,1,394,515,2,954,89
7035,32,1,257,341,1,476,51
7036,61,1,345,596,1,967,189
7037,55,1,232,379,2,840,90
7038,70,1,362,595,3,960,160
7039,79,1,351,625,0,831,195
7041,8,1,21,42,4,62,9
7042,46,1,330,514,2,697,136
7043,65,1,408,640,1,990,166
7044,47,1,276,415,1,867,91
7045,78,1,281,531,2,803,170
