precinctid,preston_picus,under_vote,precincts,ballots_cast,over_vote,registration,nancy_pelosi
1141,125,61,1,812,0,1047,626
1142,110,72,1,667,0,858,485
1143,153,74,1,801,0,1056,574
1144,112,56,1,713,1,928,544
1145,139,50,1,753,1,931,563
1146,142,71,1,791,0,1036,578
1147,135,56,1,734,0,927,543
1148,138,74,1,727,3,992,512
1149,144,54,1,747,0,950,549
1151,0,0,1,0,0,0,0
1152,129,56,1,671,1,898,485
1153,130,72,1,749,0,961,547
1154,0,0,1,0,0,0,0
7001,93,45,1,559,1,742,420
7002,161,81,1,997,0,1225,755
7003,135,55,1,834,0,927,644
7004,115,51,1,808,0,896,642
7005,109,47,1,755,0,853,599
7006,156,52,1,799,0,966,591
7007,121,47,1,870,0,987,702
7008,123,54,1,820,0,882,643
7009,130,54,1,750,0,931,566
7011,78,47,1,621,0,1063,496
7012,143,67,1,925,0,1034,715
7013,93,51,1,640,0,733,496
7014,141,58,1,928,0,1073,729
7015,26,7,1,81,0,113,48
7016,73,65,1,593,1,977,454
7017,57,28,1,469,0,786,384
7018,103,62,1,672,0,992,507
7019,89,54,1,696,0,945,553
7021,81,61,1,631,1,993,488
7022,67,52,1,667,0,1032,548
7023,62,50,1,671,1,938,558
7024,14,5,1,119,0,309,100
7025,32,14,1,266,0,505,220
7026,113,80,1,700,1,1022,506
7027,66,57,1,577,0,879,454
7028,65,44,1,544,0,900,435
7029,47,59,1,525,1,924,418
7030,99,64,1,558,3,787,392
7031,53,38,1,392,0,511,301
7032,81,44,1,589,2,938,462
7033,81,44,1,546,0,814,421
7034,43,49,1,515,1,954,422
7035,40,33,1,341,0,476,268
7036,90,58,1,596,0,967,448
7037,30,47,1,379,1,840,301
7038,88,52,1,595,1,960,454
7039,122,50,1,625,0,831,453
7041,7,6,1,42,0,62,29
7042,82,43,1,514,0,697,389
7043,79,58,1,640,0,990,503
7044,53,45,1,415,0,867,317
7045,103,66,1,531,0,803,362
7046,54,26,1,319,0,435,239
7047,88,56,1,602,0,858,458
7048,60,48,1,518,0,877,410
7049,88,70,1,534,1,829,375
7051,111,55,1,612,0,909,446
7052,120,69,1,675,0,894,486
7053,83,44,1,462,0,552,335
7054,88,43,1,683,0,1068,552
7101,9,9,1,126,0,150,108
7201,157,66,1,868,0,983,645
7202,156,54,1,752,1,885,541
7203,149,73,1,840,1,950,617
7204,141,56,1,833,0,933,636
7205,152,57,1,815,0,903,606
7206,58,26,1,340,0,390,256
7207,105,52,1,595,0,712,438
7208,91,58,1,539,0,635,390
7209,93,43,1,491,0,563,355
7301,158,89,1,813,0,1080,566
7302,131,74,1,732,1,862,526
7303,156,72,1,851,0,1032,623
7304,156,64,1,828,0,993,608
7305,163,61,1,772,0,906,548
7306,162,74,1,882,0,1076,646
7307,128,66,1,674,0,826,480
7308,92,45,1,548,0,641,411
7309,127,59,1,764,0,897,578
7311,133,77,1,853,0,986,643
7312,150,56,1,768,0,874,562
7313,132,80,1,798,0,1001,586
7314,95,83,1,511,0,833,333
7315,100,72,1,597,0,783,425
7316,125,50,1,661,0,893,486
7317,152,52,1,743,2,938,537
7318,105,76,1,689,0,788,508
7319,162,90,1,908,1,1123,655
7321,101,58,1,493,1,683,333
7322,64,88,1,526,0,937,374
7323,120,76,1,727,0,888,531
7324,94,74,1,601,0,756,433
7325,132,96,1,792,1,973,563
7326,138,71,1,749,0,922,540
7327,65,65,1,434,0,762,304
7328,88,96,1,617,0,1024,433
