precinctid,jackie_speier,under_vote,precincts,ballots_cast,angel_cardenas,over_vote,registration
1101,338,58,1,446,50,0,586
1102,626,80,1,810,104,0,996
1103,616,67,1,781,98,0,971
1104,565,87,1,763,111,0,991
1106,457,58,1,600,84,1,808
1107,392,44,1,506,70,0,781
1108,612,74,1,744,58,0,951
1109,439,80,1,617,98,0,809
1111,533,91,1,717,93,0,1031
1112,425,78,1,557,53,1,765
1113,404,72,1,547,71,0,713
1114,505,123,1,741,112,1,971
1115,530,119,1,746,97,0,910
1116,488,77,1,636,71,0,913
1117,477,77,1,644,90,0,886
1118,595,86,1,776,95,0,1031
1119,444,77,1,587,63,3,783
1121,369,76,1,525,80,0,691
1122,342,68,1,482,72,0,658
1123,484,82,1,646,80,0,954
1124,426,80,1,556,50,0,831
1125,542,90,1,745,112,1,1029
1126,537,75,1,701,88,1,954
1127,480,97,1,685,108,0,911
1128,483,96,1,686,106,1,907
1129,476,101,1,703,126,0,951
1131,394,89,1,574,91,0,853
1132,498,115,1,721,108,0,982
1133,489,79,1,661,93,0,870
1134,411,92,1,593,90,0,793
1135,313,46,1,421,62,0,521
1136,482,78,1,669,109,0,857
9001,153,15,1,197,29,0,269
9453,309,47,1,415,59,0,502
9712,469,53,1,593,71,0,656
9714,615,70,1,825,140,0,941
9715,393,41,1,521,87,0,580
9718,588,47,1,755,120,0,859
9719,587,61,1,755,107,0,880
9721,449,47,1,575,79,0,657
9722,394,56,1,543,93,0,634
9723,265,47,1,396,84,0,478
9724,548,98,1,824,178,0,978
9725,538,94,1,783,149,2,985
9726,447,74,1,606,85,0,782
9727,266,43,1,396,87,0,454
9728,547,58,1,805,200,0,937
9729,525,41,1,708,141,1,802
9731,333,42,1,485,110,0,548
9733,167,14,1,204,23,0,221
9734,398,33,1,535,104,0,603
9735,531,56,1,699,112,0,807
9736,530,41,1,651,80,0,729
9737,588,47,1,715,80,0,782
9738,493,74,1,680,113,0,850
9739,516,80,1,681,85,0,912
9741,501,122,1,679,56,0,1064
9742,379,57,1,530,94,0,669
9743,724,81,1,907,102,0,1159
9744,556,100,1,763,107,0,968
9745,567,81,1,762,114,0,1052
9746,583,68,1,783,132,0,903
9747,605,89,1,797,103,0,989
9748,611,80,1,809,118,0,981
9749,515,83,1,686,88,0,969
9751,676,93,1,908,139,0,1011
9752,486,48,1,626,92,0,721
9753,514,53,1,636,69,0,777
9754,552,45,1,648,51,0,744
9755,385,50,1,492,57,0,605
9756,570,99,1,784,115,0,980
9801,249,34,1,339,56,0,434
9901,0,0,1,0,0,0,0
9902,0,0,1,0,0,0,0
