precinctid,precincts,under_vote,david_chiu,ballots_cast,over_vote,registration,matthew_del_carlo
1141,1,127,577,812,0,1047,108
1142,1,132,431,667,0,858,104
1143,1,141,524,801,0,1056,136
1144,1,113,490,713,1,928,109
1145,1,104,544,753,0,931,105
1146,1,149,537,791,0,1036,105
1147,1,118,515,734,1,927,100
1148,1,131,457,727,3,992,136
1149,1,116,525,747,1,950,105
1151,1,0,0,0,0,0,0
1152,1,120,440,671,0,898,111
1153,1,134,486,749,0,961,129
1154,1,0,0,0,0,0,0
7001,1,88,419,559,0,742,52
7002,1,183,706,997,0,1225,108
7003,1,133,611,834,0,927,90
7004,1,118,614,808,0,896,76
7005,1,125,573,755,0,853,57
7006,1,149,577,799,0,966,73
7007,1,130,671,870,1,987,68
7008,1,106,623,820,0,882,91
7009,1,110,559,750,0,931,81
7011,1,106,448,621,0,1063,67
7012,1,135,689,925,0,1034,101
7013,1,96,474,640,0,733,70
7014,1,146,701,928,0,1073,81
7015,1,8,63,81,0,113,10
7016,1,98,439,593,1,977,55
7017,1,72,337,469,1,786,59
7018,1,93,497,672,0,992,82
7019,1,93,515,696,0,945,88
7021,1,100,461,631,0,993,70
7022,1,102,504,667,0,1032,61
7023,1,115,487,671,1,938,68
7024,1,28,75,119,1,309,15
7025,1,38,197,266,0,505,31
7026,1,113,499,700,0,1022,88
7027,1,110,391,577,0,879,76
7028,1,85,405,544,0,900,54
7029,1,134,334,525,1,924,56
7030,1,74,402,558,1,787,81
7031,1,75,258,392,0,511,59
7032,1,83,421,589,2,938,83
7033,1,95,363,546,1,814,87
7034,1,103,353,515,0,954,59
7035,1,59,230,341,0,476,52
7036,1,88,400,596,1,967,107
7037,1,82,254,379,1,840,42
7038,1,94,413,595,0,960,88
7039,1,104,429,625,0,831,92
7041,1,8,27,42,0,62,7
7042,1,92,345,514,0,697,77
7043,1,109,452,640,0,990,79
7044,1,96,259,415,1,867,59
7045,1,81,364,531,0,803,86
7046,1,58,210,319,0,435,51
7047,1,100,407,602,0,858,95
7048,1,72,385,518,0,877,61
7049,1,82,343,534,0,829,109
7051,1,97,428,612,1,909,86
7052,1,97,475,675,0,894,103
7053,1,58,330,462,0,552,74
7054,1,110,489,683,0,1068,84
7101,1,25,96,126,0,150,5
7201,1,138,549,868,0,983,181
7202,1,110,478,752,1,885,163
7203,1,139,538,840,0,950,163
7204,1,125,549,833,0,933,159
7205,1,112,530,815,1,903,172
7206,1,57,215,340,0,390,68
7207,1,119,383,595,0,712,93
7208,1,85,384,539,0,635,70
7209,1,70,343,491,0,563,78
