precinctid,phil_ting,under_vote,precincts,carlos_chuck_taylor,ballots_cast,over_vote,registration
1101,308,73,1,65,446,0,586
1102,601,91,1,118,810,0,996
1103,575,93,1,113,781,0,971
1104,539,111,1,113,763,0,991
1106,426,79,1,94,600,1,808
1107,364,68,1,74,506,0,781
1108,591,95,1,58,744,0,951
1109,421,103,1,93,617,0,809
1111,501,116,1,99,717,1,1031
1112,404,97,1,56,557,0,765
1113,393,81,1,73,547,0,713
1114,488,143,1,110,741,0,971
1115,517,129,1,100,746,0,910
1116,454,103,1,78,636,1,913
1117,438,108,1,97,644,1,886
1118,576,103,1,97,776,0,1031
1119,407,104,1,75,587,1,783
1121,357,75,1,93,525,0,691
1122,342,78,1,61,482,1,658
1123,437,118,1,91,646,0,954
1124,413,86,1,57,556,0,831
1125,525,113,1,106,745,1,1029
1126,517,78,1,106,701,0,954
1127,465,103,1,117,685,0,911
1128,449,116,1,119,686,2,907
1129,468,106,1,129,703,0,951
1131,380,99,1,95,574,0,853
1132,482,112,1,126,721,1,982
1133,464,103,1,94,661,0,870
1134,415,89,1,89,593,0,793
1135,312,51,1,58,421,0,521
1136,441,102,1,125,669,1,857
9001,140,18,1,39,197,0,269
9101,513,111,1,116,740,0,899
9102,575,116,1,126,817,0,989
9103,520,123,1,143,786,0,971
9104,557,123,1,115,795,0,1004
9105,567,135,1,115,817,0,975
9106,593,115,1,111,819,0,938
9107,463,122,1,94,679,0,859
9108,506,114,1,71,691,0,815
9109,566,105,1,78,749,0,875
9111,426,124,1,87,637,0,785
9112,603,123,1,78,804,0,975
9113,621,122,1,110,853,0,1008
9114,533,131,1,84,749,1,913
9115,551,130,1,80,761,0,948
9116,591,129,1,91,811,0,986
9117,496,93,1,81,670,0,785
9118,542,142,1,96,780,0,987
9119,515,122,1,107,744,0,911
9121,539,111,1,108,758,0,950
9122,547,111,1,111,769,0,976
9123,507,118,1,115,740,0,902
9124,518,118,1,94,730,0,940
9125,538,118,1,84,740,0,911
9126,572,127,1,121,820,0,978
9127,591,112,1,116,819,0,985
9128,501,115,1,110,727,1,859
9129,446,95,1,80,621,0,772
9131,480,88,1,93,661,0,806
9132,500,130,1,71,701,0,898
9133,668,113,1,107,888,0,1083
9134,520,144,1,102,767,1,937
9135,404,115,1,132,652,1,831
9136,564,119,1,105,788,0,952
9137,559,119,1,107,785,0,977
9138,557,106,1,108,771,0,930
9139,557,123,1,151,831,0,1004
9141,589,111,1,94,794,0,963
9142,635,127,1,80,843,1,1003
9143,523,123,1,101,747,0,921
9144,597,134,1,101,832,0,983
9145,544,114,1,95,753,0,889
9146,557,134,1,108,799,0,929
9147,586,135,1,97,818,0,983
9148,640,139,1,90,869,0,1007
9149,601,137,1,104,842,0,976
9151,487,124,1,93,704,0,858
9152,430,121,1,85,636,0,842
9201,646,117,1,130,893,0,1047
