precinctid,writein,jonathan_lyens,sherman_r_dsilva,andy_thornley,precincts,richie_greenberg,jason_jungreis,marjan_philhour,under_vote,sandra_lee_fewer,ballots_cast,david_lee,registration,samuel_kwong,over_vote,brian_j_larkin
7101,0,2,2,1,1,2,0,38,17,45,126,12,150,2,1,1
9101,1,13,16,8,1,24,20,216,64,256,740,65,899,14,9,17
9102,1,13,12,3,1,31,14,264,53,300,817,57,989,12,4,34
9103,0,19,10,8,1,31,12,253,76,228,786,77,971,21,5,15
9104,1,12,18,9,1,21,10,259,67,267,795,75,1004,19,1,16
9105,2,23,10,6,1,22,10,298,74,256,817,65,975,19,4,11
9106,0,13,9,13,1,21,15,321,70,251,819,63,938,16,1,12
9107,1,7,9,7,1,29,8,208,59,233,679,57,859,18,3,18
9108,0,9,16,7,1,19,11,216,56,248,691,64,815,10,2,13
9109,0,43,13,12,1,17,14,270,73,216,749,53,875,8,6,9
9111,0,5,30,6,1,17,11,187,63,226,637,49,785,8,6,14
9112,1,13,8,4,1,17,14,309,79,247,804,67,975,12,4,14
9113,1,13,11,6,1,23,12,306,70,314,853,54,1008,9,0,18
9114,1,13,14,10,1,14,11,208,79,275,749,79,913,15,3,14
9115,3,13,9,6,1,13,13,250,64,276,761,52,948,15,5,18
9116,2,21,13,5,1,18,10,220,76,318,811,76,986,10,7,14
9117,2,7,3,9,1,21,39,232,51,213,670,46,785,14,4,6
9118,2,15,12,5,1,26,14,220,78,239,780,93,987,29,6,20
9119,1,13,7,4,1,28,16,204,60,262,744,89,911,6,6,27
9121,3,13,9,5,1,25,16,250,52,232,758,89,950,26,2,13
9122,0,13,12,1,1,23,10,221,75,268,769,80,976,23,1,19
9123,0,18,13,7,1,32,9,214,66,242,740,81,902,13,6,25
9124,0,6,21,10,1,11,8,247,58,245,730,68,940,19,4,15
9125,5,16,40,4,1,11,11,211,53,248,740,75,911,27,4,14
9126,2,12,15,8,1,21,12,244,66,279,820,96,978,30,5,15
9127,2,22,20,10,1,11,9,260,61,274,819,95,985,13,7,18
9128,0,10,7,9,1,12,11,249,57,247,727,81,859,21,1,9
9129,0,13,5,5,1,18,11,179,50,232,621,69,772,12,2,12
9131,1,9,8,8,1,8,3,207,55,246,661,70,806,15,1,13
9132,1,8,8,7,1,17,11,199,55,283,701,65,898,6,5,14
9133,0,22,10,5,1,26,8,264,78,334,888,83,1083,20,5,16
9134,1,11,11,12,1,10,21,181,103,274,767,71,937,22,5,16
9135,1,12,9,4,1,48,14,191,52,201,652,47,831,15,7,35
9136,2,11,9,5,1,16,22,217,59,320,788,67,952,23,5,18
9137,3,9,9,7,1,18,18,268,55,248,785,82,977,14,4,10
9138,1,8,7,4,1,17,8,252,60,278,771,87,930,15,4,12
9139,1,8,11,5,1,38,19,280,64,236,831,91,1004,28,6,19
9141,1,8,9,4,1,25,6,273,59,268,794,85,963,16,6,18
9142,0,11,16,7,1,22,13,245,66,330,843,73,1003,11,5,20
9143,1,8,8,15,1,28,14,197,49,310,747,68,921,8,4,17
9144,1,10,12,12,1,18,5,245,76,296,832,99,983,19,3,16
9145,0,11,4,6,1,22,15,238,65,286,753,59,889,16,9,8
9146,1,16,7,6,1,23,10,186,91,354,799,56,929,17,1,16
9147,1,5,11,25,1,14,15,222,82,302,818,95,983,13,3,11
9148,1,15,16,13,1,24,13,276,84,319,869,70,1007,7,1,4
9149,2,13,8,8,1,17,17,214,106,336,842,67,976,13,2,18
9151,1,10,10,11,1,10,18,214,105,198,704,75,858,11,4,17
9152,1,14,10,7,1,15,10,144,125,194,636,59,842,10,2,18
