precinctid,under_vote,writein,precincts,ballots_cast,over_vote,registration,aaron_peskin,tim_e_donnelly
7301,124,5,1,813,1,1080,461,175
7302,82,3,1,732,1,862,445,183
7303,136,5,1,851,2,1032,510,184
7304,111,14,1,828,1,993,453,229
7305,113,8,1,772,0,906,395,227
7306,131,6,1,882,0,1076,453,238
7307,111,7,1,674,0,826,369,170
7308,63,4,1,548,0,641,331,138
7309,147,4,1,764,0,897,348,237
7311,151,5,1,853,1,986,422,234
7312,111,7,1,768,1,874,379,238
7313,82,6,1,798,1,1001,456,192
7314,72,3,1,511,0,833,331,91
7315,79,8,1,597,0,783,377,109
7316,71,1,1,661,1,893,445,128
7317,86,8,1,743,0,938,431,190
7318,93,25,1,689,0,788,379,165
7319,148,3,1,908,5,1123,465,249
7321,74,4,1,493,1,683,300,100
7322,81,5,1,526,0,937,368,58
7323,107,3,1,727,0,888,404,187
7324,72,2,1,601,0,756,347,118
7325,126,8,1,792,0,973,448,176
7326,105,5,1,749,0,922,446,169
7327,60,1,1,434,0,762,293,73
7328,99,3,1,617,1,1024,413,97
7329,67,3,1,454,0,607,246,123
7331,109,2,1,793,0,933,448,205
7332,77,31,1,718,1,889,414,162
7333,148,4,1,888,0,1101,511,195
7334,108,23,1,774,0,963,483,144
7335,138,4,1,894,0,1002,493,221
7336,149,4,1,883,1,1017,478,227
7337,119,6,1,755,1,944,419,186
7338,79,1,1,695,1,1005,442,149
7339,64,2,1,495,0,660,306,104
7341,119,1,1,765,1,974,464,153
7342,114,6,1,791,0,1034,514,154
7343,88,4,1,618,0,746,417,94
7344,151,7,1,916,0,1143,536,200
7345,145,6,1,891,1,1186,558,162
7346,91,7,1,762,0,991,513,129
7347,110,8,1,841,0,1085,541,145
7348,103,6,1,647,0,957,383,125
7349,115,3,1,771,1,1006,458,162
