precinctid,under_vote,london_breed,writein,precincts,dean_preston,ballots_cast,over_vote,registration
7501,87,266,2,1,143,522,0,574
7502,102,325,4,1,242,694,2,808
7503,102,301,3,1,255,688,3,808
7504,63,195,5,1,133,420,0,503
7505,78,388,3,1,264,762,1,915
7506,96,406,5,1,258,798,0,1018
7507,35,376,1,1,208,631,2,992
7508,74,302,5,1,217,606,0,735
7509,95,361,12,1,336,825,1,1006
7512,49,226,2,1,208,493,2,638
7513,76,308,5,1,196,601,1,836
7514,44,360,2,1,131,544,1,886
7515,74,388,3,1,229,710,1,898
7516,103,367,4,1,268,759,0,907
7517,80,347,2,1,373,826,0,956
7518,88,336,2,1,409,858,2,993
7519,67,263,6,1,321,676,0,802
7521,59,328,4,1,311,726,1,854
7522,40,337,7,1,344,742,0,848
7523,52,254,4,1,367,689,0,821
7524,41,234,1,1,222,532,1,728
7525,30,333,9,1,246,636,0,870
7526,66,315,5,1,403,858,1,999
7527,45,268,1,1,267,624,2,773
7529,75,333,2,1,434,860,0,992
7531,72,320,2,1,394,805,0,954
7532,96,301,1,1,332,741,0,886
7533,76,319,3,1,482,910,1,1025
7534,64,314,4,1,379,775,0,967
7535,53,295,5,1,342,711,1,807
7536,60,355,3,1,336,775,0,895
7537,66,278,2,1,302,664,1,783
7538,47,350,3,1,313,736,0,831
7539,54,380,1,1,371,821,1,978
7541,58,341,1,1,314,728,1,865
7542,53,312,3,1,370,756,1,906
7543,61,401,2,1,332,806,1,993
7544,94,354,6,1,345,821,0,962
7545,106,353,3,1,352,833,2,970
7546,60,363,3,1,381,817,1,935
7547,94,339,0,1,382,837,0,1057
7548,82,407,5,1,386,894,1,1135
7549,90,309,1,1,320,734,0,854
7551,50,332,1,1,267,669,0,762
7552,46,348,2,1,263,678,0,756
7553,16,85,2,1,58,168,0,187
7554,58,389,2,1,299,769,0,859
7555,52,445,1,1,322,846,1,893
7556,57,526,3,1,300,906,1,1008
9501,11,60,0,1,48,131,0,153
9502,24,88,1,1,82,209,0,233
9503,93,292,2,1,253,674,2,822
9505,51,301,3,1,247,617,0,804
9506,42,323,2,1,210,602,0,810
9507,37,328,5,1,253,638,2,783
9508,61,307,2,1,330,720,0,862
9509,54,307,2,1,275,661,0,758
9511,59,194,2,1,264,529,0,630
9512,47,304,3,1,336,709,1,848
9513,49,368,4,1,327,766,0,952
9514,94,350,4,1,363,832,0,959
9515,72,298,2,1,255,646,0,748
9516,85,343,5,1,308,763,0,922
9517,89,284,5,1,318,713,0,854
9518,71,308,4,1,300,707,3,826
9519,96,366,7,1,302,790,1,922
9521,96,364,7,1,336,827,1,947
