precinctid,writein,ben_matranga,under_vote,joel_engardio,precincts,ballots_cast,norman_yee,over_vote,registration,john_farrell,mike_young
7701,1,105,133,175,1,914,346,5,1049,82,39
7702,2,74,60,146,1,663,226,0,775,93,23
7703,0,12,13,9,1,100,35,1,178,11,4
7704,3,170,78,176,1,881,302,1,1006,97,31
7705,0,90,48,99,1,495,149,1,554,80,19
7706,2,159,49,198,1,773,238,1,853,101,13
7707,0,119,53,193,1,784,306,1,854,67,25
7708,1,140,56,148,1,783,309,3,894,79,23
7709,1,52,28,73,1,354,145,1,390,33,9
7711,2,88,81,140,1,685,278,0,789,46,25
7712,0,59,54,70,1,518,252,3,577,29,24
9701,1,42,91,110,1,571,253,1,664,40,15
9702,2,62,108,105,1,640,280,1,760,52,12
9703,0,112,87,125,1,818,347,1,989,75,54
9704,0,83,119,146,1,836,344,6,971,83,33
9705,0,80,111,178,1,836,326,2,954,76,34
9706,0,3,8,11,1,54,22,1,54,3,4
9707,0,100,68,117,1,679,253,4,805,84,42
9708,20,97,92,150,1,829,329,1,956,81,34
9709,2,107,107,174,1,848,311,2,1029,85,39
9711,5,80,56,143,1,572,176,1,643,75,19
9712,1,96,59,110,1,593,144,2,656,146,14
9713,0,80,95,137,1,782,289,3,974,112,46
9714,1,123,50,170,1,825,256,4,941,179,23
9715,0,108,41,113,1,521,95,2,580,135,14
9716,0,150,70,140,1,791,285,2,975,99,34
9717,3,131,71,169,1,837,299,0,993,115,36
9718,0,153,39,173,1,755,207,1,859,137,27
9719,0,156,57,200,1,755,176,2,880,127,23
9721,0,133,32,114,1,575,154,2,657,103,22
9722,0,142,46,95,1,543,153,0,634,78,12
9723,0,56,32,75,1,396,108,0,478,66,47
9724,1,120,82,131,1,824,276,3,978,127,56
9725,2,148,74,129,1,783,226,2,985,127,55
9726,10,67,77,104,1,606,199,3,782,79,47
9727,1,119,30,76,1,396,83,1,454,60,19
9728,0,207,60,170,1,805,206,1,937,109,40
9729,1,195,47,142,1,708,173,3,802,115,18
9731,1,145,35,97,1,485,98,3,548,61,36
9732,0,11,10,23,1,71,10,0,76,10,7
9733,0,29,19,51,1,204,73,0,221,19,8
9734,0,107,32,118,1,535,145,4,603,69,33
9735,2,126,53,180,1,699,211,4,807,87,28
9736,1,139,51,171,1,651,189,1,729,71,14
9737,1,99,67,150,1,715,289,2,782,61,31
9738,1,96,87,115,1,680,212,1,850,110,30
9739,1,78,80,106,1,681,279,7,912,63,51
9741,0,39,193,148,1,679,146,3,1064,90,51
9742,1,103,53,62,1,530,183,2,669,80,43
9743,4,107,108,115,1,907,393,2,1159,75,81
9744,3,74,62,99,1,763,238,6,968,102,114
9745,1,95,89,92,1,762,280,5,1052,87,85
9746,1,181,53,129,1,783,249,0,903,85,35
9747,4,161,92,110,1,797,302,0,989,85,29
9748,1,138,81,113,1,809,342,1,981,94,22
9749,1,80,74,87,1,686,330,2,969,53,40
9751,2,166,87,181,1,908,315,3,1011,76,40
9752,0,134,37,132,1,626,217,3,721,63,27
9753,0,93,56,125,1,636,269,4,777,51,23
9754,1,108,53,106,1,648,292,2,744,40,24
9755,3,46,47,91,1,492,218,2,605,36,33
9756,2,102,103,95,1,784,318,3,980,73,56
9902,0,0,0,0,1,0,0,0,0,0,0
