precinctid,writein,joshua_arce,under_vote,registration,precincts,ballots_cast,over_vote,melissa_san_miguel,iswari_españa,hillary_ronen
7901,3,242,110,1286,1,952,6,120,11,434
7902,10,246,58,1064,1,842,2,95,13,386
7903,1,155,67,929,1,652,2,94,16,296
7904,2,198,66,926,1,694,1,80,11,317
7905,3,190,52,851,1,718,3,55,14,385
7906,1,168,67,854,1,653,2,56,11,333
7907,4,231,90,991,1,834,2,75,5,399
7908,4,203,66,1008,1,872,2,104,8,462
7909,2,200,52,787,1,644,2,50,11,319
7911,3,204,64,907,1,734,0,85,17,351
7912,1,196,77,1090,1,874,2,82,14,462
7913,2,244,69,964,1,800,2,78,18,376
7914,1,244,53,895,1,752,4,45,10,374
7915,3,188,54,892,1,716,2,92,13,352
7916,2,197,69,953,1,768,4,59,8,415
7917,2,262,54,1073,1,868,4,77,21,422
7918,4,229,50,860,1,697,5,59,18,317
7919,0,201,60,928,1,767,5,63,15,407
7921,0,228,38,970,1,694,7,71,14,323
7922,1,210,52,884,1,705,3,77,11,334
7923,0,178,45,930,1,689,2,95,6,356
7924,0,189,49,883,1,696,2,90,15,331
7925,1,111,49,591,1,483,0,40,4,267
7926,1,152,53,820,1,695,0,49,28,400
7927,3,201,54,782,1,688,0,44,4,371
7928,0,231,61,976,1,849,2,59,12,469
7929,1,230,46,871,1,780,1,39,6,445
7931,1,226,42,765,1,687,1,35,4,361
7932,0,139,36,557,1,482,2,31,2,264
7933,0,2,1,8,1,7,0,1,0,3
7934,3,185,35,888,1,772,2,48,9,475
7935,1,270,46,949,1,851,3,38,3,484
7936,4,198,21,876,1,764,2,40,4,470
7937,3,194,43,909,1,780,0,41,1,485
7938,1,141,38,808,1,636,7,68,6,366
7939,2,169,25,674,1,593,2,28,4,351
7941,1,187,49,790,1,655,3,53,7,336
7942,3,213,62,950,1,769,3,72,6,393
7943,3,201,57,938,1,780,1,83,15,402
7944,2,190,45,830,1,692,4,55,13,372
7945,2,200,38,926,1,663,2,76,12,318
7946,2,163,68,976,1,716,1,96,11,361
7947,7,183,74,964,1,717,3,86,10,341
7948,4,158,71,933,1,721,3,98,12,343
7949,0,119,45,594,1,433,1,57,11,185
7951,6,152,73,841,1,645,3,82,7,307
7952,1,146,39,865,1,651,2,77,12,351
7953,1,169,65,853,1,677,1,90,10,325
7954,0,0,0,0,1,0,0,0,0,0
7955,6,156,74,899,1,684,3,86,13,328
7956,3,151,56,779,1,579,4,72,14,258
7957,7,128,35,664,1,524,1,64,14,260
7958,0,44,17,291,1,199,1,29,5,93
