precinctid,under_vote,berta_hernandez,writein,precincts,ballots_cast,over_vote,registration,ahsha_safai,kim_alvarenga,magdalena_de_guzman,francisco_herrera
1101,38,15,0,1,446,0,586,166,147,23,46
1102,51,35,4,1,810,3,996,352,220,69,63
1103,56,36,2,1,781,1,971,305,236,52,75
1104,57,39,6,1,763,2,991,232,292,69,55
1106,67,48,2,1,600,3,808,166,168,58,63
1107,60,27,1,1,506,7,781,153,161,39,50
1108,81,33,2,1,744,1,951,269,222,63,52
1109,66,38,5,1,617,4,809,195,180,47,59
1111,91,31,1,1,717,7,1031,216,175,97,67
1112,57,28,3,1,557,3,765,180,166,53,46
1113,37,38,0,1,547,2,713,214,172,46,21
1114,68,50,8,1,741,8,971,246,228,66,62
1115,76,45,2,1,746,1,910,205,240,58,85
1116,65,47,4,1,636,2,913,224,157,60,62
1117,56,41,6,1,644,3,886,186,179,60,84
1118,55,44,3,1,776,4,1031,269,209,104,64
1119,55,40,4,1,587,5,783,191,174,60,45
1121,50,28,3,1,525,0,691,211,127,52,44
1122,49,25,0,1,482,3,658,172,144,44,39
1123,59,38,3,1,646,1,954,177,204,70,71
1124,42,36,0,1,556,3,831,165,160,66,67
1125,87,61,4,1,745,8,1029,195,140,153,71
1126,46,37,2,1,701,8,954,234,178,116,61
1127,64,42,5,1,685,2,911,248,170,94,49
1128,57,39,2,1,686,1,907,224,187,97,65
1129,63,50,5,1,703,1,951,230,162,110,64
1131,61,24,1,1,574,4,853,172,136,99,65
1132,62,33,1,1,721,6,982,276,197,73,56
1133,62,21,4,1,661,4,870,232,179,86,60
1134,69,30,3,1,593,0,793,205,169,55,52
1135,25,22,3,1,421,4,521,166,116,42,35
1136,66,28,2,1,669,6,857,232,192,61,61
1141,60,41,0,1,812,4,1047,283,258,70,72
1142,45,40,4,1,667,5,858,208,216,59,67
1143,53,50,2,1,801,4,1056,207,326,63,75
1144,39,24,3,1,713,1,928,239,278,50,69
1145,42,31,3,1,753,6,931,228,286,56,79
1146,60,52,1,1,791,7,1036,237,262,84,73
1147,40,44,0,1,734,8,927,217,275,75,55
1148,73,50,2,1,727,10,992,201,247,58,71
1149,59,42,2,1,747,7,950,231,251,73,70
1151,0,0,0,1,0,0,0,0,0,0,0
1152,38,33,1,1,671,7,898,208,219,105,47
1153,64,43,1,1,749,3,961,255,235,66,61
1154,0,0,0,1,0,0,0,0,0,0,0
