precinctid,victor_hwang,under_vote,precincts,ballots_cast,over_vote,registration,paul_henderson
1101,228,76,1,446,1,586,141
1102,411,125,1,810,0,996,274
1103,405,126,1,781,0,971,250
1104,422,122,1,763,0,991,219
1106,323,94,1,600,1,808,182
1107,261,84,1,506,1,781,160
1108,400,133,1,744,0,951,211
1109,351,96,1,617,0,809,170
1111,397,134,1,717,1,1031,185
1112,331,94,1,557,0,765,132
1113,316,82,1,547,0,713,149
1114,387,145,1,741,2,971,207
1115,408,142,1,746,1,910,195
1116,367,97,1,636,0,913,172
1117,313,111,1,644,2,886,218
1118,456,116,1,776,3,1031,201
1119,307,103,1,587,2,783,175
1121,300,92,1,525,0,691,133
1122,280,77,1,482,0,658,125
1123,360,109,1,646,1,954,176
1124,317,75,1,556,1,831,163
1125,390,125,1,745,1,1029,229
1126,366,104,1,701,0,954,231
1127,366,113,1,685,0,911,206
1128,354,119,1,686,0,907,213
1129,348,130,1,703,2,951,223
1131,293,102,1,574,1,853,178
1132,358,119,1,721,1,982,243
1133,315,134,1,661,0,870,212
1134,310,103,1,593,0,793,180
1135,229,55,1,421,1,521,136
1136,333,129,1,669,1,857,206
1141,434,119,1,812,0,1047,259
1142,351,118,1,667,1,858,197
1143,440,133,1,801,0,1056,228
1144,385,124,1,713,1,928,203
1145,398,111,1,753,0,931,244
1146,435,126,1,791,0,1036,230
1147,412,109,1,734,0,927,213
1148,379,134,1,727,3,992,211
1149,407,120,1,747,0,950,220
1151,0,0,1,0,0,0,0
1152,318,119,1,671,3,898,231
1153,394,136,1,749,2,961,217
1154,0,0,1,0,0,0,0
7001,298,107,1,559,0,742,154
7002,535,219,1,997,1,1225,242
7003,456,140,1,834,0,927,238
7004,430,170,1,808,0,896,208
7005,424,146,1,755,0,853,185
7006,452,129,1,799,0,966,218
7007,451,174,1,870,1,987,244
7008,382,171,1,820,2,882,265
7009,411,123,1,750,2,931,214
7011,304,124,1,621,0,1063,193
7012,482,185,1,925,2,1034,256
7013,323,136,1,640,0,733,181
7014,497,186,1,928,0,1073,245
7015,57,10,1,81,1,113,13
7016,304,106,1,593,2,977,181
7017,206,83,1,469,2,786,178
7018,342,112,1,672,0,992,218
7019,328,105,1,696,0,945,263
7021,294,96,1,631,3,993,238
7022,330,97,1,667,1,1032,239
7023,293,124,1,671,6,938,248
7024,54,18,1,119,1,309,46
7025,145,37,1,266,1,505,83
7026,397,126,1,700,0,1022,177
7027,255,114,1,577,0,879,208
7028,234,98,1,544,3,900,209
7029,231,109,1,525,4,924,181
7030,313,106,1,558,1,787,138
7031,189,70,1,392,1,511,132
7032,274,80,1,589,8,938,227
7033,241,103,1,546,2,814,200
7034,224,99,1,515,0,954,192
7035,137,59,1,341,0,476,145
7036,305,88,1,596,1,967,202
7037,165,78,1,379,2,840,134
7038,287,97,1,595,3,960,208
7039,333,97,1,625,0,831,195
7041,20,13,1,42,0,62,9
7042,275,79,1,514,0,697,160
7043,314,106,1,640,2,990,218
7044,170,78,1,415,1,867,166
7045,295,96,1,531,0,803,140
7046,162,52,1,319,0,435,105
7047,306,104,1,602,0,858,192
7048,256,75,1,518,1,877,186
7049,278,101,1,534,1,829,154
7051,368,93,1,612,1,909,150
7052,369,114,1,675,2,894,190
7053,216,76,1,462,0,552,170
7054,357,100,1,683,2,1068,224
7101,63,26,1,126,0,150,37
7201,364,202,1,868,1,983,301
7202,303,173,1,752,4,885,272
7203,337,211,1,840,0,950,292
7204,365,178,1,833,1,933,289
7205,330,177,1,815,1,903,307
7206,146,67,1,340,1,390,126
7207,255,156,1,595,2,712,182
7208,250,123,1,539,0,635,166
7209,224,111,1,491,2,563,154
7301,411,176,1,813,0,1080,226
7302,377,139,1,732,1,862,215
7303,451,194,1,851,0,1032,206
7304,425,171,1,828,0,993,232
7305,361,182,1,772,0,906,229
7306,436,196,1,882,1,1076,249
7307,340,162,1,674,2,826,170
7308,281,121,1,548,0,641,146
7309,363,182,1,764,1,897,218
7311,452,204,1,853,1,986,196
7312,329,194,1,768,0,874,245
7313,436,164,1,798,0,1001,198
7314,319,101,1,511,0,833,91
7315,342,143,1,597,0,783,112
7316,404,118,1,661,2,893,137
7317,400,139,1,743,0,938,204
7318,364,160,1,689,0,788,165
7319,434,226,1,908,0,1123,248
7321,307,81,1,493,0,683,105
7322,375,83,1,526,1,937,67
7323,391,164,1,727,0,888,172
7324,340,145,1,601,0,756,116
7325,429,177,1,792,0,973,186
7326,431,136,1,749,1,922,181
7327,311,63,1,434,1,762,59
7328,407,94,1,617,0,1024,116
7329,246,83,1,454,0,607,125
7331,360,177,1,793,2,933,254
7332,395,142,1,718,0,889,181
7333,497,194,1,888,0,1101,197
7334,421,170,1,774,1,963,182
7335,464,204,1,894,2,1002,224
7336,436,172,1,883,2,1017,273
7337,409,151,1,755,0,944,195
7338,425,141,1,695,2,1005,127
7339,269,95,1,495,1,660,130
7341,390,166,1,765,3,974,206
7342,430,148,1,791,0,1034,213
7343,359,129,1,618,1,746,129
7344,479,178,1,916,0,1143,259
7345,465,193,1,891,2,1186,231
7346,430,130,1,762,1,991,201
7347,495,143,1,841,0,1085,203
7348,349,137,1,647,1,957,160
7349,429,148,1,771,0,1006,194
7501,234,123,1,522,1,574,164
7502,353,140,1,694,1,808,200
7503,361,139,1,688,3,808,185
7504,233,104,1,420,2,503,81
7505,405,156,1,762,3,915,198
7506,415,148,1,798,2,1018,233
7507,377,91,1,631,1,992,162
7508,312,116,1,606,1,735,177
7509,438,146,1,825,2,1006,239
7512,241,109,1,493,0,638,143
7513,312,113,1,601,1,836,175
7514,250,101,1,544,1,886,192
7515,357,138,1,710,0,898,215
7516,399,134,1,759,1,907,225
7517,493,152,1,826,0,956,181
7518,487,154,1,858,0,993,217
7519,386,141,1,676,2,802,147
7521,421,148,1,726,0,854,157
7522,466,114,1,742,0,848,162
7523,434,115,1,689,0,821,140
7524,315,87,1,532,0,728,130
7525,364,120,1,636,2,870,150
7526,503,155,1,858,0,999,200
7527,364,110,1,624,0,773,150
7529,503,165,1,860,0,992,192
7531,490,158,1,805,0,954,157
7532,415,148,1,741,0,886,178
7533,582,148,1,910,1,1025,179
7534,470,136,1,775,0,967,169
7535,432,140,1,711,0,807,139
7536,450,146,1,775,0,895,179
7537,404,115,1,664,0,783,145
7538,444,139,1,736,1,831,152
7539,505,142,1,821,1,978,173
7541,439,121,1,728,0,865,168
7542,460,128,1,756,0,906,168
7543,442,156,1,806,1,993,207
7544,450,151,1,821,0,962,220
7545,463,171,1,833,0,970,199
7546,503,130,1,817,1,935,183
7547,490,185,1,837,0,1057,162
7548,516,174,1,894,0,1135,204
7549,435,156,1,734,2,854,141
7551,399,126,1,669,0,762,144
7552,396,111,1,678,0,756,171
7553,91,29,1,168,0,187,48
7554,434,125,1,769,2,859,208
7555,488,155,1,846,1,893,202
7556,513,141,1,906,0,1008,252
7601,307,108,1,588,0,929,173
7602,375,116,1,689,3,962,195
7603,401,120,1,690,1,888,168
7604,372,120,1,677,0,989,185
7605,221,73,1,428,1,771,133
7606,348,129,1,640,4,992,159
7607,397,110,1,710,1,1055,202
7608,113,50,1,244,0,456,81
7609,304,94,1,551,3,1051,150
7611,250,92,1,479,1,898,136
7612,221,82,1,418,0,668,115
7613,315,120,1,617,2,1015,180
7614,423,119,1,793,0,1177,251
7615,255,114,1,528,0,1020,159
7616,400,156,1,807,0,981,251
7617,235,105,1,516,3,898,173
7618,386,118,1,689,0,948,185
7619,773,294,1,1485,3,1971,415
7621,393,167,1,800,0,1082,240
7622,262,115,1,534,4,1007,153
7623,231,82,1,467,2,839,152
7624,268,107,1,565,3,1074,187
7625,311,111,1,617,4,896,191
7626,483,209,1,1011,3,1177,316
7627,608,304,1,1326,1,1586,413
7628,376,138,1,720,1,1006,205
7629,314,113,1,577,0,837,150
7631,498,170,1,915,0,1143,247
7632,285,87,1,532,2,727,158
7633,299,107,1,574,0,731,168
7634,331,141,1,706,1,1017,233
7635,337,114,1,643,1,868,191
7636,386,187,1,784,1,993,210
7637,530,282,1,1151,2,1361,337
7638,520,230,1,1135,0,1285,385
7639,394,207,1,891,1,1011,289
7641,373,145,1,795,1,977,276
7642,392,191,1,810,0,967,227
7643,378,154,1,758,1,959,225
7644,455,220,1,925,2,1111,248
7645,237,139,1,587,2,669,209
7646,960,417,1,1893,1,2163,515
7647,337,99,1,598,0,1028,162
7648,1,2,1,3,0,4,0
7701,505,169,1,914,0,1049,240
7702,293,121,1,663,0,775,249
7703,46,25,1,100,0,178,29
7704,447,153,1,881,1,1006,280
7705,239,81,1,495,0,554,175
7706,372,124,1,773,0,853,277
7707,386,118,1,784,0,854,280
7708,380,117,1,783,1,894,285
7709,220,45,1,354,0,390,89
7711,355,133,1,685,1,789,196
7712,311,88,1,518,0,577,119
7801,428,181,1,964,1,975,354
7802,345,163,1,723,2,760,213
7803,383,143,1,774,0,827,248
7804,429,183,1,876,0,932,264
7805,381,133,1,761,0,852,247
7806,373,121,1,663,0,746,169
7807,388,100,1,671,0,774,183
7808,300,121,1,578,0,702,157
7809,582,195,1,1091,0,1234,314
7811,392,130,1,696,0,806,174
7812,419,139,1,752,0,892,194
7813,503,191,1,943,1,1061,248
7814,374,118,1,667,1,919,174
7815,437,158,1,879,1,967,283
7816,395,127,1,823,0,896,301
7817,394,126,1,711,0,804,191
7818,425,137,1,787,1,889,224
7819,399,110,1,682,2,809,171
7821,446,147,1,916,1,998,322
7822,416,120,1,776,0,951,240
7823,399,144,1,806,1,928,262
7824,317,130,1,665,1,794,217
7825,320,81,1,521,0,578,120
7826,374,113,1,633,0,709,146
7827,431,143,1,758,0,931,184
7828,457,169,1,924,1,1053,297
7829,420,136,1,841,0,904,285
7831,405,131,1,803,0,906,267
7832,367,150,1,759,0,824,242
7833,402,146,1,710,0,785,162
7834,456,141,1,775,0,901,178
7835,382,136,1,785,1,863,266
7836,463,164,1,903,0,990,276
7837,382,175,1,840,1,934,282
7838,391,157,1,839,0,933,291
7839,368,164,1,785,2,869,251
7841,440,171,1,839,2,947,226
7842,499,137,1,864,0,960,228
7843,412,108,1,679,0,802,159
7844,338,99,1,594,0,682,157
7845,359,161,1,783,2,869,261
7846,401,168,1,814,2,925,243
7847,404,161,1,843,0,960,278
7848,431,164,1,818,1,905,222
7849,470,143,1,864,0,967,251
7851,249,80,1,472,0,528,143
7852,281,109,1,584,0,644,194
7853,374,134,1,770,1,896,261
7854,403,184,1,825,1,933,237
7855,429,161,1,870,0,968,280
7856,431,143,1,769,0,849,195
7857,476,153,1,854,0,963,225
7858,398,128,1,674,0,791,148
7859,412,146,1,834,1,915,275
7861,382,151,1,776,2,881,241
7862,397,146,1,815,0,923,272
7863,432,145,1,819,0,939,242
7864,393,130,1,703,0,815,180
7865,379,140,1,754,0,853,235
7866,366,133,1,746,1,831,246
7867,415,137,1,822,0,946,270
7868,371,124,1,764,0,901,269
7869,394,142,1,789,1,874,252
7871,427,128,1,804,0,909,249
7872,427,131,1,819,1,902,260
7873,408,146,1,788,0,874,234
7874,203,72,1,408,0,482,133
7875,265,100,1,525,1,628,159
7901,550,184,1,952,1,1286,217
7902,508,139,1,842,0,1064,195
7903,369,113,1,652,0,929,170
7904,420,112,1,694,1,926,161
7905,424,111,1,718,0,851,183
7906,417,104,1,653,0,854,132
7907,502,169,1,834,0,991,163
7908,523,145,1,872,0,1008,204
7909,382,107,1,644,0,787,155
7911,447,106,1,734,1,907,180
7912,552,142,1,874,1,1090,179
7913,499,126,1,800,0,964,175
7914,473,123,1,752,2,895,154
7915,460,101,1,716,1,892,154
7916,487,115,1,768,1,953,165
7917,553,122,1,868,2,1073,191
7918,416,118,1,697,2,860,161
7919,488,126,1,767,0,928,153
7921,428,91,1,694,1,970,174
7922,460,95,1,705,0,884,150
7923,430,100,1,689,0,930,159
7924,428,111,1,696,3,883,154
7925,286,79,1,483,1,591,117
7926,411,106,1,695,0,820,178
7927,415,112,1,688,1,782,160
7928,526,105,1,849,1,976,217
7929,457,108,1,780,0,871,215
7931,425,99,1,687,0,765,163
7932,293,73,1,482,0,557,116
7933,1,1,1,7,0,8,5
7934,473,109,1,772,3,888,187
7935,518,133,1,851,2,949,198
7936,462,114,1,764,1,876,187
7937,488,108,1,780,0,909,184
7938,382,97,1,636,1,808,156
7939,357,100,1,593,1,674,135
7941,397,118,1,655,0,790,140
7942,419,149,1,769,2,950,199
7943,415,126,1,780,1,938,238
7944,419,104,1,692,0,830,169
7945,371,105,1,663,0,926,187
7946,406,113,1,716,0,976,197
7947,387,124,1,717,0,964,206
7948,406,113,1,721,0,933,202
7949,234,72,1,433,0,594,127
7951,360,109,1,645,0,841,176
7952,389,82,1,651,0,865,180
7953,368,95,1,677,0,853,214
7954,0,0,1,0,0,0,0
7955,377,107,1,684,0,899,200
7956,327,109,1,579,2,779,141
7957,267,89,1,524,0,664,168
7958,114,25,1,199,0,291,60
9001,103,26,1,197,0,269,68
9101,402,137,1,740,0,899,201
9102,479,141,1,817,2,989,195
9103,433,139,1,786,0,971,214
9104,468,153,1,795,1,1004,173
9105,460,163,1,817,0,975,194
9106,453,158,1,819,0,938,208
9107,388,145,1,679,1,859,145
9108,399,114,1,691,0,815,178
9109,412,146,1,749,1,875,190
9111,353,144,1,637,0,785,140
9112,421,156,1,804,0,975,227
9113,446,164,1,853,1,1008,242
9114,432,158,1,749,1,913,158
9115,445,131,1,761,0,948,185
9116,473,162,1,811,0,986,176
9117,374,126,1,670,1,785,169
9118,431,165,1,780,1,987,183
9119,412,146,1,744,1,911,185
9121,448,140,1,758,0,950,170
9122,447,144,1,769,2,976,176
9123,434,131,1,740,0,902,175
9124,429,133,1,730,0,940,168
9125,453,144,1,740,0,911,143
9126,492,145,1,820,0,978,183
9127,462,146,1,819,0,985,211
9128,398,143,1,727,1,859,185
9129,363,108,1,621,0,772,150
9131,404,109,1,661,0,806,148
9132,423,125,1,701,4,898,149
9133,521,140,1,888,0,1083,227
9134,408,186,1,767,0,937,173
9135,306,144,1,652,0,831,202
9136,454,152,1,788,1,952,181
9137,439,151,1,785,1,977,194
9138,476,125,1,771,0,930,170
9139,484,139,1,831,0,1004,208
9141,492,137,1,794,0,963,165
9142,520,140,1,843,1,1003,182
9143,441,132,1,747,0,921,174
9144,477,149,1,832,1,983,205
9145,434,132,1,753,1,889,186
9146,455,158,1,799,0,929,186
9147,478,164,1,818,0,983,176
9148,495,158,1,869,1,1007,215
9149,471,166,1,842,1,976,204
9151,385,147,1,704,0,858,172
9152,338,152,1,636,1,842,145
9201,443,171,1,893,0,1047,279
9202,334,203,1,806,0,962,269
9203,313,250,1,857,0,1006,294
9204,281,175,1,733,1,849,276
9205,240,178,1,652,2,760,232
9206,309,209,1,822,1,960,303
9207,286,241,1,845,1,980,317
9208,332,248,1,897,2,1028,315
9209,233,185,1,646,0,750,228
9211,265,226,1,778,0,910,287
9212,280,216,1,746,0,857,250
9213,324,228,1,853,2,987,299
9214,216,135,1,539,0,632,188
9215,186,157,1,566,0,645,223
9216,243,214,1,726,1,861,268
9217,242,183,1,662,0,761,237
9218,252,213,1,730,1,868,264
9219,287,210,1,719,0,829,222
9221,216,166,1,637,0,662,255
9222,282,215,1,811,0,889,314
9223,212,153,1,573,0,664,208
9224,300,214,1,863,0,993,349
9225,373,253,1,926,0,994,300
9226,334,224,1,833,0,960,275
9227,288,156,1,665,1,759,220
9228,278,128,1,651,0,725,245
9229,218,124,1,555,1,615,212
9231,429,192,1,869,3,1006,245
9232,268,167,1,695,0,746,260
9233,253,186,1,736,1,816,296
9234,254,147,1,664,3,759,260
9235,286,211,1,818,1,907,320
9236,215,162,1,600,0,682,223
9237,287,218,1,824,2,941,317
9238,286,205,1,809,0,846,318
9239,277,230,1,838,0,885,331
9241,357,221,1,894,2,1027,314
9242,363,220,1,885,2,1023,300
9243,240,130,1,555,0,611,185
9244,325,233,1,824,1,940,265
9245,255,144,1,627,0,725,228
9246,336,241,1,842,1,964,264
9247,365,235,1,885,0,1004,285
9248,384,203,1,846,1,955,258
9249,382,175,1,807,0,926,250
9251,378,207,1,871,2,982,284
9252,397,168,1,837,0,943,272
9253,305,176,1,709,0,808,228
9254,347,208,1,871,0,951,316
9255,210,144,1,518,0,577,164
9256,162,80,1,342,0,403,100
9257,160,54,1,287,0,339,73
9258,335,126,1,645,0,715,184
9401,474,150,1,815,0,1014,191
9402,470,158,1,816,2,1028,186
9403,402,118,1,739,0,933,219
9404,421,133,1,744,0,921,190
9405,386,140,1,699,0,818,173
9406,470,145,1,791,1,916,175
