precinctid,matt_haney,writein,mark_sanchez,stevon_cook,under_vote,jill_wynns,precincts,ballots_cast,trevor_mcneil,over_vote,ian_kalin,registration,rachel_norton,rob_geller,phil_kim
1101,200,3,216,160,685,111,1,446,90,0,45,586,146,37,91
1102,373,8,405,299,1204,181,1,810,182,4,78,996,278,64,164
1103,343,1,356,285,1200,189,1,781,188,4,82,971,261,44,171
1104,320,3,355,271,1256,170,1,763,159,0,66,991,228,58,166
1106,234,8,250,220,929,164,1,600,149,4,76,808,195,43,128
1107,204,1,218,192,816,113,1,506,100,12,43,781,183,30,112
1108,357,2,306,295,1087,209,1,744,171,4,73,951,282,41,149
1109,246,2,246,217,984,160,1,617,156,12,53,809,211,31,150
1111,265,1,270,219,1282,180,1,717,140,8,71,1031,225,38,169
1112,190,2,230,194,969,115,1,557,117,20,48,765,165,45,133
1113,219,1,233,172,929,142,1,547,130,4,41,713,175,30,112
1114,293,5,362,237,1230,168,1,741,153,4,65,971,229,66,152
1115,268,1,298,262,1306,177,1,746,156,4,71,910,228,45,168
1116,249,5,268,215,1037,151,1,636,152,0,54,913,204,39,170
1117,195,8,279,238,1111,131,1,644,148,12,74,886,202,39,139
1118,330,0,344,298,1184,190,1,776,169,8,64,1031,256,57,204
1119,234,5,258,213,958,130,1,587,121,12,49,783,183,54,131
1121,200,3,234,177,915,118,1,525,101,4,47,691,131,34,136
1122,168,0,187,144,814,127,1,482,113,4,57,658,169,33,112
1123,252,1,282,248,1003,144,1,646,165,16,63,954,224,43,143
1124,197,5,250,197,915,127,1,556,120,12,48,831,176,36,141
1125,251,0,318,224,1339,158,1,745,157,12,66,1029,203,64,188
1126,270,1,347,211,1091,168,1,701,166,16,65,954,225,54,190
1127,279,3,290,197,1041,176,1,685,183,12,77,911,223,62,197
1128,225,4,286,180,1164,167,1,686,163,8,85,907,187,52,223
1129,249,5,338,223,1141,167,1,703,144,16,58,951,219,66,186
1131,211,0,253,170,946,150,1,574,127,8,55,853,184,42,150
1132,279,0,323,225,1155,198,1,721,160,8,69,982,248,46,173
1133,260,2,278,213,1104,141,1,661,162,8,70,870,183,56,167
1134,189,6,262,188,1050,121,1,593,121,8,60,793,180,32,155
1135,166,8,188,135,636,125,1,421,89,12,40,521,146,34,105
1136,230,10,282,188,1194,149,1,669,142,4,65,857,210,54,148
1141,339,1,428,349,1243,185,1,812,161,0,64,1047,262,37,179
1142,261,6,307,227,1166,134,1,667,123,8,68,858,192,53,123
1143,309,2,414,303,1263,166,1,801,175,8,73,1056,240,59,192
1144,300,5,350,268,1121,158,1,713,135,12,70,928,228,49,156
1145,328,4,367,309,1156,177,1,753,160,8,87,931,224,52,140
1146,321,8,384,285,1289,167,1,791,161,12,90,1036,226,46,175
1147,303,1,380,293,1131,143,1,734,164,12,82,927,238,45,144
1148,268,3,333,207,1300,155,1,727,145,28,63,992,214,56,136
1149,304,5,379,262,1203,150,1,747,152,0,67,950,220,63,183
1151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1152,258,0,312,240,1039,180,1,671,153,4,58,898,221,50,169
1153,295,7,332,262,1281,158,1,749,149,12,74,961,212,46,168
1154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7001,256,1,233,216,964,108,1,559,90,0,63,742,193,28,84
7002,402,2,365,337,1893,212,1,997,163,8,132,1225,270,36,168
7003,437,9,342,376,1275,187,1,834,164,0,111,927,297,42,96
7004,367,0,282,319,1446,178,1,808,131,8,112,896,263,37,89
7005,386,1,306,317,1223,170,1,755,147,0,81,853,287,29,73
7006,420,4,384,401,1259,152,1,799,110,8,69,966,236,42,111
7007,407,0,326,360,1363,219,1,870,208,0,132,987,324,37,104
7008,415,1,313,319,1252,190,1,820,171,0,135,882,330,36,118
7009,362,2,308,336,1166,179,1,750,140,4,77,931,275,33,118
7011,237,0,257,231,1179,95,1,621,122,4,65,1063,171,31,92
7012,404,2,361,359,1568,188,1,925,191,8,121,1034,329,49,120
7013,298,0,204,243,1160,153,1,640,98,0,98,733,198,31,77
7014,442,2,316,376,1549,215,1,928,175,12,134,1073,317,40,134
7015,37,1,46,42,123,12,1,81,21,0,3,113,21,7,11
7016,228,5,258,219,1064,111,1,593,119,4,58,977,159,34,113
7017,166,9,180,194,851,76,1,469,98,4,49,786,146,26,77
7018,250,2,284,240,1124,171,1,672,148,8,64,992,213,41,143
7019,292,2,291,267,1108,188,1,696,138,16,89,945,223,38,132
7021,251,2,284,254,1042,121,1,631,139,16,65,993,192,38,120
7022,280,5,303,300,1015,157,1,667,159,24,66,1032,222,41,96
7023,269,2,300,283,1086,144,1,671,156,8,45,938,240,34,117
7024,23,0,54,31,236,21,1,119,26,4,9,309,29,8,35
7025,87,0,103,98,500,37,1,266,61,4,29,505,74,23,48
7026,230,6,270,208,1185,224,1,700,140,20,80,1022,247,29,161
7027,205,1,247,221,948,129,1,577,131,4,67,879,197,35,123
7028,226,1,242,242,902,111,1,544,128,0,44,900,159,30,91
7029,181,2,187,204,1043,68,1,525,108,12,43,924,141,22,89
7030,176,2,199,152,967,134,1,558,147,4,84,787,171,38,158
7031,140,2,138,137,688,103,1,392,85,4,44,511,123,19,85
7032,210,7,277,232,908,146,1,589,146,32,61,938,186,48,103
7033,172,2,231,207,1010,90,1,546,120,16,45,814,169,25,97
7034,158,0,207,218,1021,67,1,515,115,0,35,954,131,24,84
7035,131,2,118,127,629,78,1,341,83,0,31,476,102,10,53
7036,228,0,295,194,813,152,1,596,168,16,90,967,185,53,190
7037,102,0,158,113,801,55,1,379,67,0,35,840,94,17,74
7038,190,4,237,192,1061,153,1,595,125,28,69,960,178,30,113
