precinctid,amy_bacharach,writein,under_vote,tom_temprano,precincts,shanell_williams,ballots_cast,alex_randolph,over_vote,registration,rafael_mandelman
1101,154,2,829,166,1,232,446,198,0,586,203
1102,268,4,1504,326,1,426,810,328,0,996,384
1103,265,2,1511,301,1,413,781,307,0,971,325
1104,251,1,1499,297,1,372,763,296,4,991,332
1106,226,0,1159,204,1,328,600,243,0,808,240
1107,195,1,945,169,1,288,506,210,12,781,204
1108,263,5,1369,259,1,420,744,337,0,951,323
1109,229,5,1194,210,1,319,617,240,0,809,271
1111,235,2,1480,236,1,367,717,274,0,1031,274
1112,177,2,1123,188,1,294,557,216,0,765,228
1113,174,2,1098,190,1,266,547,219,0,713,239
1114,254,6,1444,280,1,376,741,297,0,971,307
1115,230,2,1580,234,1,376,746,275,0,910,287
1116,217,4,1280,193,1,346,636,262,4,913,238
1117,201,9,1313,218,1,351,644,245,4,886,235
1118,285,4,1405,275,1,460,776,349,8,1031,318
1119,215,4,1152,194,1,311,587,250,12,783,210
1121,189,3,1019,185,1,274,525,203,4,691,223
1122,176,0,992,161,1,238,482,176,4,658,181
1123,211,3,1217,242,1,366,646,277,0,954,268
1124,189,3,1101,169,1,310,556,233,8,831,211
1125,249,2,1592,217,1,355,745,282,4,1029,279
1126,264,3,1326,233,1,378,701,315,0,954,285
1127,295,8,1272,234,1,345,685,308,0,911,278
1128,264,5,1410,217,1,331,686,271,4,907,242
1129,256,10,1360,237,1,344,703,304,8,951,293
1131,227,1,1139,166,1,276,574,255,4,853,228
1132,274,0,1398,223,1,371,721,318,4,982,296
1133,235,3,1342,219,1,312,661,272,4,870,257
1134,190,5,1212,212,1,283,593,236,4,793,230
1135,165,10,771,144,1,217,421,199,4,521,174
1136,230,12,1375,221,1,320,669,253,0,857,265
1141,272,3,1539,309,1,436,812,318,4,1047,367
1142,200,7,1343,256,1,318,667,260,0,858,284
1143,246,6,1528,320,1,432,801,322,4,1056,346
1144,225,4,1393,289,1,378,713,269,0,928,294
1145,240,2,1429,290,1,400,753,298,4,931,349
1146,279,7,1522,287,1,405,791,309,4,1036,351
1147,249,3,1333,319,1,399,734,300,0,927,333
1148,245,4,1500,265,1,366,727,241,8,992,279
1149,253,8,1448,300,1,383,747,280,0,950,316
1151,0,0,0,0,1,0,0,0,0,0,0
