precinctid,roland_emerson,under_vote,lateefah_simon,writein,precincts,ballots_cast,over_vote,registration,will_roscoe,zakhary_mallett
7013,7,193,224,2,1,640,2,733,88,124
7014,14,259,364,6,1,928,3,1073,100,182
7015,4,18,42,0,1,81,0,113,10,7
7016,37,146,235,1,1,593,4,977,76,94
7017,18,87,251,1,1,469,5,786,47,60
7018,30,178,254,2,1,672,6,992,72,130
7019,41,151,285,1,1,696,5,945,84,129
7021,27,143,299,1,1,631,9,993,56,96
7022,47,127,318,7,1,667,6,1032,61,101
7023,37,157,295,4,1,671,5,938,66,107
7024,6,27,45,0,1,119,3,309,21,17
7025,10,63,132,1,1,266,7,505,21,32
7026,38,197,195,1,1,700,6,1022,76,187
7027,36,157,209,3,1,577,7,879,82,83
7028,23,113,266,0,1,544,3,900,60,79
7029,21,129,255,2,1,525,4,924,62,52
7030,30,162,142,6,1,558,4,787,86,128
7031,13,121,122,2,1,392,2,511,48,84
7032,34,116,232,2,1,589,7,938,73,125
7033,22,124,238,4,1,546,7,814,75,76
7034,32,92,273,5,1,515,6,954,43,64
7035,14,81,164,1,1,341,2,476,41,38
7042,19,119,194,2,1,514,2,697,75,103
7043,27,142,240,2,1,640,5,990,102,122
7044,29,99,172,3,1,415,2,867,45,65
7046,19,89,113,0,1,319,0,435,40,58
7053,19,125,123,1,1,462,1,552,80,113
7054,33,152,323,2,1,683,8,1068,69,96
7627,23,451,299,5,1,1326,4,1586,236,308
7635,12,180,222,2,1,643,0,868,116,111
7636,13,279,201,2,1,784,0,993,123,166
7637,24,379,310,3,1,1151,7,1361,180,248
7638,16,384,266,6,1,1135,4,1285,205,254
7639,16,305,227,4,1,891,4,1011,152,183
7641,22,234,202,6,1,795,5,977,128,198
7642,21,307,195,2,1,810,3,967,122,160
7643,21,239,226,1,1,758,3,959,95,173
7644,22,307,254,0,1,925,1,1111,158,183
7645,4,210,154,1,1,587,5,669,75,138
7646,22,647,523,1,1,1893,6,2163,245,449
7647,18,129,268,1,1,598,2,1028,91,89
7648,0,2,1,0,1,3,0,4,0,0
7958,12,48,76,2,1,199,0,291,30,31
