precinctid,under_vote,writein,precincts,gwyneth_borden,bevan_dufty,ballots_cast,over_vote,michael_petrelis,registration
1101,105,2,1,109,199,446,2,29,586
1102,180,2,1,178,404,810,2,44,996
1103,176,1,1,190,363,781,2,49,971
1104,172,4,1,177,345,763,2,63,991
1113,150,0,1,144,219,547,0,34,713
1114,184,7,1,202,264,741,8,76,971
1141,175,2,1,190,381,812,1,63,1047
1142,163,2,1,174,261,667,3,64,858
1143,162,4,1,191,351,801,4,89,1056
1144,143,2,1,195,322,713,0,51,928
1145,158,4,1,184,346,753,3,58,931
1146,172,3,1,202,331,791,3,80,1036
1147,138,1,1,199,326,734,5,65,927
1148,162,2,1,167,303,727,6,87,992
1149,178,3,1,187,310,747,2,67,950
1152,139,0,1,195,273,671,1,63,898
1153,186,2,1,196,292,749,3,70,961
7001,151,4,1,118,245,559,3,38,742
7002,324,4,1,258,360,997,0,51,1225
7003,199,5,1,192,407,834,0,31,927
7004,220,7,1,226,333,808,1,21,896
7005,197,2,1,179,362,755,0,15,853
7006,182,3,1,191,380,799,3,40,966
7007,213,6,1,234,396,870,1,20,987
7008,216,5,1,209,353,820,0,37,882
7009,181,2,1,197,324,750,1,45,931
7011,152,3,1,155,240,621,1,70,1063
7012,253,6,1,256,375,925,2,33,1034
7041,21,0,1,10,7,42,0,4,62
7101,33,0,1,37,53,126,0,3,150
7206,111,1,1,98,118,340,0,12,390
7207,213,0,1,167,192,595,1,22,712
7208,155,5,1,156,201,539,0,22,635
7209,148,2,1,146,185,491,1,9,563
7319,348,6,1,232,289,908,0,33,1123
7323,250,1,1,179,258,727,1,38,888
7324,226,0,1,146,192,601,2,35,756
7332,210,8,1,183,280,718,2,35,889
7333,315,6,1,236,295,888,0,36,1101
7334,254,3,1,206,276,774,1,34,963
7335,291,3,1,228,339,894,2,31,1002
7336,279,3,1,244,324,883,3,30,1017
7337,234,1,1,206,285,755,4,25,944
7339,130,5,1,137,192,495,1,30,660
7341,249,2,1,171,292,765,1,50,974
7342,218,2,1,209,310,791,4,48,1034
7343,171,3,1,156,252,618,3,33,746
7344,276,3,1,241,343,916,2,51,1143
7345,245,2,1,246,355,891,2,41,1186
7346,190,6,1,186,324,762,1,55,991
7347,218,3,1,211,355,841,2,52,1085
7348,184,0,1,197,216,647,1,49,957
7349,213,2,1,194,307,771,1,54,1006
7501,190,0,1,141,179,522,0,12,574
7502,220,1,1,174,273,694,1,25,808
7503,198,1,1,183,271,688,1,34,808
7504,139,6,1,90,153,420,8,24,503
7505,242,4,1,192,277,762,0,47,915
7506,236,4,1,219,289,798,3,47,1018
7507,138,3,1,177,264,631,1,48,992
7508,170,3,1,150,247,606,1,35,735
7509,224,3,1,194,351,825,1,52,1006
7512,140,3,1,91,220,493,4,35,638
7513,165,4,1,139,230,601,0,63,836
7514,138,5,1,133,175,544,5,88,886
7515,200,5,1,195,262,710,3,45,898
7516,180,1,1,205,325,759,2,46,907
7517,235,1,1,189,368,826,1,32,956
7518,236,2,1,206,396,858,0,18,993
7519,190,5,1,147,306,676,2,26,802
7521,210,0,1,153,331,726,1,31,854
7522,178,0,1,168,378,742,1,17,848
7523,168,3,1,144,350,689,0,24,821
7524,123,1,1,135,233,532,2,38,728
7525,156,3,1,173,272,636,0,32,870
7526,222,2,1,217,379,858,4,34,999
7527,178,1,1,148,250,624,3,44,773
7529,224,4,1,210,385,860,3,34,992
7531,212,5,1,209,353,805,0,26,954
7532,209,1,1,192,300,741,2,37,886
7533,240,5,1,216,421,910,1,27,1025
7534,186,2,1,170,389,775,0,28,967
7535,190,3,1,168,323,711,0,27,807
7536,211,2,1,177,356,775,0,29,895
7537,165,4,1,174,296,664,3,22,783
7538,189,1,1,152,367,736,0,27,831
7539,191,6,1,171,426,821,2,25,978
7541,167,3,1,160,372,728,1,25,865
7542,167,6,1,165,396,756,2,20,906
7543,165,2,1,189,416,806,0,34,993
7544,199,5,1,205,377,821,1,34,962
7545,227,2,1,196,369,833,2,37,970
7546,202,0,1,197,404,817,1,13,935
7547,234,5,1,189,386,837,0,23,1057
7548,231,4,1,214,417,894,0,28,1135
7549,199,1,1,159,339,734,3,33,854
7551,179,0,1,167,315,669,0,8,762
7552,186,3,1,172,294,678,1,22,756
7553,53,3,1,38,70,168,0,4,187
7554,194,3,1,231,321,769,3,17,859
7555,224,0,1,198,412,846,0,12,893
7556,222,5,1,231,432,906,0,16,1008
7601,145,4,1,126,259,588,1,53,929
7602,150,5,1,164,296,689,3,71,962
7603,160,1,1,160,307,690,2,60,888
7604,152,2,1,146,285,677,0,92,989
7605,98,3,1,117,164,428,1,45,771
7606,159,3,1,132,256,640,5,85,992
7607,141,3,1,160,334,710,1,71,1055
7608,65,1,1,59,82,244,1,36,456
7609,138,1,1,146,199,551,7,60,1051
7611,121,4,1,114,173,479,5,62,898
7612,122,1,1,105,162,418,0,28,668
7613,146,3,1,129,257,617,6,76,1015
7614,183,9,1,195,314,793,2,90,1177
7615,129,2,1,123,191,528,2,81,1020
7616,231,2,1,225,298,807,2,49,981
7617,137,1,1,122,190,516,6,60,898
7618,143,4,1,176,321,689,3,42,948
7619,370,10,1,412,579,1485,3,111,1971
7621,223,3,1,253,279,800,0,42,1082
