precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,165,45,1,446,1,586,230
1102,329,67,1,810,0,996,411
1103,334,62,1,781,0,971,380
1104,276,72,1,763,1,991,416
1106,227,51,1,600,0,808,315
1107,177,53,1,506,1,781,270
1108,307,68,1,744,1,951,362
1109,235,64,1,617,0,809,313
1111,248,84,1,717,0,1031,376
1112,220,64,1,557,1,765,265
1113,212,49,1,547,0,713,279
1114,290,85,1,741,1,971,362
1115,278,102,1,746,2,910,357
1116,244,74,1,636,0,913,315
1117,245,62,1,644,3,886,327
1118,286,57,1,776,0,1031,425
1119,237,68,1,587,0,783,278
1121,194,59,1,525,0,691,271
1122,196,58,1,482,0,658,226
1123,221,75,1,646,0,954,348
1124,210,62,1,556,1,831,276
1125,279,98,1,745,0,1029,366
1126,280,83,1,701,0,954,330
1127,248,64,1,685,1,911,371
1128,244,74,1,686,0,907,363
1129,267,92,1,703,1,951,339
1131,243,73,1,574,0,853,254
1132,251,86,1,721,0,982,376
1133,264,65,1,661,0,870,324
1134,228,68,1,593,0,793,296
1135,190,39,1,421,0,521,189
1136,269,64,1,669,2,857,331
1141,294,59,1,812,1,1047,456
1142,239,71,1,667,1,858,343
1143,303,79,1,801,0,1056,412
1144,288,71,1,713,0,928,354
1145,307,64,1,753,0,931,374
1146,278,76,1,791,0,1036,433
1147,264,68,1,734,0,927,396
1148,266,80,1,727,0,992,376
1149,284,69,1,747,0,950,390
1151,0,0,1,0,0,0,0
1152,241,75,1,671,0,898,352
1153,277,77,1,749,2,961,385
1154,0,0,1,0,0,0,0
7001,207,56,1,559,0,742,294
7002,285,108,1,997,0,1225,601
7003,253,62,1,834,1,927,516
7004,290,65,1,808,2,896,442
7005,227,71,1,755,0,853,452
7006,259,66,1,799,1,966,470
7007,255,79,1,870,1,987,525
7008,263,66,1,820,1,882,480
7009,224,72,1,750,0,931,452
7011,221,69,1,621,0,1063,327
7012,287,79,1,925,0,1034,550
7013,208,56,1,640,0,733,373
7014,249,85,1,928,2,1073,587
7015,19,3,1,81,0,113,59
7016,223,65,1,593,0,977,305
7017,214,50,1,469,0,786,206
7018,266,77,1,672,0,992,326
7019,258,77,1,696,1,945,356
7021,238,57,1,631,0,993,329
7022,233,85,1,667,1,1032,337
7023,275,69,1,671,0,938,318
7024,40,14,1,119,1,309,63
7025,104,27,1,266,0,505,133
7026,280,92,1,700,0,1022,316
7027,234,75,1,577,0,879,262
7028,200,58,1,544,3,900,281
7029,212,74,1,525,0,924,236
7030,205,72,1,558,0,787,279
7031,126,59,1,392,0,511,202
7032,216,72,1,589,3,938,293
7033,216,59,1,546,2,814,268
7034,215,61,1,515,0,954,236
7035,148,27,1,341,0,476,165
7036,210,68,1,596,0,967,318
7037,151,52,1,379,0,840,175
7038,230,87,1,595,0,960,276
7039,254,73,1,625,0,831,298
7041,12,6,1,42,0,62,25
7042,185,68,1,514,0,697,259
7043,223,63,1,640,0,990,349
7044,169,44,1,415,0,867,203
7045,186,75,1,531,0,803,269
7046,139,25,1,319,0,435,151
7047,215,56,1,602,0,858,325
7048,205,66,1,518,0,877,243
7049,190,78,1,534,0,829,262
7051,213,95,1,612,0,909,299
7052,248,89,1,675,1,894,334
7053,169,43,1,462,0,552,242
7054,268,76,1,683,0,1068,336
7101,44,14,1,126,0,150,67
7201,279,97,1,868,0,983,479
7202,248,67,1,752,1,885,426
7203,300,81,1,840,0,950,442
7204,276,83,1,833,0,933,465
7205,261,65,1,815,1,903,483
7206,108,33,1,340,0,390,199
7207,197,92,1,595,0,712,299
7208,166,53,1,539,0,635,312
7209,164,43,1,491,0,563,279
7301,257,111,1,813,0,1080,440
7302,240,84,1,732,0,862,405
7303,266,104,1,851,0,1032,480
7304,284,95,1,828,0,993,447
7305,236,76,1,772,1,906,444
7306,253,99,1,882,1,1076,503
7307,184,83,1,674,0,826,397
7308,161,52,1,548,0,641,330
7309,233,82,1,764,0,897,441
7311,256,96,1,853,0,986,490
7312,256,75,1,768,0,874,431
7313,232,102,1,798,0,1001,453
7314,141,103,1,511,2,833,255
7315,161,86,1,597,0,783,339
7316,192,99,1,661,0,893,367
7317,222,72,1,743,1,938,438
7318,236,95,1,689,0,788,348
7319,275,109,1,908,0,1123,516
