precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,180,36,1,446,0,586,225
1102,356,80,1,810,0,996,371
1103,326,72,1,781,1,971,377
1104,315,77,1,763,1,991,372
1106,212,64,1,600,0,808,317
1107,181,42,1,506,1,781,277
1108,272,78,1,744,0,951,388
1109,241,74,1,617,0,809,297
1111,247,98,1,717,0,1031,363
1112,216,73,1,557,1,765,260
1113,232,65,1,547,0,713,243
1114,300,91,1,741,0,971,347
1115,249,96,1,746,0,910,394
1116,236,80,1,636,1,913,316
1117,256,67,1,644,0,886,314
1118,294,76,1,776,0,1031,398
1119,209,75,1,587,0,783,299
1121,194,75,1,525,0,691,255
1122,195,55,1,482,0,658,230
1123,245,78,1,646,5,954,316
1124,214,75,1,556,0,831,260
1125,282,91,1,745,2,1029,368
1126,280,83,1,701,0,954,330
1127,248,78,1,685,0,911,358
1128,231,89,1,686,0,907,361
1129,264,88,1,703,2,951,345
1131,229,73,1,574,0,853,268
1132,287,107,1,721,0,982,319
1133,268,69,1,661,0,870,316
1134,202,72,1,593,1,793,317
1135,173,37,1,421,0,521,208
1136,259,81,1,669,0,857,326
1141,313,78,1,812,0,1047,419
1142,246,72,1,667,2,858,334
1143,264,86,1,801,1,1056,443
1144,261,76,1,713,1,928,375
1145,298,69,1,753,0,931,378
1146,294,82,1,791,0,1036,411
1147,310,65,1,734,0,927,353
1148,289,73,1,727,0,992,360
1149,281,72,1,747,0,950,390
1151,0,0,1,0,0,0,0
1152,276,63,1,671,1,898,328
1153,295,80,1,749,0,961,366
1154,0,0,1,0,0,0,0
7001,251,69,1,559,1,742,236
7002,401,121,1,997,0,1225,472
7003,366,73,1,834,2,927,391
7004,354,71,1,808,0,896,374
7005,318,71,1,755,0,853,361
7006,398,76,1,799,0,966,322
7007,350,95,1,870,1,987,414
7008,342,87,1,820,0,882,381
7009,288,77,1,750,1,931,382
7011,234,76,1,621,0,1063,307
7012,407,83,1,925,0,1034,426
7013,312,70,1,640,1,733,254
7014,408,91,1,928,1,1073,423
7015,30,9,1,81,0,113,42
7016,248,69,1,593,1,977,275
7017,181,56,1,469,0,786,233
7018,264,80,1,672,1,992,324
7019,288,71,1,696,2,945,331
7021,248,59,1,631,0,993,317
7022,263,75,1,667,0,1032,318
7023,272,62,1,671,0,938,328
7024,38,10,1,119,1,309,69
7025,91,37,1,266,0,505,136
7026,219,80,1,700,0,1022,389
7027,210,90,1,577,1,879,270
7028,211,51,1,544,0,900,280
7029,199,74,1,525,0,924,249
7030,196,81,1,558,0,787,279
7031,130,50,1,392,0,511,207
7032,225,71,1,589,2,938,286
7033,206,69,1,546,0,814,270
7034,210,64,1,515,0,954,238
7035,152,19,1,341,1,476,168
7036,206,72,1,596,0,967,318
7037,135,61,1,379,0,840,182
7038,234,90,1,595,0,960,269
7039,245,66,1,625,0,831,314
7041,12,7,1,42,0,62,24
7042,198,51,1,514,0,697,263
7043,264,62,1,640,0,990,309
7044,164,47,1,415,0,867,205
7045,220,68,1,531,0,803,242
7046,128,31,1,319,0,435,156
7047,250,72,1,602,0,858,274
7048,210,58,1,518,0,877,246
7049,200,88,1,534,0,829,242
7051,224,83,1,612,1,909,299
7052,260,88,1,675,0,894,324
7053,173,52,1,462,0,552,229
7054,299,67,1,683,0,1068,314
7101,41,18,1,126,0,150,66
7201,360,91,1,868,1,983,403
7202,325,78,1,752,2,885,337
7203,372,96,1,840,1,950,354
7204,350,86,1,833,0,933,388
7205,367,77,1,815,1,903,365
7206,144,23,1,340,0,390,173
7207,219,84,1,595,0,712,285
7208,238,60,1,539,0,635,233
7209,259,38,1,491,0,563,189
7301,292,114,1,813,0,1080,402
7302,292,93,1,732,0,862,344
7303,356,109,1,851,0,1032,385
7304,368,98,1,828,1,993,359
7305,338,91,1,772,0,906,328
7306,334,119,1,882,0,1076,403
7307,268,87,1,674,1,826,308
7308,231,58,1,548,0,641,254
7309,317,107,1,764,1,897,331
7311,338,119,1,853,0,986,385
7312,358,103,1,768,0,874,301
7313,319,106,1,798,0,1001,362
7314,131,102,1,511,1,833,267
7315,205,77,1,597,0,783,304
7316,242,98,1,661,1,893,317
7317,302,74,1,743,1,938,356
7318,251,102,1,689,0,788,326
7319,376,116,1,908,0,1123,408
7321,198,67,1,493,0,683,222
7322,140,139,1,526,0,937,244
7323,321,102,1,727,0,888,293
7324,217,97,1,601,0,756,277
7325,332,117,1,792,0,973,331
7326,299,95,1,749,0,922,344
7327,134,92,1,434,0,762,207
7328,162,172,1,617,0,1024,286
7329,197,64,1,454,0,607,190
7331,351,79,1,793,1,933,350
7332,274,83,1,718,0,889,353
7333,380,117,1,888,1,1101,376
7334,297,109,1,774,0,963,358
7335,373,105,1,894,1,1002,401
7336,361,96,1,883,2,1017,415
7337,309,77,1,755,2,944,361
7338,246,136,1,695,0,1005,307
7339,190,60,1,495,0,660,240
7341,279,90,1,765,0,974,386
7342,332,83,1,791,0,1034,370
7343,231,80,1,618,0,746,303
7344,313,95,1,916,1,1143,501
7345,368,118,1,891,0,1186,395
7346,298,84,1,762,1,991,376
7347,289,98,1,841,0,1085,441
7348,238,85,1,647,0,957,312
7349,334,106,1,771,1,1006,319
7501,235,62,1,522,1,574,217
7502,327,78,1,694,1,808,283
7503,286,86,1,688,1,808,309
7504,165,54,1,420,0,503,191
7505,360,77,1,762,0,915,312
7506,321,80,1,798,3,1018,380
7507,254,57,1,631,0,992,317
7508,226,59,1,606,1,735,319
7509,312,105,1,825,0,1006,398
7512,208,60,1,493,0,638,222
7513,224,89,1,601,1,836,285
7514,219,76,1,544,1,886,247
7515,300,72,1,710,1,898,333
7516,300,101,1,759,0,907,352
7517,354,81,1,826,0,956,382
7518,387,81,1,858,1,993,384
7519,286,70,1,676,0,802,308
7521,284,77,1,726,0,854,355
7522,356,66,1,742,1,848,313
7523,312,67,1,689,0,821,307
7524,218,56,1,532,0,728,254
7525,255,69,1,636,0,870,303
7526,369,104,1,858,1,999,375
7527,267,63,1,624,0,773,284
7529,387,90,1,860,0,992,378
7531,353,81,1,805,0,954,366
7532,348,105,1,741,0,886,287
7533,407,86,1,910,1,1025,403
7534,339,70,1,775,1,967,360
7535,298,59,1,711,0,807,347
7536,314,82,1,775,0,895,371
7537,274,75,1,664,0,783,307
7538,294,73,1,736,1,831,361
7539,376,75,1,821,0,978,368
7541,340,70,1,728,1,865,312
7542,320,67,1,756,0,906,367
7543,352,92,1,806,1,993,356
7544,375,83,1,821,0,962,359
7545,344,88,1,833,0,970,393
7546,352,74,1,817,0,935,380
7547,356,95,1,837,0,1057,377
7548,386,74,1,894,0,1135,428
7549,290,75,1,734,1,854,362
7551,296,68,1,669,0,762,301
7552,322,61,1,678,1,756,285
7553,59,18,1,168,0,187,90
7554,356,72,1,769,1,859,328
7555,389,77,1,846,1,893,371
7556,445,67,1,906,0,1008,386
7601,216,71,1,588,0,929,295
7602,273,81,1,689,1,962,331
7603,266,61,1,690,0,888,361
7604,281,72,1,677,0,989,318
7605,151,71,1,428,1,771,205
7606,237,89,1,640,1,992,309
7607,267,83,1,710,1,1055,352
7608,75,50,1,244,0,456,118
7609,143,98,1,551,0,1051,306
7611,149,83,1,479,0,898,243
7612,162,59,1,418,0,668,193
7613,224,75,1,617,1,1015,311
7614,290,97,1,793,0,1177,403
7615,180,75,1,528,0,1020,268
7616,341,97,1,807,0,981,363
7617,155,87,1,516,2,898,264
7618,288,66,1,689,0,948,334
7619,603,186,1,1485,1,1971,692
7621,298,97,1,800,0,1082,399
7622,181,68,1,534,1,1007,278
7623,170,47,1,467,0,839,243
7624,222,76,1,565,0,1074,264
7625,195,116,1,617,1,896,296
7626,422,105,1,1011,0,1177,477
7627,579,154,1,1326,0,1586,577
7628,304,67,1,720,0,1006,346
7629,244,62,1,577,0,837,264
7631,398,102,1,915,2,1143,409
7632,252,39,1,532,1,727,236
7633,213,83,1,574,1,731,276
7634,301,90,1,706,0,1017,312
7635,261,78,1,643,0,868,298
7636,327,88,1,784,1,993,364
7637,471,135,1,1151,1,1361,539
7638,523,140,1,1135,0,1285,462
7639,416,104,1,891,0,1011,360
7641,378,73,1,795,0,977,335
7642,260,160,1,810,0,967,378
7643,315,108,1,758,0,959,333
7644,334,126,1,925,1,1111,456
7645,254,59,1,587,0,669,268
7646,840,180,1,1893,2,2163,852
7647,223,72,1,598,1,1028,298
7648,1,1,1,3,0,4,2
7701,416,93,1,914,0,1049,392
7702,308,75,1,663,0,775,278
7703,30,20,1,100,0,178,46
7704,411,77,1,881,1,1006,385
7705,258,45,1,495,0,554,188
7706,365,69,1,773,0,853,339
7707,382,70,1,784,0,854,322
