precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,93,45,1,446,1,586,303
1102,151,88,1,810,0,996,568
1103,150,74,1,781,0,971,554
1104,121,89,1,763,0,991,556
1106,137,59,1,600,1,808,396
1107,105,52,1,506,0,781,342
1108,129,83,1,744,2,951,527
1109,126,62,1,617,0,809,425
1111,136,75,1,717,0,1031,498
1112,106,74,1,557,0,765,370
1113,120,49,1,547,0,713,369
1114,124,111,1,741,0,971,506
1115,141,85,1,746,0,910,518
1116,106,73,1,636,0,913,452
1117,120,68,1,644,0,886,448
1118,145,78,1,776,0,1031,547
1119,92,72,1,587,0,783,418
1121,140,55,1,525,1,691,330
1122,117,56,1,482,0,658,305
1123,100,75,1,646,0,954,469
1124,108,58,1,556,0,831,384
1125,126,103,1,745,0,1029,511
1126,125,84,1,701,1,954,481
1127,165,82,1,685,0,911,441
1128,133,95,1,686,0,907,450
1129,149,79,1,703,1,951,474
1131,117,73,1,574,0,853,381
1132,157,83,1,721,1,982,471
1133,137,66,1,661,1,870,449
1134,121,62,1,593,1,793,406
1135,112,38,1,421,1,521,269
1136,138,84,1,669,0,857,443
1141,154,67,1,812,1,1047,587
1142,123,74,1,667,2,858,456
1143,119,86,1,801,0,1056,590
1144,148,76,1,713,0,928,489
1145,136,80,1,753,0,931,528
1146,132,80,1,791,0,1036,578
1147,127,64,1,734,0,927,539
1148,169,90,1,727,0,992,465
1149,174,73,1,747,1,950,496
1151,0,0,1,0,0,0,0
1152,136,73,1,671,1,898,462
1153,177,81,1,749,0,961,481
1154,0,0,1,0,0,0,0
7001,83,55,1,559,0,742,419
7002,200,118,1,997,0,1225,678
7003,131,83,1,834,2,927,615
7004,114,92,1,808,2,896,590
7005,100,79,1,755,0,853,569
7006,109,74,1,799,0,966,613
7007,127,88,1,870,2,987,643
7008,129,67,1,820,1,882,615
7009,122,77,1,750,1,931,545
7011,84,61,1,621,1,1063,471
7012,140,88,1,925,1,1034,690
7013,98,88,1,640,0,733,450
7014,140,109,1,928,1,1073,673
7015,9,8,1,81,0,113,63
7016,89,76,1,593,0,977,427
7017,42,47,1,469,0,786,381
7018,169,76,1,672,0,992,424
7019,120,74,1,696,1,945,499
7021,69,64,1,631,0,993,493
7022,81,58,1,667,0,1032,518
7023,81,69,1,671,0,938,511
7024,5,10,1,119,0,309,103
7025,25,33,1,266,0,505,207
7026,183,80,1,700,0,1022,426
7027,96,59,1,577,0,879,418
7028,57,61,1,544,0,900,426
7029,37,68,1,525,0,924,417
7030,182,66,1,558,0,787,308
7031,64,45,1,392,0,511,277
7032,77,71,1,589,2,938,432
7033,90,73,1,546,1,814,383
7034,27,60,1,515,0,954,428
7035,56,49,1,341,0,476,235
7036,96,70,1,596,0,967,430
7037,22,50,1,379,2,840,304
7038,126,70,1,595,0,960,401
7039,145,68,1,625,0,831,411
7041,7,7,1,42,0,62,29
7042,99,60,1,514,0,697,353
7043,100,59,1,640,0,990,476
7044,50,54,1,415,2,867,309
7045,125,55,1,531,0,803,344
7046,77,26,1,319,0,435,214
7047,131,62,1,602,0,858,402
7048,84,58,1,518,0,877,372
7049,125,80,1,534,0,829,326
7051,137,71,1,612,0,909,399
7052,152,76,1,675,0,894,445
7053,96,59,1,462,0,552,295
7054,82,55,1,683,1,1068,542
7101,13,16,1,126,0,150,96
7201,165,113,1,868,1,983,579
7202,178,98,1,752,0,885,466
7203,154,126,1,840,0,950,548
7204,153,124,1,833,0,933,546
7205,178,92,1,815,2,903,537
7206,64,39,1,340,0,390,237
7207,109,105,1,595,0,712,376
7208,86,99,1,539,0,635,344
7209,79,43,1,491,0,563,363
7301,153,114,1,813,0,1080,546
7302,173,95,1,732,1,862,458
7303,147,125,1,851,0,1032,578
7304,165,121,1,828,0,993,541
7305,162,101,1,772,1,906,497
7306,173,123,1,882,0,1076,559
7307,118,95,1,674,1,826,451
7308,111,69,1,548,0,641,366
7309,107,125,1,764,0,897,522
7311,135,144,1,853,0,986,565
7312,157,119,1,768,0,874,489
7313,144,108,1,798,1,1001,537
7314,83,106,1,511,1,833,313
7315,88,101,1,597,0,783,400
7316,103,104,1,661,1,893,450
7317,133,89,1,743,1,938,511
7318,116,128,1,689,0,788,435
7319,164,148,1,908,0,1123,584
7321,101,82,1,493,0,683,305
7322,90,126,1,526,0,937,306
7323,134,120,1,727,0,888,459
7324,88,99,1,601,1,756,406
7325,140,118,1,792,0,973,523
7326,101,109,1,749,0,922,526
7327,83,84,1,434,2,762,265
7328,88,144,1,617,1,1024,387
7329,103,62,1,454,0,607,287
7331,170,124,1,793,0,933,488
7332,94,98,1,718,1,889,517
7333,149,158,1,888,0,1101,570
7334,128,115,1,774,1,963,518
7335,162,131,1,894,0,1002,591
7336,170,142,1,883,0,1017,563
7337,140,122,1,755,1,944,488
7338,149,128,1,695,1,1005,411
7339,62,51,1,495,0,660,377
7341,120,117,1,765,1,974,518
7342,127,95,1,791,1,1034,561
7343,70,102,1,618,1,746,440
7344,137,131,1,916,1,1143,641
7345,115,149,1,891,0,1186,616
7346,100,100,1,762,1,991,555
7347,91,107,1,841,1,1085,627
7348,94,89,1,647,0,957,458
7349,136,114,1,771,1,1006,511
7501,109,70,1,522,0,574,336
7502,129,99,1,694,0,808,459
7503,103,101,1,688,0,808,480
7504,46,61,1,420,0,503,305
7505,76,112,1,762,1,915,561
7506,98,118,1,798,0,1018,568
7507,69,74,1,631,0,992,486
7508,125,79,1,606,1,735,397
7509,127,114,1,825,1,1006,573
7512,72,79,1,493,0,638,338
7513,60,88,1,601,0,836,453
7514,49,90,1,544,1,886,400
7515,81,76,1,710,0,898,547
7516,130,101,1,759,0,907,523
7517,91,87,1,826,1,956,639
7518,115,79,1,858,2,993,657
7519,73,82,1,676,3,802,510
7521,66,70,1,726,0,854,582
7522,79,74,1,742,0,848,584
7523,61,62,1,689,0,821,564
7524,63,66,1,532,0,728,400
7525,51,72,1,636,1,870,502
7526,86,107,1,858,0,999,660
7527,61,63,1,624,4,773,484
7529,90,93,1,860,0,992,674
7531,76,93,1,805,1,954,632
7532,101,110,1,741,1,886,528
7533,93,109,1,910,1,1025,698
7534,97,72,1,775,0,967,605
7535,82,71,1,711,1,807,552
7536,88,82,1,775,2,895,595
