precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,89,40,1,446,0,586,313
1102,173,82,1,810,0,996,552
1103,148,73,1,781,0,971,557
1104,150,82,1,763,0,991,534
1106,134,56,1,600,0,808,403
1107,108,49,1,506,0,781,342
1108,128,83,1,744,0,951,530
1109,142,62,1,617,0,809,409
1111,163,66,1,717,0,1031,480
1112,100,70,1,557,0,765,380
1113,128,54,1,547,0,713,356
1114,128,108,1,741,1,971,504
1115,176,82,1,746,1,910,485
1116,113,81,1,636,0,913,437
1117,117,67,1,644,0,886,452
1118,139,78,1,776,0,1031,553
1119,104,65,1,587,0,783,413
1121,138,53,1,525,1,691,334
1122,114,58,1,482,0,658,306
1123,96,62,1,646,0,954,486
1124,99,59,1,556,0,831,392
1125,142,98,1,745,0,1029,500
1126,141,75,1,701,0,954,475
1127,163,79,1,685,0,911,446
1128,140,90,1,686,0,907,448
1129,144,79,1,703,1,951,479
1131,125,81,1,574,0,853,365
1132,155,83,1,721,0,982,474
1133,124,65,1,661,0,870,464
1134,115,62,1,593,1,793,412
1135,104,32,1,421,0,521,284
1136,157,85,1,669,0,857,423
1141,146,68,1,812,1,1047,594
1142,126,77,1,667,0,858,452
1143,143,78,1,801,0,1056,574
1144,155,79,1,713,1,928,478
1145,128,75,1,753,1,931,540
1146,130,85,1,791,1,1036,574
1147,121,69,1,734,0,927,540
1148,163,83,1,727,0,992,478
1149,171,72,1,747,0,950,501
1151,0,0,1,0,0,0,0
1152,144,67,1,671,0,898,461
1153,152,79,1,749,0,961,508
1154,0,0,1,0,0,0,0
7001,74,53,1,559,0,742,430
7002,207,130,1,997,0,1225,659
7003,130,80,1,834,0,927,621
7004,126,94,1,808,0,896,578
7005,106,85,1,755,0,853,557
7006,96,86,1,799,0,966,614
7007,135,92,1,870,0,987,633
7008,149,74,1,820,0,882,589
7009,120,76,1,750,1,931,548
7011,74,70,1,621,1,1063,472
7012,140,99,1,925,0,1034,680
7013,93,86,1,640,1,733,456
7014,140,109,1,928,0,1073,674
7015,7,9,1,81,0,113,64
7016,79,81,1,593,1,977,431
7017,51,50,1,469,0,786,369
7018,155,65,1,672,0,992,449
7019,128,70,1,696,1,945,495
7021,75,66,1,631,0,993,485
7022,72,59,1,667,0,1032,526
7023,80,67,1,671,0,938,514
7024,9,9,1,119,0,309,100
7025,11,34,1,266,0,505,220
7026,186,83,1,700,0,1022,420
7027,109,57,1,577,0,879,407
7028,53,62,1,544,0,900,429
7029,44,64,1,525,0,924,414
7030,197,58,1,558,0,787,301
7031,81,44,1,392,0,511,261
7032,84,77,1,589,2,938,419
7033,69,74,1,546,0,814,404
7034,23,64,1,515,0,954,428
7035,47,50,1,341,0,476,243
7036,103,67,1,596,1,967,425
7037,22,59,1,379,1,840,296
7038,127,66,1,595,0,960,404
7039,153,72,1,625,0,831,399
7041,12,6,1,42,0,62,25
7042,95,62,1,514,0,697,355
7043,93,61,1,640,0,990,481
7044,50,51,1,415,0,867,314
7045,132,55,1,531,0,803,337
7046,79,30,1,319,0,435,208
7047,142,65,1,602,0,858,388
7048,101,50,1,518,0,877,363
7049,133,77,1,534,0,829,321
7051,145,69,1,612,0,909,393
7052,190,76,1,675,0,894,407
7053,112,60,1,462,0,552,278
7054,87,61,1,683,0,1068,532
7101,18,16,1,126,0,150,91
7201,159,132,1,868,0,983,567
7202,172,97,1,752,1,885,472
7203,155,137,1,840,1,950,535
7204,162,132,1,833,1,933,528
7205,177,92,1,815,2,903,538
7206,72,51,1,340,0,390,217
7207,103,104,1,595,0,712,383
7208,71,94,1,539,0,635,364
7209,63,50,1,491,0,563,372
7301,137,118,1,813,1,1080,557
7302,171,103,1,732,0,862,453
7303,132,130,1,851,0,1032,588
7304,155,126,1,828,0,993,546
7305,155,103,1,772,0,906,503
7306,164,131,1,882,2,1076,558
7307,105,96,1,674,0,826,464
7308,101,71,1,548,0,641,374
7309,117,129,1,764,0,897,508
7311,119,152,1,853,0,986,573
7312,189,112,1,768,1,874,463
7313,136,121,1,798,0,1001,533
7314,92,104,1,511,1,833,306
7315,81,108,1,597,0,783,400
7316,108,95,1,661,1,893,454
7317,151,92,1,743,0,938,491
7318,135,133,1,689,0,788,411
7319,174,149,1,908,0,1123,573
7321,111,84,1,493,0,683,293
7322,87,118,1,526,0,937,317
7323,136,113,1,727,0,888,464
7324,94,105,1,601,0,756,395
7325,119,125,1,792,0,973,537
7326,101,116,1,749,0,922,519
7327,83,89,1,434,0,762,262
7328,92,155,1,617,0,1024,373
7329,113,59,1,454,0,607,280
7331,164,118,1,793,0,933,500
7332,95,100,1,718,0,889,515
7333,134,157,1,888,0,1101,586
7334,111,125,1,774,0,963,526
7335,165,134,1,894,0,1002,585
7336,170,148,1,883,0,1017,557
7337,136,119,1,755,0,944,496
7338,135,137,1,695,0,1005,417
7339,61,54,1,495,0,660,375
7341,108,124,1,765,0,974,524
7342,99,100,1,791,0,1034,585
7343,58,100,1,618,0,746,455
7344,147,134,1,916,0,1143,629
7345,87,147,1,891,0,1186,646
7346,67,108,1,762,0,991,581
7347,69,122,1,841,0,1085,635
7348,80,97,1,647,0,957,464
7349,116,116,1,771,1,1006,529
7501,105,69,1,522,0,574,341
7502,119,108,1,694,0,808,460
7503,99,114,1,688,0,808,471
7504,45,66,1,420,1,503,300
7505,87,113,1,762,1,915,549
7506,95,117,1,798,0,1018,572
7507,91,72,1,631,0,992,466
7508,99,72,1,606,1,735,430
7509,107,113,1,825,0,1006,595
7512,77,76,1,493,1,638,335
7513,67,100,1,601,1,836,433
7514,43,90,1,544,0,886,407
7515,98,88,1,710,0,898,518
7516,106,101,1,759,0,907,547
7517,73,92,1,826,0,956,653
7518,86,84,1,858,0,993,683
7519,63,84,1,676,1,802,520
7521,61,73,1,726,0,854,584
7522,63,77,1,742,1,848,596
7523,51,57,1,689,1,821,578
7524,53,72,1,532,0,728,404
7525,34,83,1,636,1,870,508
7526,86,119,1,858,0,999,648
7527,76,68,1,624,0,773,468
7529,70,97,1,860,0,992,690
7531,81,95,1,805,0,954,626
7532,100,106,1,741,0,886,534
7533,86,110,1,910,1,1025,704
7534,88,80,1,775,0,967,606
7535,65,66,1,711,0,807,575
7536,66,81,1,775,0,895,620
7537,73,68,1,664,0,783,518
7538,65,76,1,736,0,831,590
7539,67,77,1,821,1,978,672
7541,58,71,1,728,0,865,596
7542,65,71,1,756,0,906,617
7543,78,69,1,806,0,993,653
7544,85,98,1,821,0,962,635
7545,88,111,1,833,0,970,629
7546,71,87,1,817,0,935,654
7547,59,109,1,837,0,1057,659
7548,93,106,1,894,0,1135,690
7549,88,77,1,734,0,854,561
7551,61,79,1,669,0,762,525
7552,68,66,1,678,2,756,533
7553,26,24,1,168,0,187,114
7554,96,74,1,769,0,859,591
7555,110,103,1,846,0,893,626
7556,116,91,1,906,0,1008,690
7601,61,91,1,588,0,929,429
7602,61,89,1,689,0,962,535
7603,62,83,1,690,0,888,540
7604,69,83,1,677,0,989,517
7605,42,65,1,428,0,771,318
7606,62,88,1,640,1,992,483
7607,66,92,1,710,0,1055,543
7608,36,51,1,244,0,456,156
7609,58,106,1,551,0,1051,382
7611,36,97,1,479,0,898,343
7612,73,60,1,418,0,668,280
7613,43,93,1,617,0,1015,476
7614,67,115,1,793,1,1177,606
7615,38,82,1,528,0,1020,402
7616,118,109,1,807,0,981,573
7617,68,80,1,516,0,898,358
7618,108,82,1,689,0,948,498
7619,199,225,1,1485,0,1971,1060
7621,99,115,1,800,0,1082,581
7622,45,83,1,534,0,1007,399
7623,41,61,1,467,0,839,358
7624,61,75,1,565,0,1074,424
7625,113,95,1,617,0,896,402
7626,198,153,1,1011,1,1177,652
7627,272,199,1,1326,0,1586,839
7628,100,90,1,720,0,1006,527
7629,77,69,1,577,0,837,423
7631,147,132,1,915,0,1143,634
7632,55,55,1,532,0,727,419
7633,85,94,1,574,0,731,394
7634,119,102,1,706,1,1017,483
7635,94,90,1,643,1,868,455
7636,151,105,1,784,0,993,525
7637,247,195,1,1151,0,1361,701
7638,317,183,1,1135,1,1285,618
7639,217,136,1,891,1,1011,522
7641,181,84,1,795,0,977,520
7642,112,184,1,810,0,967,502
7643,164,124,1,758,1,959,465
7644,160,149,1,925,0,1111,607
7645,120,90,1,587,0,669,369
7646,304,266,1,1893,1,2163,1301
7647,44,77,1,598,0,1028,473
7648,0,0,1,3,0,4,3
7701,129,110,1,914,0,1049,668
7702,147,78,1,663,0,775,434
7703,6,25,1,100,0,178,65
7704,214,93,1,881,0,1006,567
7705,148,44,1,495,1,554,300
7706,185,67,1,773,0,853,520
7707,172,78,1,784,0,854,528
7708,159,72,1,783,0,894,540
7709,61,30,1,354,0,390,259
7711,126,61,1,685,0,789,493
7712,79,50,1,518,1,577,381
7801,146,74,1,964,0,975,738
7802,100,74,1,723,1,760,543
7803,127,63,1,774,0,827,578
7804,139,86,1,876,1,932,646
7805,98,73,1,761,0,852,588
7806,65,55,1,663,0,746,537
