precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,109,53,1,446,0,586,280
1102,201,102,1,810,0,996,504
1103,171,105,1,781,1,971,501
1104,158,102,1,763,0,991,506
1106,171,73,1,600,0,808,349
1107,124,73,1,506,0,781,302
1108,148,105,1,744,0,951,488
1109,183,87,1,617,0,809,343
1111,188,95,1,717,1,1031,425
1112,133,86,1,557,0,765,331
1113,135,67,1,547,0,713,336
1114,153,131,1,741,0,971,457
1115,181,110,1,746,0,910,453
1116,120,102,1,636,0,913,409
1117,151,81,1,644,1,886,403
1118,197,88,1,776,0,1031,485
1119,132,86,1,587,0,783,364
1121,167,79,1,525,0,691,280
1122,145,65,1,482,1,658,267
1123,147,90,1,646,0,954,407
1124,126,77,1,556,0,831,347
1125,178,136,1,745,0,1029,426
1126,178,100,1,701,0,954,413
1127,184,100,1,685,0,911,404
1128,186,108,1,686,0,907,384
1129,172,99,1,703,0,951,432
1131,171,84,1,574,1,853,315
1132,195,96,1,721,1,982,420
1133,165,85,1,661,0,870,403
1134,161,81,1,593,0,793,348
1135,130,40,1,421,0,521,250
1136,195,98,1,669,0,857,372
1141,184,87,1,812,0,1047,538
1142,146,83,1,667,1,858,425
1143,149,98,1,801,0,1056,548
1144,177,92,1,713,0,928,444
1145,163,94,1,753,1,931,486
1146,160,101,1,791,0,1036,529
1147,164,87,1,734,0,927,479
1148,203,92,1,727,0,992,429
1149,195,95,1,747,0,950,454
1151,0,0,1,0,0,0,0
1152,169,88,1,671,0,898,415
1153,199,103,1,749,0,961,437
1154,0,0,1,0,0,0,0
7001,103,76,1,559,1,742,377
7002,211,157,1,997,0,1225,628
7003,147,99,1,834,0,927,585
7004,114,101,1,808,0,896,583
7005,91,91,1,755,0,853,566
7006,117,103,1,799,0,966,576
7007,146,100,1,870,1,987,613
7008,126,88,1,820,0,882,598
7009,121,102,1,750,0,931,522
7011,82,77,1,621,0,1063,458
7012,175,121,1,925,0,1034,623
7013,109,94,1,640,0,733,433
7014,145,124,1,928,1,1073,653
7015,11,7,1,81,0,113,62
7016,114,94,1,593,0,977,384
7017,83,63,1,469,1,786,323
7018,167,88,1,672,0,992,414
7019,161,78,1,696,0,945,455
7021,76,79,1,631,1,993,470
7022,99,77,1,667,0,1032,481
7023,129,94,1,671,0,938,438
7024,14,12,1,119,0,309,92
7025,36,40,1,266,0,505,189
7026,234,99,1,700,0,1022,356
7027,118,79,1,577,0,879,376
7028,68,74,1,544,1,900,401
7029,65,86,1,525,1,924,370
7030,216,79,1,558,0,787,261
7031,85,59,1,392,0,511,242
7032,108,81,1,589,2,938,391
7033,102,82,1,546,1,814,362
7034,49,71,1,515,0,954,395
7035,71,56,1,341,0,476,213
7036,139,80,1,596,0,967,377
7037,43,61,1,379,0,840,274
7038,147,96,1,595,0,960,354
7039,166,85,1,625,0,831,373
7041,16,10,1,42,0,62,17
7042,110,82,1,514,0,697,320
7043,138,83,1,640,0,990,414
7044,71,70,1,415,0,867,274
7045,153,62,1,531,1,803,308
7046,90,35,1,319,0,435,192
7047,172,67,1,602,0,858,356
7048,126,68,1,518,0,877,320
7049,156,97,1,534,0,829,278
7051,164,94,1,612,0,909,349
7052,193,93,1,675,0,894,387
7053,126,77,1,462,0,552,247
7054,110,83,1,683,0,1068,487
7101,23,16,1,126,0,150,86
7201,184,135,1,868,0,983,539
7202,206,103,1,752,2,885,431
7203,183,159,1,840,0,950,486
7204,180,158,1,833,0,933,485
7205,201,110,1,815,0,903,498
7206,73,48,1,340,0,390,219
7207,93,126,1,595,0,712,371
7208,93,111,1,539,0,635,325
7209,84,57,1,491,0,563,344
7301,155,145,1,813,0,1080,513
7302,161,121,1,732,1,862,444
7303,161,155,1,851,0,1032,534
7304,181,147,1,828,0,993,499
7305,173,104,1,772,0,906,484
7306,169,143,1,882,0,1076,543
7307,137,115,1,674,0,826,413
7308,115,86,1,548,0,641,345
7309,135,148,1,764,2,897,469
7311,151,173,1,853,0,986,520
7312,190,137,1,768,0,874,438
7313,146,139,1,798,0,1001,505
7314,105,114,1,511,1,833,283
7315,104,127,1,597,0,783,358
7316,136,113,1,661,0,893,409
7317,140,111,1,743,0,938,483
7318,143,146,1,689,0,788,390
7319,196,182,1,908,0,1123,518
7321,112,89,1,493,1,683,286
7322,111,114,1,526,0,937,297
7323,124,135,1,727,0,888,454
7324,94,127,1,601,0,756,373
7325,160,134,1,792,0,973,487
7326,126,119,1,749,0,922,491
7327,112,91,1,434,0,762,231
7328,107,138,1,617,0,1024,375
7329,110,61,1,454,0,607,281
7331,160,138,1,793,0,933,484
7332,110,117,1,718,1,889,482
7333,170,179,1,888,1,1101,527
7334,116,131,1,774,0,963,515
7335,193,139,1,894,0,1002,552
7336,204,163,1,883,1,1017,507
7337,150,129,1,755,0,944,472
7338,163,132,1,695,0,1005,394
7339,84,62,1,495,0,660,344
7341,110,137,1,765,0,974,509
7342,139,124,1,791,0,1034,521
7343,75,117,1,618,0,746,421
7344,164,157,1,916,0,1143,589
7345,130,171,1,891,1,1186,578
7346,103,116,1,762,0,991,537
7347,97,129,1,841,1,1085,599
7348,96,110,1,647,0,957,435
7349,144,119,1,771,1,1006,498
7501,118,90,1,522,0,574,307
7502,128,127,1,694,0,808,432
7503,117,118,1,688,2,808,447
7504,47,80,1,420,0,503,285
7505,92,118,1,762,0,915,540
7506,109,141,1,798,0,1018,534
7507,102,89,1,631,1,992,437
7508,123,85,1,606,0,735,394
7509,139,128,1,825,1,1006,547
7512,61,83,1,493,0,638,345
7513,74,108,1,601,0,836,419
7514,58,96,1,544,1,886,385
7515,105,96,1,710,1,898,502
7516,138,111,1,759,0,907,505
7517,104,111,1,826,1,956,602
7518,100,98,1,858,0,993,655
7519,95,95,1,676,0,802,478
7521,75,89,1,726,0,854,554
7522,78,95,1,742,0,848,564
7523,74,70,1,689,0,821,543
7524,64,79,1,532,0,728,386
7525,67,90,1,636,0,870,469
7526,117,123,1,858,0,999,613
7527,75,69,1,624,0,773,468
7529,86,112,1,860,1,992,658
7531,83,106,1,805,0,954,613
7532,112,122,1,741,0,886,506
7533,99,127,1,910,1,1025,674
7534,109,106,1,775,0,967,559
7535,89,82,1,711,0,807,535
7536,97,94,1,775,1,895,575
7537,83,89,1,664,0,783,487
7538,82,93,1,736,0,831,556
7539,82,85,1,821,1,978,649
7541,91,86,1,728,0,865,548
7542,84,91,1,756,1,906,577
7543,90,89,1,806,0,993,621
7544,99,118,1,821,0,962,601
7545,112,127,1,833,0,970,589
7546,76,111,1,817,1,935,624
7547,64,123,1,837,1,1057,639
7548,115,116,1,894,1,1135,657
7549,107,97,1,734,2,854,520
7551,81,89,1,669,0,762,495
7552,71,73,1,678,0,756,525
7553,28,30,1,168,0,187,106
7554,125,80,1,769,0,859,556
7555,121,120,1,846,1,893,597
7556,127,94,1,906,1,1008,675
7601,83,95,1,588,0,929,403
7602,68,101,1,689,0,962,516
7603,81,88,1,690,0,888,516
7604,85,92,1,677,0,989,492
7605,58,63,1,428,0,771,304
7606,89,99,1,640,1,992,445
7607,83,105,1,710,0,1055,513
7608,40,50,1,244,0,456,153
7609,93,93,1,551,0,1051,360
7611,58,101,1,479,1,898,316
7612,70,63,1,418,0,668,280
7613,74,96,1,617,1,1015,441
7614,100,123,1,793,0,1177,566
7615,69,84,1,528,0,1020,369
7616,142,121,1,807,1,981,536
7617,67,92,1,516,1,898,346
7618,117,95,1,689,1,948,475
7619,220,248,1,1485,0,1971,1016
7621,119,122,1,800,0,1082,554
7622,52,85,1,534,0,1007,390
7623,55,69,1,467,0,839,336
7624,72,83,1,565,0,1074,405
7625,134,113,1,617,0,896,363
7626,232,153,1,1011,0,1177,619
7627,313,230,1,1326,0,1586,767
7628,123,98,1,720,0,1006,496
7629,77,88,1,577,0,837,404
7631,167,151,1,915,0,1143,595
7632,97,63,1,532,0,727,369
7633,109,100,1,574,0,731,364
7634,129,113,1,706,0,1017,463
7635,123,97,1,643,0,868,420
7636,168,127,1,784,0,993,486
7637,251,199,1,1151,0,1361,693
7638,298,200,1,1135,0,1285,621
7639,228,152,1,891,0,1011,496
7641,177,86,1,795,0,977,522
7642,135,211,1,810,0,967,452
7643,156,139,1,758,0,959,459
7644,188,167,1,925,0,1111,561
7645,106,100,1,587,0,669,373
7646,325,311,1,1893,2,2163,1234
7647,70,84,1,598,0,1028,440
7648,0,1,1,3,0,4,2
7701,178,131,1,914,1,1049,597
7702,159,99,1,663,0,775,401
7703,7,30,1,100,0,178,59
7704,252,120,1,881,1,1006,501
7705,147,50,1,495,3,554,293
7706,201,86,1,773,0,853,485
7707,184,90,1,784,0,854,504
