precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,171,57,1,446,1,586,213
1102,361,114,1,810,0,996,332
1103,344,106,1,781,2,971,326
1104,279,121,1,763,1,991,365
1106,264,87,1,600,1,808,241
1107,209,75,1,506,0,781,215
1108,341,114,1,744,0,951,286
1109,282,96,1,617,0,809,235
1111,286,116,1,717,0,1031,307
1112,209,102,1,557,1,765,238
1113,217,73,1,547,1,713,247
1114,248,147,1,741,0,971,346
1115,298,119,1,746,1,910,326
1116,240,110,1,636,0,913,281
1117,260,95,1,644,0,886,281
1118,285,105,1,776,0,1031,380
1119,216,108,1,587,1,783,257
1121,214,98,1,525,0,691,214
1122,227,82,1,482,0,658,169
1123,241,111,1,646,1,954,291
1124,206,89,1,556,0,831,255
1125,304,133,1,745,0,1029,303
1126,269,113,1,701,0,954,309
1127,303,99,1,685,1,911,285
1128,259,117,1,686,0,907,302
1129,268,110,1,703,0,951,325
1131,244,103,1,574,0,853,224
1132,285,113,1,721,0,982,314
1133,315,91,1,661,0,870,247
1134,241,91,1,593,0,793,258
1135,194,48,1,421,1,521,177
1136,289,105,1,669,1,857,270
1141,317,105,1,812,1,1047,386
1142,254,101,1,667,0,858,300
1143,276,109,1,801,0,1056,410
1144,255,108,1,713,0,928,350
1145,318,101,1,753,0,931,325
1146,264,117,1,791,0,1036,409
1147,286,95,1,734,1,927,348
1148,296,111,1,727,0,992,317
1149,282,91,1,747,0,950,371
1151,0,0,1,0,0,0,0
1152,275,98,1,671,0,898,299
1153,314,107,1,749,0,961,318
1154,0,0,1,0,0,0,0
7001,223,87,1,559,1,742,246
7002,414,179,1,997,0,1225,403
7003,368,107,1,834,0,927,356
7004,374,120,1,808,0,896,304
7005,314,119,1,755,0,853,315
7006,285,120,1,799,0,966,391
7007,417,121,1,870,0,987,322
7008,400,109,1,820,0,882,303
7009,302,119,1,750,0,931,324
7011,242,97,1,621,0,1063,278
7012,379,159,1,925,0,1034,381
7013,280,118,1,640,2,733,236
7014,409,157,1,928,0,1073,357
7015,25,10,1,81,0,113,45
7016,207,103,1,593,0,977,282
7017,162,79,1,469,0,786,229
7018,290,93,1,672,1,992,285
7019,284,90,1,696,0,945,320
7021,220,88,1,631,0,993,318
7022,243,94,1,667,0,1032,320
7023,257,99,1,671,2,938,303
7024,39,10,1,119,0,309,69
7025,82,44,1,266,1,505,138
7026,291,120,1,700,1,1022,277
7027,253,90,1,577,0,879,230
7028,195,86,1,544,1,900,262
7029,157,91,1,525,0,924,274
7030,251,87,1,558,0,787,218
7031,155,73,1,392,0,511,158
7032,236,87,1,589,2,938,257
7033,194,90,1,546,2,814,261
7034,162,82,1,515,1,954,270
7035,159,58,1,341,0,476,123
7036,226,84,1,596,0,967,286
7037,123,74,1,379,1,840,180
7038,233,112,1,595,0,960,252
7039,264,97,1,625,0,831,263
7041,16,11,1,42,0,62,16
7042,192,94,1,514,1,697,225
7043,256,84,1,640,0,990,295
7044,142,73,1,415,0,867,200
7045,241,79,1,531,0,803,204
7046,149,46,1,319,0,435,122
7047,259,82,1,602,0,858,254
7048,207,69,1,518,1,877,237
7049,220,107,1,534,0,829,204
7051,277,97,1,612,1,909,232
7052,305,94,1,675,0,894,274
7053,195,84,1,462,0,552,171
7054,244,92,1,683,3,1068,341
7101,51,20,1,126,0,150,54
7201,409,161,1,868,0,983,288
7202,364,129,1,752,0,885,249
7203,383,177,1,840,0,950,268
7204,414,167,1,833,1,933,241
7205,440,119,1,815,2,903,248
7206,155,60,1,340,0,390,125
7207,252,153,1,595,1,712,184
7208,252,108,1,539,0,635,169
7209,286,64,1,491,0,563,135
7301,324,148,1,813,1,1080,340
7302,363,130,1,732,0,862,234
7303,386,156,1,851,0,1032,308
7304,380,170,1,828,0,993,277
7305,397,132,1,772,0,906,232
7306,385,163,1,882,2,1076,305
7307,282,133,1,674,0,826,250
7308,257,99,1,548,0,641,190
7309,331,167,1,764,1,897,255
7311,358,193,1,853,0,986,293
7312,410,156,1,768,0,874,199
7313,331,153,1,798,1,1001,305
7314,180,118,1,511,1,833,204
7315,207,144,1,597,0,783,238
7316,252,126,1,661,0,893,280
7317,345,118,1,743,0,938,271
7318,299,162,1,689,0,788,218
7319,382,195,1,908,1,1123,318
7321,237,92,1,493,1,683,158
7322,222,133,1,526,0,937,167
7323,310,144,1,727,0,888,259
7324,247,137,1,601,0,756,210
7325,321,159,1,792,0,973,301
7326,331,145,1,749,1,922,259
7327,196,94,1,434,0,762,144
7328,257,149,1,617,0,1024,214
7329,205,76,1,454,0,607,171
7331,367,149,1,793,1,933,265
7332,252,132,1,718,0,889,326
7333,360,193,1,888,1,1101,323
7334,286,158,1,774,0,963,318
7335,407,160,1,894,0,1002,317
7336,419,166,1,883,2,1017,288
7337,340,144,1,755,0,944,267
7338,310,149,1,695,0,1005,230
7339,179,71,1,495,0,660,240
7341,255,155,1,765,2,974,344
7342,308,140,1,791,0,1034,336
7343,183,130,1,618,0,746,300
7344,348,183,1,916,0,1143,379
7345,300,190,1,891,0,1186,390
7346,253,131,1,762,1,991,371
7347,261,156,1,841,0,1085,409
7348,228,133,1,647,1,957,279
7349,289,144,1,771,1,1006,328
7501,269,96,1,522,0,574,150
7502,324,138,1,694,0,808,225
7503,284,137,1,688,0,808,263
7504,149,87,1,420,1,503,175
7505,392,131,1,762,1,915,226
7506,291,156,1,798,0,1018,337
7507,220,105,1,631,2,992,302
7508,296,88,1,606,0,735,218
7509,345,139,1,825,1,1006,330
7512,186,93,1,493,0,638,210
7513,207,124,1,601,0,836,270
7514,173,105,1,544,0,886,262
7515,286,112,1,710,1,898,305
7516,325,136,1,759,0,907,293
