precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,61,49,1,446,0,586,332
1102,118,80,1,810,0,996,609
1103,114,83,1,781,2,971,579
1104,122,87,1,763,0,991,557
1106,97,64,1,600,1,808,431
1107,79,54,1,506,0,781,366
1108,120,86,1,744,1,951,534
1109,77,80,1,617,0,809,456
1111,133,92,1,717,0,1031,484
1112,114,82,1,557,0,765,354
1113,90,53,1,547,0,713,395
1114,126,116,1,741,1,971,498
1115,128,93,1,746,0,910,523
1116,106,85,1,636,0,913,440
1117,109,70,1,644,1,886,456
1118,109,77,1,776,1,1031,583
1119,78,75,1,587,0,783,429
1121,99,58,1,525,0,691,369
1122,94,54,1,482,0,658,330
1123,92,70,1,646,0,954,482
1124,88,70,1,556,1,831,391
1125,135,109,1,745,0,1029,496
1126,125,85,1,701,1,954,480
1127,135,93,1,685,0,911,460
1128,119,102,1,686,1,907,456
1129,105,95,1,703,1,951,502
1131,121,79,1,574,1,853,370
1132,119,96,1,721,0,982,497
1133,107,70,1,661,1,870,475
1134,105,73,1,593,1,793,411
1135,72,30,1,421,0,521,318
1136,100,89,1,669,0,857,476
1141,126,80,1,812,0,1047,603
1142,128,71,1,667,1,858,455
1143,111,87,1,801,2,1056,595
1144,110,88,1,713,0,928,515
1145,112,78,1,753,2,931,552
1146,114,89,1,791,1,1036,586
1147,129,72,1,734,0,927,529
1148,131,82,1,727,0,992,511
1149,114,77,1,747,1,950,552
1151,0,0,1,0,0,0,0
1152,108,79,1,671,0,898,485
1153,136,96,1,749,0,961,507
1154,0,0,1,0,0,0,0
7001,100,63,1,559,0,742,394
7002,231,117,1,997,0,1225,648
7003,162,75,1,834,0,927,594
7004,170,91,1,808,0,896,537
7005,113,84,1,755,0,853,551
7006,127,84,1,799,1,966,584
7007,163,90,1,870,1,987,606
7008,155,70,1,820,2,882,585
7009,130,78,1,750,0,931,537
7011,112,80,1,621,0,1063,425
7012,177,104,1,925,0,1034,638
7013,163,75,1,640,1,733,397
7014,174,114,1,928,1,1073,634
7015,12,7,1,81,1,113,60
7016,89,86,1,593,3,977,414
7017,68,56,1,469,2,786,344
7018,111,68,1,672,0,992,490
7019,110,80,1,696,1,945,503
7021,82,78,1,631,0,993,466
7022,86,72,1,667,2,1032,497
7023,78,78,1,671,0,938,505
7024,24,11,1,119,0,309,83
7025,57,33,1,266,0,505,175
7026,109,97,1,700,0,1022,483
7027,99,69,1,577,1,879,404
7028,77,79,1,544,1,900,387
7029,56,81,1,525,2,924,383
7030,119,68,1,558,0,787,369
7031,61,54,1,392,0,511,271
7032,87,85,1,589,3,938,407
7033,77,71,1,546,2,814,397
7034,78,71,1,515,2,954,364
7035,69,46,1,341,0,476,225
7036,113,74,1,596,0,967,409
7037,78,64,1,379,0,840,236
7038,104,94,1,595,1,960,398
7039,94,73,1,625,0,831,457
7041,5,7,1,42,0,62,31
7042,96,65,1,514,0,697,351
7043,101,71,1,640,0,990,463
7044,67,59,1,415,0,867,289
7045,112,56,1,531,1,803,355
7046,65,33,1,319,0,435,219
7047,123,65,1,602,0,858,407
7048,92,60,1,518,2,877,360
7049,106,86,1,534,0,829,339
7051,107,70,1,612,1,909,429
7052,129,64,1,675,0,894,480
7053,99,68,1,462,0,552,283
7054,100,63,1,683,1,1068,516
7101,19,14,1,126,0,150,92
7201,201,119,1,868,1,983,537
7202,155,93,1,752,0,885,494
7203,199,143,1,840,0,950,486
7204,192,130,1,833,0,933,501
7205,182,89,1,815,2,903,536
7206,79,44,1,340,2,390,215
7207,133,113,1,595,1,712,343
7208,89,99,1,539,0,635,341
7209,87,43,1,491,0,563,355
7301,190,126,1,813,0,1080,497
