precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,187,51,1,446,0,586,204
1102,364,95,1,810,1,996,347
1103,361,85,1,781,2,971,330
1104,329,91,1,763,0,991,346
1106,289,64,1,600,0,808,240
1107,219,60,1,506,0,781,220
1108,335,93,1,744,0,951,313
1109,292,76,1,617,1,809,244
1111,315,89,1,717,0,1031,305
1112,214,85,1,557,0,765,251
1113,247,51,1,547,0,713,240
1114,275,125,1,741,1,971,340
1115,340,93,1,746,0,910,311
1116,260,85,1,636,1,913,285
1117,271,65,1,644,0,886,300
1118,354,77,1,776,0,1031,339
1119,232,76,1,587,0,783,274
1121,259,47,1,525,1,691,219
1122,233,60,1,482,0,658,185
1123,246,83,1,646,0,954,315
1124,221,68,1,556,2,831,259
1125,303,114,1,745,1,1029,322
1126,283,85,1,701,0,954,323
1127,327,89,1,685,1,911,271
1128,299,97,1,686,0,907,282
1129,297,90,1,703,2,951,314
1131,259,85,1,574,0,853,227
1132,324,79,1,721,0,982,309
1133,313,75,1,661,0,870,265
1134,276,65,1,593,0,793,249
1135,224,34,1,421,0,521,162
1136,317,85,1,669,1,857,262
1141,361,78,1,812,0,1047,370
1142,283,79,1,667,0,858,293
1143,295,91,1,801,0,1056,409
1144,310,77,1,713,0,928,326
1145,338,76,1,753,0,931,330
1146,312,94,1,791,0,1036,384
1147,281,83,1,734,0,927,366
1148,309,98,1,727,0,992,317
1149,320,81,1,747,1,950,342
1151,0,0,1,0,0,0,0
1152,288,86,1,671,0,898,298
1153,324,87,1,749,1,961,327
1154,0,0,1,0,0,0,0
7001,230,70,1,559,0,742,257
7002,457,120,1,997,0,1225,419
7003,425,70,1,834,0,927,336
7004,385,77,1,808,0,896,336
7005,321,79,1,755,0,853,348
7006,291,85,1,799,0,966,420
7007,401,84,1,870,0,987,375
7008,421,80,1,820,0,882,311
7009,312,75,1,750,0,931,358
7011,242,74,1,621,0,1063,301
7012,414,106,1,925,1,1034,398
7013,290,69,1,640,0,733,277
7014,435,99,1,928,0,1073,389
7015,25,8,1,81,0,113,47
7016,200,87,1,593,1,977,304
7017,145,56,1,469,0,786,269
7018,282,70,1,672,0,992,317
7019,294,79,1,696,1,945,320
7021,214,77,1,631,0,993,335
7022,234,71,1,667,0,1032,352
7023,225,86,1,671,2,938,348
7024,25,10,1,119,0,309,83
7025,75,34,1,266,0,505,156
7026,321,99,1,700,0,1022,269
7027,240,74,1,577,1,879,258
7028,178,71,1,544,0,900,295
7029,133,77,1,525,2,924,310
7030,291,66,1,558,0,787,199
7031,187,52,1,392,0,511,147
7032,203,82,1,589,2,938,295
7033,185,81,1,546,0,814,281
7034,136,70,1,515,0,954,309
7035,140,46,1,341,0,476,154
7036,237,67,1,596,0,967,292
7037,79,63,1,379,0,840,236
7038,233,91,1,595,0,960,273
7039,268,79,1,625,0,831,277
7041,24,6,1,42,0,62,13
7042,208,71,1,514,1,697,232
7043,248,68,1,640,0,990,319
7044,118,58,1,415,0,867,239
7045,238,61,1,531,0,803,225
7046,166,33,1,319,0,435,118
7047,234,75,1,602,0,858,286
7048,173,62,1,518,1,877,278
7049,219,90,1,534,0,829,222
7051,307,71,1,612,1,909,228
7052,348,72,1,675,1,894,252
7053,219,69,1,462,0,552,162
7054,252,60,1,683,1,1068,367
7101,52,14,1,126,1,150,58
7201,460,123,1,868,0,983,275
7202,417,92,1,752,0,885,233
7203,438,133,1,840,0,950,257
7204,436,134,1,833,0,933,253
7205,458,96,1,815,0,903,255
7206,175,45,1,340,0,390,120
7207,295,104,1,595,3,712,188
7208,225,93,1,539,1,635,210
7209,272,50,1,491,1,563,162
7301,362,128,1,813,0,1080,323
7302,392,97,1,732,0,862,238
7303,433,122,1,851,0,1032,295
7304,417,123,1,828,0,993,287
7305,411,96,1,772,0,906,254
7306,419,129,1,882,2,1076,305
7307,317,96,1,674,0,826,252
7308,259,83,1,548,0,641,204
7309,370,135,1,764,1,897,248
7311,405,147,1,853,0,986,292
7312,446,110,1,768,0,874,209
7313,395,122,1,798,0,1001,273
7314,195,105,1,511,1,833,202
7315,253,100,1,597,0,783,236
7316,303,90,1,661,1,893,264
7317,392,90,1,743,0,938,252
7318,340,127,1,689,1,788,211
7319,447,154,1,908,0,1123,295
7321,234,85,1,493,0,683,169
7322,194,111,1,526,0,937,217
7323,371,108,1,727,0,888,234
7324,272,97,1,601,1,756,224
7325,346,124,1,792,0,973,311
7326,341,109,1,749,1,922,285
7327,182,82,1,434,0,762,170
7328,222,137,1,617,0,1024,261
7329,242,56,1,454,0,607,154
7331,457,114,1,793,1,933,210
7332,265,95,1,718,1,889,349
7333,443,141,1,888,0,1101,293
7334,344,117,1,774,1,963,300
7335,435,129,1,894,1,1002,319
7336,447,135,1,883,1,1017,292
7337,369,113,1,755,1,944,268
7338,283,139,1,695,0,1005,267
7339,204,56,1,495,0,660,230
7341,301,122,1,765,1,974,332
7342,339,99,1,791,0,1034,346
7343,219,93,1,618,0,746,301
7344,382,133,1,916,0,1143,395
7345,344,133,1,891,0,1186,403
7346,278,103,1,762,0,991,375
7347,294,115,1,841,0,1085,417
7348,261,96,1,647,0,957,284
7349,312,108,1,771,1,1006,341
7501,296,72,1,522,0,574,147
7502,346,100,1,694,1,808,240
7503,294,107,1,688,0,808,283
7504,154,79,1,420,0,503,179
7505,350,117,1,762,1,915,282
7506,321,129,1,798,0,1018,334
7507,221,81,1,631,0,992,327
7508,286,77,1,606,0,735,239
7509,358,105,1,825,1,1006,351
7512,179,88,1,493,1,638,221
7513,197,111,1,601,0,836,293
7514,152,92,1,544,0,886,296
7515,281,86,1,710,0,898,337
7516,338,101,1,759,0,907,315
7517,327,85,1,826,1,956,405
7518,344,94,1,858,0,993,415
7519,230,87,1,676,0,802,351
7521,272,76,1,726,1,854,369
7522,268,73,1,742,0,848,396
7523,239,69,1,689,0,821,379
7524,190,66,1,532,0,728,273
7525,203,74,1,636,0,870,349
7526,295,117,1,858,0,999,441
7527,217,73,1,624,0,773,322
7529,322,96,1,860,0,992,439
7531,273,90,1,805,0,954,439
7532,315,104,1,741,1,886,320
7533,312,107,1,910,0,1025,482
7534,272,92,1,775,0,967,410
7535,278,64,1,711,0,807,364
7536,302,78,1,775,0,895,387
7537,244,72,1,664,1,783,342
7538,260,81,1,736,0,831,390
7539,285,80,1,821,0,978,452
7541,256,84,1,728,1,865,384
7542,263,74,1,756,0,906,416
7543,293,82,1,806,0,993,425
7544,312,97,1,821,0,962,409
7545,322,110,1,833,0,970,396
7546,285,96,1,817,0,935,431
7547,289,102,1,837,0,1057,436
7548,325,103,1,894,0,1135,461
7549,319,85,1,734,0,854,322
7551,272,76,1,669,0,762,317
7552,276,69,1,678,1,756,323
7553,77,28,1,168,0,187,59
7554,333,85,1,769,0,859,343
7555,435,80,1,846,0,893,324
7556,452,88,1,906,1,1008,356
7601,166,92,1,588,0,929,323
7602,214,101,1,689,1,962,369
7603,219,85,1,690,0,888,381
7604,218,90,1,677,0,989,361
7605,130,61,1,428,1,771,233
7606,194,82,1,640,1,992,357
7607,220,95,1,710,0,1055,386
7608,76,51,1,244,0,456,116
7609,169,112,1,551,0,1051,265
7611,130,95,1,479,0,898,251
7612,152,64,1,418,0,668,197
7613,191,93,1,617,1,1015,327
7614,259,116,1,793,0,1177,414
7615,156,86,1,528,0,1020,280
7616,358,97,1,807,1,981,344
7617,151,87,1,516,0,898,268
7618,278,88,1,689,1,948,321
7619,540,208,1,1485,0,1971,736
7621,312,111,1,800,0,1082,372
7622,145,84,1,534,0,1007,298
7623,149,61,1,467,0,839,250
7624,168,90,1,565,0,1074,302
7625,237,113,1,617,0,896,260
7626,521,132,1,1011,0,1177,351
7627,660,200,1,1326,0,1586,450
7628,264,87,1,720,1,1006,365
7629,202,72,1,577,0,837,295
7631,371,126,1,915,0,1143,416
7632,218,48,1,532,0,727,263
7633,240,88,1,574,0,731,245
7634,298,107,1,706,0,1017,300
7635,272,72,1,643,0,868,296
7636,399,104,1,784,0,993,278
7637,553,190,1,1151,1,1361,399
7638,634,160,1,1135,0,1285,325
7639,459,119,1,891,0,1011,298
7641,424,81,1,795,0,977,280
7642,326,181,1,810,0,967,291
7643,363,119,1,758,0,959,272
7644,438,145,1,925,0,1111,333
7645,314,76,1,587,0,669,189
7646,918,257,1,1893,0,2163,697
7647,174,91,1,598,0,1028,329
7648,0,1,1,3,0,4,2
7701,450,115,1,914,0,1049,342
7702,338,94,1,663,1,775,226
7703,28,30,1,100,0,178,38
7704,490,116,1,881,1,1006,267
7705,297,48,1,495,1,554,147
7706,450,72,1,773,0,853,250
7707,473,69,1,784,1,854,235
7708,417,79,1,783,0,894,275
7709,160,42,1,354,0,390,148
7711,357,63,1,685,1,789,259
7712,208,48,1,518,0,577,255
7801,478,77,1,964,1,975,402
7802,337,78,1,723,0,760,303
7803,370,66,1,774,0,827,332
7804,422,79,1,876,0,932,371
7805,304,76,1,761,0,852,379
7806,265,48,1,663,0,746,344
7807,256,49,1,671,0,774,364
7808,218,65,1,578,1,702,292
7809,418,123,1,1091,0,1234,542
7811,234,58,1,696,0,806,398
7812,327,85,1,752,0,892,339
7813,375,97,1,943,1,1061,461
7814,201,75,1,667,2,919,386
7815,404,71,1,879,1,967,399
7816,397,63,1,823,0,896,360
7817,247,69,1,711,0,804,391
7818,294,69,1,787,0,889,421
7819,259,80,1,682,1,809,336
7821,415,76,1,916,0,998,421
7822,311,77,1,776,0,951,387
7823,335,61,1,806,0,928,407
7824,281,57,1,665,0,794,322
7825,197,36,1,521,0,578,288
7826,217,62,1,633,0,709,351
7827,245,75,1,758,0,931,431
7828,430,103,1,924,1,1053,386
7829,412,72,1,841,0,904,353
7831,374,58,1,803,0,906,368
7832,331,78,1,759,1,824,346
7833,260,67,1,710,0,785,376
7834,249,73,1,775,0,901,445
7835,368,62,1,785,0,863,346
7836,443,90,1,903,0,990,368
7837,416,89,1,840,0,934,329
7838,428,70,1,839,0,933,342
7839,381,72,1,785,0,869,322
7841,378,70,1,839,1,947,382
7842,311,74,1,864,0,960,471
7843,230,58,1,679,0,802,387
7844,208,55,1,594,0,682,326
7845,383,70,1,783,0,869,326
7846,432,67,1,814,0,925,305
7847,384,98,1,843,2,960,354
7848,391,62,1,818,0,905,362
7849,399,70,1,864,0,967,394
7851,300,43,1,472,0,528,127
7852,296,57,1,584,0,644,227
7853,364,75,1,770,0,896,324
7854,384,78,1,825,0,933,356
7855,376,90,1,870,1,968,395
7856,343,80,1,769,0,849,340
7857,353,59,1,854,0,963,436
7858,231,63,1,674,0,791,376
7859,444,73,1,834,0,915,316
7861,349,77,1,776,0,881,333
7862,374,80,1,815,0,923,358
7863,345,73,1,819,0,939,395
7864,309,59,1,703,1,815,333
7865,336,71,1,754,0,853,337
7866,412,73,1,746,1,831,256
7867,420,63,1,822,0,946,337
7868,343,67,1,764,0,901,344
7869,390,61,1,789,0,874,336
7871,408,70,1,804,1,909,323
7872,420,64,1,819,0,902,333
7873,367,72,1,788,0,874,347
7874,187,30,1,408,0,482,192
7875,205,49,1,525,0,628,264
7901,316,109,1,952,0,1286,524
7902,253,95,1,842,0,1064,482
7903,186,86,1,652,0,929,374
7904,214,76,1,694,0,926,399
7905,271,75,1,718,0,851,371
7906,179,79,1,653,0,854,392
7907,273,84,1,834,0,991,467
7908,233,86,1,872,0,1008,551
7909,194,76,1,644,0,787,373
7911,250,75,1,734,2,907,405
7912,270,98,1,874,0,1090,495
7913,275,82,1,800,0,964,439
7914,224,78,1,752,0,895,447
7915,255,61,1,716,0,892,399
7916,264,63,1,768,2,953,437
7917,270,78,1,868,0,1073,513
7918,200,61,1,697,0,860,433
