precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,76,62,1,446,0,586,304
1102,138,103,1,810,0,996,566
1103,139,113,1,781,1,971,525
1104,140,109,1,763,0,991,517
1106,120,80,1,600,0,808,393
1107,76,64,1,506,0,781,359
1108,108,103,1,744,0,951,530
1109,120,94,1,617,0,809,399
1111,126,101,1,717,0,1031,482
1112,87,107,1,557,1,765,355
1113,101,69,1,547,1,713,367
1114,127,135,1,741,1,971,478
1115,152,114,1,746,0,910,478
1116,100,103,1,636,0,913,428
1117,108,92,1,644,0,886,436
1118,142,101,1,776,0,1031,527
1119,81,94,1,587,0,783,407
1121,133,83,1,525,1,691,309
1122,114,79,1,482,1,658,284
1123,105,96,1,646,0,954,443
1124,89,85,1,556,1,831,375
1125,118,131,1,745,0,1029,491
1126,132,101,1,701,1,954,457
1127,168,100,1,685,0,911,420
1128,159,120,1,686,1,907,398
1129,136,116,1,703,1,951,450
1131,139,92,1,574,0,853,340
1132,141,112,1,721,1,982,458
1133,128,96,1,661,1,870,428
1134,127,87,1,593,2,793,374
1135,97,44,1,421,0,521,279
1136,132,110,1,669,0,857,423
1141,141,103,1,812,0,1047,565
1142,128,89,1,667,0,858,438
1143,128,101,1,801,0,1056,566
1144,113,109,1,713,0,928,491
1145,138,97,1,753,2,931,507
1146,143,104,1,791,1,1036,542
1147,132,90,1,734,0,927,508
1148,144,105,1,727,1,992,474
1149,124,103,1,747,3,950,514
1151,0,0,1,0,0,0,0
1152,131,95,1,671,0,898,446
1153,164,106,1,749,0,961,469
1154,0,0,1,0,0,0,0
7001,71,77,1,559,0,742,409
7002,149,150,1,997,0,1225,697
7003,131,89,1,834,0,927,611
7004,99,101,1,808,0,896,598
7005,87,91,1,755,1,853,569
7006,93,96,1,799,0,966,607
7007,116,100,1,870,0,987,644
7008,124,99,1,820,0,882,589
7009,97,103,1,750,0,931,545
7011,84,88,1,621,0,1063,445
7012,142,113,1,925,3,1034,661
7013,91,87,1,640,0,733,458
7014,124,122,1,928,0,1073,677
7015,10,9,1,81,0,113,61
7016,92,102,1,593,0,977,398
7017,59,66,1,469,0,786,345
7018,122,89,1,672,0,992,458
7019,106,86,1,696,0,945,502
7021,95,85,1,631,0,993,446
7022,90,82,1,667,1,1032,484
7023,95,96,1,671,0,938,470
7024,29,12,1,119,0,309,77
7025,31,35,1,266,0,505,199
7026,157,115,1,700,0,1022,417
7027,93,88,1,577,1,879,391
7028,80,86,1,544,0,900,378
