precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,202,58,1,446,0,586,182
1102,356,100,1,810,0,996,351
1103,332,113,1,781,1,971,332
1104,296,109,1,763,0,991,361
1106,254,83,1,600,2,808,254
1107,181,73,1,506,0,781,245
1108,320,102,1,744,0,951,319
1109,289,83,1,617,0,809,241
1111,272,110,1,717,0,1031,327
1112,211,101,1,557,0,765,238
1113,247,61,1,547,0,713,230
1114,248,143,1,741,1,971,349
1115,297,95,1,746,0,910,352
1116,228,110,1,636,0,913,293
1117,234,92,1,644,0,886,310
1118,284,101,1,776,0,1031,385
1119,232,99,1,587,1,783,250
1121,245,75,1,525,0,691,206
1122,235,68,1,482,0,658,175
1123,231,92,1,646,0,954,321
1124,184,77,1,556,0,831,289
1125,264,122,1,745,0,1029,354
1126,255,103,1,701,0,954,333
1127,308,100,1,685,0,911,280
1128,267,106,1,686,1,907,304
1129,250,99,1,703,1,951,353
1131,238,92,1,574,0,853,241
1132,307,93,1,721,0,982,312
1133,301,91,1,661,0,870,261
1134,262,77,1,593,0,793,251
1135,203,39,1,421,0,521,178
1136,275,107,1,669,1,857,282
1141,330,95,1,812,0,1047,384
1142,255,80,1,667,0,858,320
1143,248,101,1,801,0,1056,446
1144,241,101,1,713,0,928,371
1145,306,93,1,753,1,931,344
1146,263,104,1,791,0,1036,423
1147,298,86,1,734,0,927,346
1148,291,101,1,727,2,992,330
1149,291,85,1,747,0,950,368
1151,0,0,1,0,0,0,0
1152,285,84,1,671,0,898,303
1153,321,97,1,749,0,961,321
1154,0,0,1,0,0,0,0
7001,238,80,1,559,0,742,239
7002,408,153,1,997,0,1225,435
7003,405,98,1,834,0,927,328
7004,387,109,1,808,0,896,302
7005,317,106,1,755,0,853,325
7006,281,122,1,799,1,966,392
7007,429,107,1,870,1,987,323
7008,409,99,1,820,1,882,303
7009,313,97,1,750,0,931,335
7011,218,95,1,621,0,1063,304
7012,411,129,1,925,1,1034,378
7013,289,93,1,640,1,733,253
7014,423,138,1,928,0,1073,362
7015,16,9,1,81,0,113,55
7016,199,90,1,593,0,977,303
7017,151,70,1,469,0,786,249
7018,284,80,1,672,0,992,305
7019,296,84,1,696,0,945,314
7021,199,80,1,631,0,993,347
7022,229,75,1,667,0,1032,353
7023,263,100,1,671,0,938,298
7024,32,12,1,119,0,309,74
7025,65,38,1,266,0,505,162
7026,326,107,1,700,0,1022,256
7027,233,88,1,577,1,879,251
7028,162,88,1,544,1,900,293
7029,145,90,1,525,1,924,286
7030,267,84,1,558,0,787,205
7031,163,65,1,392,1,511,157
7032,196,103,1,589,2,938,281
