precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,109,34,1,446,0,586,300
1102,228,51,1,810,1,996,526
1103,196,51,1,781,0,971,526
1104,172,59,1,763,0,991,534
1106,160,57,1,600,0,808,375
1107,118,46,1,506,0,781,339
1108,177,56,1,744,0,951,503
1109,179,56,1,617,0,809,376
1111,184,68,1,717,0,1031,455
1112,137,53,1,557,1,765,357
1113,125,35,1,547,0,713,377
1114,168,90,1,741,0,971,483
1115,180,67,1,746,1,910,492
1116,133,67,1,636,0,913,430
1117,147,46,1,644,0,886,443
1118,165,58,1,776,0,1031,545
1119,117,68,1,587,0,783,397
1121,164,36,1,525,0,691,324
1122,152,39,1,482,0,658,290
1123,140,48,1,646,0,954,459
1124,126,53,1,556,2,831,369
1125,173,80,1,745,0,1029,487
1126,151,58,1,701,1,954,481
1127,192,68,1,685,1,911,423
1128,167,71,1,686,0,907,442
1129,165,71,1,703,0,951,463
1131,152,56,1,574,0,853,364
1132,181,60,1,721,0,982,476
1133,156,54,1,661,0,870,442
1134,143,51,1,593,0,793,398
1135,137,30,1,421,0,521,251
1136,168,62,1,669,0,857,432
1141,188,58,1,812,1,1047,562
1142,165,45,1,667,1,858,442
1143,176,58,1,801,2,1056,553
1144,158,64,1,713,1,928,490
1145,171,52,1,753,0,931,519
1146,161,63,1,791,0,1036,562
1147,166,51,1,734,0,927,512
1148,195,61,1,727,0,992,466
1149,175,67,1,747,0,950,502
1151,0,0,1,0,0,0,0
1152,187,43,1,671,0,898,438
1153,191,57,1,749,1,961,491
1154,0,0,1,0,0,0,0
7001,164,53,1,559,0,742,342
7002,301,114,1,997,0,1225,581
7003,311,61,1,834,0,927,458
7004,278,65,1,808,1,896,455
7005,224,75,1,755,0,853,449
7006,196,73,1,799,0,966,522
7007,325,76,1,870,2,987,456
7008,313,69,1,820,0,882,428
7009,234,58,1,750,0,931,453
7011,158,57,1,621,0,1063,402
7012,309,70,1,925,0,1034,534
7013,248,67,1,640,0,733,320
7014,294,85,1,928,0,1073,538
7015,12,3,1,81,0,113,64
7016,97,59,1,593,1,977,437
7017,76,43,1,469,0,786,352
7018,163,57,1,672,0,992,446
7019,174,51,1,696,1,945,467
7021,96,41,1,631,0,993,487
7022,101,46,1,667,1,1032,507
7023,120,57,1,671,1,938,479
7024,16,5,1,119,0,309,96
7025,48,17,1,266,0,505,200
7026,177,76,1,700,0,1022,434
7027,99,61,1,577,0,879,412
7028,77,46,1,544,2,900,421
7029,82,58,1,525,0,924,379
7030,166,56,1,558,0,787,333
7031,85,35,1,392,0,511,265
7032,105,44,1,589,2,938,428
7033,117,52,1,546,0,814,377
7034,63,48,1,515,0,954,401
7035,82,28,1,341,0,476,230
7036,107,48,1,596,1,967,435
7037,31,31,1,379,0,840,314
7038,122,58,1,595,1,960,413
7039,166,53,1,625,0,831,400
7041,11,10,1,42,0,62,22
7042,116,52,1,514,0,697,343
7043,132,57,1,640,1,990,444
7044,59,35,1,415,0,867,323
7045,140,45,1,531,0,803,343
7046,100,27,1,319,0,435,186
7047,146,46,1,602,0,858,403
7048,89,48,1,518,0,877,378
7049,152,60,1,534,0,829,318
7051,134,55,1,612,1,909,416
7052,191,55,1,675,0,894,424
7053,140,41,1,462,0,552,268
7054,124,50,1,683,0,1068,507
7101,32,14,1,126,0,150,79
7201,352,84,1,868,0,983,463
7202,307,66,1,752,0,885,369
7203,321,91,1,840,0,950,406
7204,339,81,1,833,0,933,400
