precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,139,38,1,446,0,586,266
1102,275,43,1,810,0,996,488
1103,272,52,1,781,0,971,449
1104,240,55,1,763,0,991,470
1106,221,61,1,600,0,808,310
1107,145,45,1,506,1,781,312
1108,232,58,1,744,1,951,445
1109,224,43,1,617,1,809,343
1111,243,60,1,717,0,1031,404
1112,182,53,1,557,0,765,313
1113,171,44,1,547,0,713,322
1114,224,76,1,741,0,971,441
1115,240,66,1,746,0,910,434
1116,193,56,1,636,0,913,381
1117,182,47,1,644,0,886,407
1118,243,56,1,776,0,1031,469
1119,173,53,1,587,0,783,356
1121,205,38,1,525,0,691,281
1122,186,43,1,482,0,658,252
1123,179,50,1,646,2,954,416
1124,179,53,1,556,1,831,317
1125,222,76,1,745,0,1029,442
1126,217,59,1,701,2,954,413
1127,260,59,1,685,1,911,364
1128,258,66,1,686,1,907,355
1129,254,64,1,703,0,951,381
1131,223,55,1,574,0,853,294
1132,249,64,1,721,1,982,403
1133,228,58,1,661,0,870,366
1134,214,49,1,593,0,793,329
1135,195,23,1,421,1,521,199
1136,238,58,1,669,0,857,366
1141,249,56,1,812,0,1047,504
1142,221,53,1,667,0,858,379
1143,222,52,1,801,0,1056,515
1144,242,60,1,713,2,928,409
1145,228,46,1,753,0,931,468
1146,222,59,1,791,0,1036,505
1147,224,54,1,734,0,927,451
1148,250,61,1,727,3,992,408
1149,248,64,1,747,0,950,432
1151,0,0,1,0,0,0,0
1152,227,52,1,671,1,898,388
1153,280,58,1,749,0,961,402
1154,0,0,1,0,0,0,0
7001,129,37,1,559,0,742,393
7002,281,87,1,997,0,1225,628
7003,246,59,1,834,1,927,524
7004,196,63,1,808,1,896,539
7005,192,65,1,755,0,853,491
7006,182,53,1,799,0,966,556
7007,261,60,1,870,0,987,538
7008,249,59,1,820,0,882,502
7009,200,44,1,750,0,931,501
7011,121,45,1,621,0,1063,451
7012,248,62,1,925,0,1034,603
7013,174,44,1,640,0,733,417
7014,217,71,1,928,2,1073,627
7015,15,3,1,81,0,113,61
7016,161,51,1,593,0,977,382
7017,83,38,1,469,0,786,350
7018,236,52,1,672,1,992,377
7019,211,44,1,696,1,945,437
7021,111,50,1,631,0,993,463
7022,137,48,1,667,1,1032,469
7023,154,58,1,671,0,938,445
7024,10,9,1,119,0,309,98
7025,39,16,1,266,1,505,209
7026,273,76,1,700,1,1022,337
7027,165,57,1,577,1,879,349
7028,101,45,1,544,0,900,400
7029,81,56,1,525,0,924,382
7030,262,45,1,558,0,787,248
7031,128,37,1,392,0,511,220
7032,121,41,1,589,3,938,414
7033,132,49,1,546,2,814,363
7034,55,44,1,515,1,954,412
7035,88,29,1,341,0,476,223
7036,179,42,1,596,0,967,370
7037,57,35,1,379,0,840,284
7038,178,67,1,595,0,960,349
7039,250,43,1,625,0,831,326
7041,20,10,1,42,0,62,13
7042,152,55,1,514,0,697,304
7043,192,53,1,640,0,990,389
7044,87,32,1,415,0,867,298
