precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,278,32,1,446,0,586,133
1102,489,49,1,810,0,996,268
1103,486,47,1,781,0,971,240
1104,501,56,1,763,1,991,207
1106,382,51,1,600,0,808,159
1107,328,35,1,506,0,781,140
1108,443,59,1,744,1,951,233
1109,414,43,1,617,0,809,154
1111,465,61,1,717,0,1031,181
1112,364,52,1,557,0,765,132
1113,361,30,1,547,0,713,146
1114,471,78,1,741,0,971,192
1115,480,45,1,746,1,910,214
1116,393,58,1,636,0,913,179
1117,428,45,1,644,0,886,163
1118,522,56,1,776,0,1031,190
1119,371,53,1,587,0,783,158
1121,382,38,1,525,0,691,104
1122,337,38,1,482,0,658,106
1123,425,51,1,646,0,954,171
1124,355,48,1,556,0,831,147
1125,503,78,1,745,0,1029,159
1126,463,62,1,701,0,954,166
1127,446,62,1,685,2,911,174
1128,483,71,1,686,0,907,126
1129,513,57,1,703,0,951,129
1131,398,57,1,574,0,853,117
1132,496,61,1,721,0,982,160
1133,442,52,1,661,0,870,158
1134,400,44,1,593,0,793,148
1135,272,30,1,421,0,521,116
1136,444,58,1,669,0,857,160
1141,510,54,1,812,1,1047,244
1142,424,61,1,667,0,858,168
1143,502,63,1,801,0,1056,224
1144,451,63,1,713,1,928,198
1145,450,61,1,753,0,931,231
1146,524,64,1,791,0,1036,198
1147,451,48,1,734,0,927,230
1148,487,59,1,727,1,992,175
1149,493,65,1,747,0,950,186
1151,0,0,1,0,0,0,0
1152,439,47,1,671,0,898,182
1153,513,61,1,749,0,961,166
1154,0,0,1,0,0,0,0
7001,318,40,1,559,0,742,201
7002,614,73,1,997,0,1225,309
7003,461,49,1,834,0,927,320
7004,415,50,1,808,0,896,334
7005,386,48,1,755,0,853,314
7006,363,51,1,799,0,966,377
7007,460,54,1,870,0,987,345
7008,468,42,1,820,0,882,300
7009,425,46,1,750,1,931,273
7011,373,51,1,621,0,1063,193
7012,510,58,1,925,0,1034,345
7013,351,42,1,640,1,733,241
7014,474,63,1,928,0,1073,380
7015,42,2,1,81,0,113,35
7016,368,52,1,593,0,977,174
7017,300,47,1,469,0,786,124
7018,459,52,1,672,0,992,155
7019,441,54,1,696,0,945,198
7021,379,59,1,631,0,993,186
7022,402,53,1,667,1,1032,199
7023,417,53,1,671,0,938,187
7024,87,7,1,119,0,309,23
7025,173,19,1,266,1,505,72
7026,492,64,1,700,0,1022,131
7027,367,56,1,577,1,879,148
7028,343,58,1,544,0,900,145
7029,296,64,1,525,0,924,159
7030,439,47,1,558,0,787,69
7031,270,35,1,392,0,511,80
7032,387,35,1,589,2,938,155
7033,386,50,1,546,4,814,106
