precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,194,51,1,446,0,586,198
1102,412,66,1,810,0,996,328
1103,385,69,1,781,2,971,317
1104,328,76,1,763,0,991,361
1106,287,73,1,600,0,808,232
1107,246,67,1,506,1,781,189
1108,381,72,1,744,0,951,283
1109,321,64,1,617,0,809,226
1111,329,92,1,717,0,1031,286
1112,226,72,1,557,0,765,250
1113,235,59,1,547,0,713,243
1114,334,101,1,741,0,971,306
1115,331,85,1,746,0,910,324
1116,281,85,1,636,1,913,263
1117,284,66,1,644,0,886,286
1118,341,87,1,776,0,1031,340
1119,246,85,1,587,0,783,251
1121,262,59,1,525,0,691,203
1122,257,55,1,482,1,658,168
1123,289,78,1,646,0,954,280
1124,234,75,1,556,0,831,241
1125,338,103,1,745,0,1029,299
1126,296,79,1,701,0,954,316
1127,339,69,1,685,2,911,274
1128,309,78,1,686,0,907,293
1129,315,93,1,703,0,951,291
1131,301,67,1,574,0,853,204
1132,323,88,1,721,1,982,305
1133,328,78,1,661,0,870,246
1134,265,69,1,593,1,793,257
1135,227,35,1,421,1,521,155
1136,320,79,1,669,1,857,262
1141,370,76,1,812,1,1047,362
1142,281,72,1,667,0,858,300
1143,319,67,1,801,1,1056,402
1144,295,69,1,713,1,928,348
1145,354,64,1,753,1,931,323
1146,344,75,1,791,2,1036,365
1147,286,68,1,734,2,927,373
1148,323,79,1,727,0,992,320
1149,314,79,1,747,1,950,350
1151,0,0,1,0,0,0,0
1152,304,70,1,671,0,898,294
1153,350,77,1,749,0,961,313
1154,0,0,1,0,0,0,0
7001,241,88,1,559,0,742,230
7002,424,156,1,997,0,1225,416
7003,409,104,1,834,1,927,316
7004,391,108,1,808,0,896,300
7005,303,107,1,755,0,853,338
7006,313,94,1,799,0,966,384
7007,409,117,1,870,0,987,333
7008,395,109,1,820,0,882,306
7009,345,99,1,750,0,931,301
7011,267,83,1,621,0,1063,267
7012,416,128,1,925,0,1034,369
7013,272,96,1,640,0,733,267
7014,458,124,1,928,2,1073,333
7015,26,7,1,81,0,113,46
7016,254,71,1,593,1,977,268
7017,212,59,1,469,0,786,200
7018,318,63,1,672,0,992,285
7019,343,74,1,696,1,945,275
7021,275,62,1,631,0,993,287
7022,282,69,1,667,0,1032,304
7023,301,73,1,671,0,938,283
7024,40,11,1,119,0,309,66
7025,103,23,1,266,0,505,139
7026,333,95,1,700,0,1022,259
7027,299,86,1,577,1,879,186
7028,230,68,1,544,0,900,248
7029,192,73,1,525,0,924,254
7030,292,66,1,558,0,787,197
7031,164,54,1,392,0,511,167
7032,280,57,1,589,3,938,239
7033,252,66,1,546,0,814,228
7034,205,66,1,515,0,954,241
7035,157,46,1,341,1,476,136
7036,275,56,1,596,1,967,259
7037,153,49,1,379,1,840,173
7038,265,81,1,595,0,960,248
7039,291,61,1,625,0,831,267
7041,23,11,1,42,0,62,9
7042,228,74,1,514,0,697,209
7043,308,67,1,640,0,990,259
7044,178,54,1,415,0,867,185
7045,272,71,1,531,0,803,185
7046,170,27,1,319,0,435,116
7047,299,63,1,602,0,858,233
7048,238,58,1,518,0,877,219
7049,264,78,1,534,0,829,188
7051,295,80,1,612,0,909,231
7052,350,74,1,675,0,894,246
7053,196,62,1,462,0,552,191
7054,304,65,1,683,0,1068,312
7101,55,21,1,126,0,150,49
7201,450,139,1,868,1,983,309
7202,394,102,1,752,0,885,246
7203,414,139,1,840,0,950,265
7204,459,124,1,833,0,933,237
7205,442,120,1,815,0,903,247
7206,173,51,1,340,0,390,113
7207,271,120,1,595,1,712,196
7208,277,93,1,539,0,635,161
7209,307,58,1,491,0,563,117
7301,373,118,1,813,1,1080,319
7302,373,102,1,732,0,862,252
7303,383,144,1,851,1,1032,322
7304,390,134,1,828,0,993,299
7305,416,118,1,772,0,906,218
7306,393,136,1,882,0,1076,324
