precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,211,54,1,446,1,586,177
1102,396,74,1,810,0,996,336
1103,389,74,1,781,1,971,309
1104,340,83,1,763,0,991,342
1106,277,80,1,600,0,808,235
1107,229,70,1,506,0,781,204
1108,359,83,1,744,1,951,293
1109,328,71,1,617,0,809,212
1111,306,109,1,717,0,1031,292
1112,214,71,1,557,0,765,263
1113,247,51,1,547,0,713,239
1114,310,110,1,741,0,971,321
1115,322,94,1,746,2,910,322
1116,282,91,1,636,0,913,257
1117,263,69,1,644,0,886,304
1118,356,95,1,776,0,1031,317
1119,269,86,1,587,0,783,227
1121,271,65,1,525,0,691,188
1122,253,61,1,482,0,658,167
1123,297,76,1,646,0,954,274
1124,225,80,1,556,1,831,244
1125,323,109,1,745,0,1029,308
1126,296,86,1,701,0,954,309
1127,346,67,1,685,0,911,271
1128,313,81,1,686,0,907,286
1129,304,89,1,703,0,951,306
1131,280,74,1,574,0,853,218
1132,360,80,1,721,1,982,276
1133,340,65,1,661,0,870,247
1134,277,69,1,593,0,793,246
1135,220,40,1,421,0,521,158
1136,330,86,1,669,1,857,245
1141,371,76,1,812,0,1047,362
1142,294,74,1,667,0,858,285
1143,317,80,1,801,1,1056,391
1144,300,75,1,713,1,928,337
1145,368,74,1,753,0,931,300
1146,334,92,1,791,1,1036,359
1147,309,70,1,734,0,927,350
1148,324,90,1,727,0,992,308
1149,330,80,1,747,0,950,334
1151,0,0,1,0,0,0,0
1152,306,67,1,671,0,898,295
1153,350,85,1,749,0,961,305
1154,0,0,1,0,0,0,0
7001,242,87,1,559,0,742,230
7002,445,157,1,997,1,1225,393
7003,415,106,1,834,2,927,307
7004,394,114,1,808,0,896,291
7005,340,112,1,755,0,853,296
7006,302,103,1,799,0,966,386
7007,417,118,1,870,0,987,324
7008,416,115,1,820,0,882,279
7009,343,92,1,750,0,931,310
7011,251,76,1,621,1,1063,289
7012,404,128,1,925,1,1034,380
7013,302,97,1,640,1,733,235
7014,462,132,1,928,0,1073,323
7015,25,7,1,81,0,113,47
7016,252,68,1,593,1,977,273
7017,196,66,1,469,1,786,208
7018,327,75,1,672,0,992,264
7019,340,78,1,696,0,945,275
7021,246,68,1,631,0,993,310
7022,278,73,1,667,0,1032,304
7023,292,82,1,671,0,938,283
7024,41,11,1,119,0,309,65
7025,94,26,1,266,0,505,145
7026,360,103,1,700,0,1022,224
7027,274,83,1,577,0,879,215
7028,204,67,1,544,0,900,275
7029,174,74,1,525,0,924,271
7030,299,72,1,558,0,787,184
7031,173,54,1,392,0,511,158
7032,251,63,1,589,2,938,263
7033,224,67,1,546,0,814,255
