precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,192,43,1,446,1,586,207
1102,358,39,1,810,0,996,409
1103,367,42,1,781,1,971,363
1104,315,51,1,763,0,991,399
1106,261,48,1,600,0,808,283
1107,232,46,1,506,1,781,224
1108,341,57,1,744,0,951,338
1109,294,49,1,617,0,809,268
1111,326,59,1,717,0,1031,322
1112,226,56,1,557,0,765,266
1113,248,33,1,547,0,713,256
1114,280,70,1,741,0,971,391
1115,287,75,1,746,1,910,377
1116,270,53,1,636,0,913,307
1117,263,45,1,644,0,886,328
1118,324,61,1,776,2,1031,381
1119,233,61,1,587,0,783,288
1121,251,37,1,525,0,691,236
1122,239,33,1,482,1,658,208
1123,241,45,1,646,0,954,361
1124,225,45,1,556,3,831,277
1125,323,80,1,745,0,1029,337
1126,282,52,1,701,0,954,357
1127,322,54,1,685,1,911,307
1128,318,65,1,686,0,907,297
1129,321,60,1,703,0,951,318
1131,277,57,1,574,0,853,238
1132,307,67,1,721,0,982,343
1133,329,44,1,661,0,870,279
1134,265,42,1,593,0,793,285
1135,215,21,1,421,1,521,181
1136,321,55,1,669,0,857,286
1141,354,48,1,812,0,1047,407
1142,269,50,1,667,0,858,334
1143,291,42,1,801,1,1056,455
1144,275,61,1,713,0,928,377
1145,309,46,1,753,1,931,386
1146,319,55,1,791,0,1036,412
1147,276,53,1,734,0,927,400
1148,310,61,1,727,0,992,351
1149,281,56,1,747,1,950,406
1151,0,0,1,0,0,0,0
1152,294,46,1,671,0,898,328
1153,324,49,1,749,0,961,367
1154,0,0,1,0,0,0,0
7001,196,40,1,559,1,742,322
7002,377,91,1,997,0,1225,528
7003,347,61,1,834,0,927,422
7004,287,73,1,808,2,896,437
7005,263,55,1,755,1,853,429
7006,221,59,1,799,0,966,511
7007,335,71,1,870,1,987,452
7008,325,57,1,820,1,882,427
7009,276,54,1,750,0,931,415
7011,221,47,1,621,0,1063,349
7012,345,69,1,925,0,1034,499
7013,228,51,1,640,0,733,356
7014,334,71,1,928,0,1073,512
7015,18,3,1,81,0,113,58
7016,191,51,1,593,0,977,352
7017,160,43,1,469,0,786,268
7018,288,61,1,672,0,992,317
7019,307,52,1,696,1,945,333
7021,210,53,1,631,0,993,361
7022,247,61,1,667,0,1032,347
7023,268,58,1,671,0,938,331
7024,34,9,1,119,0,309,74
7025,81,23,1,266,0,505,161
7026,340,70,1,700,0,1022,277
7027,233,61,1,577,0,879,278
7028,220,56,1,544,2,900,268
7029,150,60,1,525,0,924,309
7030,304,55,1,558,0,787,196
7031,166,38,1,392,1,511,180
7032,217,48,1,589,3,938,311
7033,219,43,1,546,1,814,283
7034,151,46,1,515,0,954,315
7035,154,26,1,341,0,476,160
7036,243,44,1,596,0,967,304
7037,124,41,1,379,0,840,211
7038,252,60,1,595,0,960,282
7039,291,48,1,625,0,831,280
7041,17,6,1,42,0,62,20
7042,202,60,1,514,2,697,247
7043,240,56,1,640,0,990,338
7044,139,43,1,415,0,867,235
7045,248,48,1,531,0,803,232
7046,151,25,1,319,0,435,137
7047,277,55,1,602,0,858,263
7048,221,51,1,518,1,877,242
7049,272,66,1,534,0,829,192
7051,272,67,1,612,1,909,266
7052,340,60,1,675,2,894,268
7053,209,39,1,462,0,552,201
7054,247,49,1,683,0,1068,385
7101,37,16,1,126,0,150,72
7201,430,81,1,868,0,983,388
7202,371,74,1,752,0,885,297
7203,360,89,1,840,0,950,369
7204,389,72,1,833,0,933,359
7205,429,67,1,815,0,903,313
7206,124,35,1,340,0,390,178
7207,229,81,1,595,1,712,277
7208,224,62,1,539,0,635,245
7209,254,34,1,491,0,563,194
7301,339,89,1,813,1,1080,382
7302,376,76,1,732,0,862,275
7303,348,98,1,851,1,1032,403
7304,387,87,1,828,0,993,349
7305,365,87,1,772,0,906,300
7306,365,95,1,882,1,1076,392
7307,276,79,1,674,1,826,308
7308,235,55,1,548,0,641,252
7309,301,89,1,764,1,897,361
7311,322,100,1,853,0,986,413
7312,408,79,1,768,0,874,274
7313,312,83,1,798,1,1001,384
7314,180,86,1,511,1,833,233
7315,230,81,1,597,0,783,274
7316,240,71,1,661,0,893,345
7317,330,67,1,743,0,938,331
7318,278,108,1,689,0,788,290
7319,396,94,1,908,0,1123,402
7321,200,65,1,493,0,683,221
7322,207,98,1,526,0,937,215
7323,307,78,1,727,0,888,330
7324,245,67,1,601,0,756,275
7325,299,100,1,792,0,973,380
7326,257,86,1,749,0,922,396
7327,156,84,1,434,0,762,192
7328,220,141,1,617,1,1024,255
7329,233,53,1,454,1,607,165
7331,446,74,1,793,0,933,258
7332,232,74,1,718,2,889,400
7333,342,103,1,888,0,1101,428
7334,287,82,1,774,0,963,391
7335,382,87,1,894,0,1002,409
7336,409,89,1,883,2,1017,370
7337,352,73,1,755,0,944,319
7338,308,122,1,695,0,1005,256
7339,180,52,1,495,1,660,258
7341,265,89,1,765,1,974,400
7342,296,80,1,791,0,1034,409
7343,194,72,1,618,1,746,347
7344,351,99,1,916,1,1143,459
7345,291,98,1,891,0,1186,491
7346,238,72,1,762,2,991,441
7347,237,80,1,841,0,1085,506
7348,239,78,1,647,0,957,316
7349,285,93,1,771,2,1006,380
7501,230,61,1,522,1,574,223
7502,289,73,1,694,3,808,319
7503,275,55,1,688,0,808,349
7504,144,63,1,420,0,503,199
7505,334,73,1,762,2,915,337
7506,282,82,1,798,0,1018,413
7507,235,49,1,631,0,992,344
7508,282,49,1,606,0,735,267
7509,306,74,1,825,0,1006,435
7512,197,36,1,493,0,638,255
7513,178,81,1,601,0,836,338
7514,169,70,1,544,0,886,299
7515,268,70,1,710,0,898,366
7516,328,70,1,759,2,907,354
7517,255,66,1,826,0,956,497
7518,251,60,1,858,0,993,540
7519,179,59,1,676,2,802,426
7521,195,46,1,726,0,854,475
7522,198,51,1,742,0,848,486
7523,175,56,1,689,3,821,448
7524,151,57,1,532,2,728,316
7525,187,43,1,636,1,870,395
7526,245,73,1,858,0,999,523
7527,196,51,1,624,0,773,363
7529,237,64,1,860,0,992,553
7531,201,77,1,805,1,954,521
7532,228,70,1,741,0,886,435
7533,236,57,1,910,0,1025,604
7534,221,54,1,775,0,967,491
7535,201,47,1,711,1,807,456
7536,239,55,1,775,0,895,473
7537,194,48,1,664,1,783,414
7538,193,52,1,736,0,831,480
7539,195,56,1,821,0,978,567
7541,205,48,1,728,0,865,472
7542,211,39,1,756,0,906,501
7543,238,57,1,806,0,993,508
7544,235,65,1,821,2,962,514
7545,253,67,1,833,0,970,505
7546,238,68,1,817,0,935,501
7547,198,64,1,837,0,1057,560
7548,284,74,1,894,0,1135,529
7549,237,65,1,734,1,854,423
7551,216,41,1,669,0,762,406
7552,209,40,1,678,0,756,418
7553,61,21,1,168,0,187,82
7554,294,53,1,769,1,859,407
7555,354,54,1,846,1,893,425
7556,399,58,1,906,1,1008,438
7601,180,67,1,588,0,929,333
7602,211,63,1,689,2,962,409
7603,197,56,1,690,0,888,429
7604,218,67,1,677,1,989,384
7605,137,57,1,428,0,771,234
7606,175,72,1,640,1,992,388
7607,219,62,1,710,0,1055,416
7608,85,37,1,244,0,456,118
7609,186,89,1,551,0,1051,271
7611,161,78,1,479,0,898,232
7612,142,57,1,418,0,668,212
7613,203,72,1,617,1,1015,332
7614,234,67,1,793,3,1177,485
7615,167,68,1,528,1,1020,285
7616,290,63,1,807,1,981,446
7617,185,69,1,516,0,898,253
7618,224,57,1,689,0,948,407
7619,500,149,1,1485,0,1971,827
7621,273,86,1,800,1,1082,434
7622,166,70,1,534,0,1007,290
7623,138,38,1,467,1,839,284
7624,200,56,1,565,0,1074,302
7625,223,104,1,617,0,896,284
7626,441,86,1,1011,1,1177,474
7627,579,151,1,1326,0,1586,574
7628,257,72,1,720,0,1006,386
7629,175,50,1,577,0,837,346
7631,338,91,1,915,0,1143,483
7632,176,41,1,532,0,727,313
7633,240,80,1,574,0,731,250
7634,281,78,1,706,0,1017,339
7635,230,49,1,643,0,868,356
7636,343,73,1,784,1,993,361
7637,537,122,1,1151,0,1361,485
7638,613,112,1,1135,0,1285,393
7639,401,82,1,891,0,1011,393
7641,415,51,1,795,0,977,313
7642,287,160,1,810,0,967,347
7643,335,80,1,758,0,959,333
7644,332,111,1,925,0,1111,472
7645,300,72,1,587,0,669,203
7646,731,177,1,1893,2,2163,948
7647,168,55,1,598,1,1028,368
7648,1,0,1,3,0,4,2
7701,396,79,1,914,0,1049,429
7702,349,47,1,663,0,775,259
7703,44,12,1,100,1,178,36
7704,486,61,1,881,0,1006,323
7705,312,21,1,495,0,554,159
7706,443,48,1,773,1,853,281
7707,466,43,1,784,0,854,266
7708,410,51,1,783,1,894,309
7709,142,23,1,354,0,390,184
7711,324,52,1,685,0,789,303
7712,191,42,1,518,1,577,276
7801,411,53,1,964,0,975,494
7802,305,64,1,723,1,760,346
7803,334,47,1,774,0,827,384
7804,368,65,1,876,0,932,435
7805,255,55,1,761,1,852,446
7806,217,43,1,663,0,746,396
7807,179,40,1,671,0,774,449
7808,184,46,1,578,0,702,344
7809,346,76,1,1091,2,1234,659
7811,185,40,1,696,1,806,458
7812,251,61,1,752,0,892,440
7813,303,80,1,943,0,1061,549
7814,178,60,1,667,1,919,424
7815,338,71,1,879,0,967,463
7816,339,48,1,823,1,896,426
7817,210,52,1,711,1,804,442
7818,250,44,1,787,1,889,484
7819,236,51,1,682,1,809,387
7821,376,52,1,916,3,998,478
7822,277,49,1,776,0,951,449
7823,282,48,1,806,0,928,472
7824,250,42,1,665,0,794,367
7825,160,35,1,521,2,578,321
7826,176,42,1,633,0,709,409
7827,174,65,1,758,1,931,509
7828,360,70,1,924,0,1053,484
7829,374,47,1,841,0,904,414
7831,313,46,1,803,1,906,439
7832,273,54,1,759,0,824,423
7833,186,44,1,710,1,785,471
7834,214,49,1,775,0,901,504
7835,356,46,1,785,0,863,374
7836,398,43,1,903,0,990,455
7837,349,59,1,840,0,934,424
7838,385,50,1,839,0,933,400
7839,329,49,1,785,1,869,388
7841,286,59,1,839,0,947,484
7842,243,48,1,864,1,960,563
7843,209,32,1,679,0,802,430
7844,158,56,1,594,0,682,376
7845,328,53,1,783,0,869,399
7846,331,68,1,814,0,925,403
7847,307,64,1,843,2,960,464
7848,336,59,1,818,0,905,419
7849,309,59,1,864,0,967,495
7851,280,33,1,472,1,528,154
7852,289,35,1,584,0,644,253
7853,328,57,1,770,1,896,376
7854,325,60,1,825,0,933,430
7855,285,69,1,870,0,968,508
7856,279,56,1,769,1,849,425
7857,292,37,1,854,0,963,518
7858,174,53,1,674,0,791,440
7859,353,48,1,834,0,915,425
7861,325,52,1,776,0,881,374
7862,300,54,1,815,2,923,451
7863,261,70,1,819,1,939,482
7864,212,48,1,703,0,815,443
7865,288,62,1,754,0,853,393
7866,367,58,1,746,0,831,317
7867,367,44,1,822,1,946,405
7868,331,47,1,764,1,901,372
7869,337,52,1,789,0,874,394
7871,345,65,1,804,1,909,389
7872,348,55,1,819,1,902,414
7873,298,47,1,788,1,874,435
7874,160,21,1,408,2,482,223
7875,181,37,1,525,1,628,304
7901,243,87,1,952,1,1286,620
7902,221,36,1,842,0,1064,570
7903,179,54,1,652,1,929,412
7904,203,49,1,694,0,926,435
7905,247,36,1,718,1,851,428
7906,130,44,1,653,0,854,475
7907,213,65,1,834,1,991,545
7908,203,79,1,872,0,1008,583
7909,156,51,1,644,1,787,433
7911,204,44,1,734,1,907,475
7912,201,60,1,874,1,1090,605
7913,212,54,1,800,3,964,525
7914,165,42,1,752,0,895,537
7915,190,39,1,716,0,892,485
7916,207,37,1,768,0,953,518
7917,205,50,1,868,1,1073,601
7918,160,41,1,697,1,860,492
7919,160,48,1,767,1,928,557
7921,196,43,1,694,0,970,450
7922,163,46,1,705,0,884,486
7923,174,34,1,689,0,930,480
7924,182,56,1,696,0,883,454
7925,128,27,1,483,0,591,325
7926,187,48,1,695,0,820,448
7927,214,41,1,688,0,782,430
7928,280,43,1,849,3,976,513
7929,253,39,1,780,1,871,484
7931,242,33,1,687,0,765,405
7932,198,25,1,482,1,557,268
7933,4,0,1,7,0,8,3
7934,222,37,1,772,0,888,508
7935,276,51,1,851,0,949,517
7936,251,35,1,764,0,876,472
7937,243,42,1,780,0,909,487
7938,166,26,1,636,0,808,441
7939,171,34,1,593,0,674,380
7941,214,37,1,655,0,790,401
7942,269,49,1,769,0,950,436
7943,305,46,1,780,0,938,426
7944,226,34,1,692,2,830,426
7945,208,51,1,663,0,926,398
7946,332,44,1,716,2,976,330
7947,334,57,1,717,0,964,320
7948,323,59,1,721,0,933,329
7949,217,33,1,433,0,594,180
7951,301,52,1,645,0,841,285
7952,287,43,1,651,0,865,310
