precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,215,52,1,446,0,586,176
1102,401,65,1,810,1,996,339
1103,405,65,1,781,0,971,303
1104,377,86,1,763,0,991,302
1106,275,74,1,600,0,808,243
1107,267,59,1,506,0,781,177
1108,370,77,1,744,0,951,289
1109,307,72,1,617,1,809,231
1111,347,86,1,717,0,1031,274
1112,273,79,1,557,0,765,196
1113,263,55,1,547,0,713,219
1114,394,96,1,741,2,971,249
1115,354,95,1,746,3,910,288
1116,307,81,1,636,0,913,242
1117,308,67,1,644,1,886,260
1118,364,78,1,776,0,1031,326
1119,274,74,1,587,0,783,234
1121,247,55,1,525,0,691,222
1122,234,51,1,482,0,658,196
1123,330,77,1,646,0,954,240
1124,251,77,1,556,1,831,221
1125,333,102,1,745,0,1029,305
1126,315,79,1,701,1,954,296
1127,327,74,1,685,1,911,282
1128,317,84,1,686,0,907,279
1129,297,86,1,703,0,951,316
1131,274,76,1,574,1,853,221
1132,346,80,1,721,0,982,291
1133,305,74,1,661,0,870,273
1134,296,62,1,593,0,793,234
1135,213,29,1,421,2,521,174
1136,293,72,1,669,1,857,296
1141,419,71,1,812,0,1047,319
1142,339,72,1,667,1,858,241
1143,436,65,1,801,0,1056,288
1144,380,84,1,713,0,928,249
1145,380,65,1,753,0,931,297
1146,381,70,1,791,0,1036,335
1147,372,68,1,734,0,927,289
1148,374,82,1,727,1,992,265
1149,392,76,1,747,0,950,276
1151,0,0,1,0,0,0,0
1152,344,68,1,671,0,898,256
1153,365,83,1,749,2,961,290
1154,0,0,1,0,0,0,0
7001,215,61,1,559,2,742,281
7002,371,113,1,997,0,1225,512
7003,356,81,1,834,1,927,392
7004,294,91,1,808,0,896,414
7005,322,77,1,755,0,853,349
7006,402,63,1,799,2,966,324
7007,361,90,1,870,0,987,408
7008,328,78,1,820,0,882,404
7009,352,73,1,750,0,931,320
7011,291,59,1,621,1,1063,266
7012,362,94,1,925,1,1034,456
7013,228,66,1,640,0,733,341
7014,347,92,1,928,0,1073,478
7015,52,2,1,81,0,113,25
7016,253,64,1,593,0,977,277
7017,193,46,1,469,1,786,231
7018,266,73,1,672,1,992,326
7019,279,69,1,696,0,945,345
7021,287,55,1,631,1,993,281
7022,269,66,1,667,0,1032,320
7023,276,60,1,671,1,938,320
7024,43,9,1,119,0,309,65
7025,131,25,1,266,0,505,109
7026,261,90,1,700,0,1022,336
7027,219,73,1,577,0,879,280
7028,257,47,1,544,4,900,238
7029,210,70,1,525,0,924,239
7030,224,72,1,558,0,787,259
7031,141,48,1,392,0,511,196
7032,259,59,1,589,2,938,259
7033,243,53,1,546,1,814,249
7034,211,50,1,515,0,954,251
7035,124,28,1,341,1,476,187
7036,281,64,1,596,1,967,245
7037,162,47,1,379,0,840,167
7038,259,77,1,595,1,960,257
7039,285,57,1,625,0,831,277
7041,20,8,1,42,0,62,15
7042,250,68,1,514,0,697,193
7043,249,62,1,640,1,990,322
7044,176,50,1,415,1,867,190
7045,224,70,1,531,0,803,234
7046,148,23,1,319,0,435,142
7047,258,54,1,602,0,858,283
7048,217,61,1,518,0,877,237
7049,222,84,1,534,0,829,224
7051,241,76,1,612,1,909,288
7052,263,65,1,675,0,894,342
7053,135,27,1,462,0,552,287
7054,317,49,1,683,0,1068,315
7101,49,19,1,126,0,150,57
7201,313,128,1,868,0,983,458
7202,249,84,1,752,0,885,409
7203,273,124,1,840,1,950,420
7204,288,103,1,833,0,933,429
7205,271,98,1,815,0,903,440
7206,119,42,1,340,0,390,176
7207,201,105,1,595,1,712,281
7208,192,87,1,539,0,635,252
7209,151,53,1,491,2,563,276
7301,301,128,1,813,0,1080,382
7302,247,98,1,732,0,862,382
7303,296,126,1,851,0,1032,428
7304,306,109,1,828,1,993,407
7305,290,94,1,772,1,906,367
7306,349,109,1,882,2,1076,393
7307,259,98,1,674,1,826,306
7308,219,70,1,548,0,641,253
7309,276,98,1,764,1,897,377
7311,299,131,1,853,2,986,403
7312,266,104,1,768,2,874,389
7313,286,100,1,798,1,1001,393
7314,177,86,1,511,1,833,236
7315,220,101,1,597,2,783,262
7316,285,86,1,661,1,893,284
7317,286,90,1,743,0,938,352
7318,221,123,1,689,0,788,332
7319,314,132,1,908,1,1123,445
7321,169,70,1,493,0,683,247
7322,156,90,1,526,0,937,274
7323,250,108,1,727,1,888,356
7324,195,106,1,601,0,756,286
7325,282,128,1,792,0,973,369
7326,260,88,1,749,0,922,391
7327,139,79,1,434,1,762,213
7328,195,122,1,617,0,1024,300
7329,158,59,1,454,0,607,235
7331,273,96,1,793,0,933,409
7332,308,97,1,718,0,889,303
7333,294,134,1,888,1,1101,444
7334,302,107,1,774,0,963,351
7335,348,105,1,894,1,1002,424
7336,314,119,1,883,3,1017,434
7337,284,100,1,755,0,944,360
7338,209,109,1,695,0,1005,368
7339,200,63,1,495,0,660,228
7341,278,123,1,765,0,974,354
7342,338,113,1,791,1,1034,333
7343,267,89,1,618,0,746,258
7344,343,139,1,916,2,1143,426
7345,348,145,1,891,0,1186,387
7346,364,99,1,762,0,991,290
7347,349,115,1,841,2,1085,357
7348,267,90,1,647,1,957,275
7349,276,103,1,771,0,1006,381
7501,158,85,1,522,0,574,272
7502,272,91,1,694,0,808,321
7503,266,89,1,688,1,808,323
7504,125,65,1,420,0,503,216
7505,216,92,1,762,0,915,438
7506,323,113,1,798,1,1018,340
7507,292,65,1,631,0,992,271
7508,255,76,1,606,2,735,265
7509,327,94,1,825,0,1006,394
7512,184,56,1,493,0,638,248
7513,241,93,1,601,2,836,261
7514,199,80,1,544,2,886,257
7515,264,90,1,710,0,898,350
7516,253,105,1,759,0,907,396
7517,373,96,1,826,0,956,349
7518,425,80,1,858,3,993,343
7519,295,93,1,676,0,802,278
7521,326,71,1,726,0,854,319
7522,354,71,1,742,0,848,310
7523,355,66,1,689,1,821,260
7524,234,65,1,532,1,728,226
7525,291,71,1,636,0,870,264
7526,349,97,1,858,0,999,395
7527,257,59,1,624,1,773,293
7529,401,86,1,860,0,992,367
7531,366,94,1,805,1,954,339
7532,282,97,1,741,1,886,353
7533,461,102,1,910,0,1025,334
7534,393,76,1,775,0,967,297
7535,344,67,1,711,0,807,294
7536,356,82,1,775,1,895,328
7537,305,79,1,664,0,783,273
7538,337,67,1,736,1,831,320
7539,425,74,1,821,0,978,319
7541,352,68,1,728,0,865,305
7542,367,73,1,756,0,906,311
7543,366,89,1,806,0,993,348
7544,362,77,1,821,2,962,375
7545,321,96,1,833,1,970,407
7546,383,95,1,817,1,935,328
7547,377,103,1,837,1,1057,341
7548,371,102,1,894,1,1135,413
7549,288,101,1,734,0,854,337
7551,311,68,1,669,0,762,284
7552,266,59,1,678,0,756,342
7553,67,30,1,168,1,187,66
7554,295,81,1,769,0,859,379
7555,341,79,1,846,1,893,413
7556,332,73,1,906,0,1008,491
7601,260,84,1,588,0,929,236
7602,319,85,1,689,0,962,281
7603,318,82,1,690,0,888,282
7604,309,77,1,677,0,989,284
7605,180,64,1,428,0,771,184
7606,297,91,1,640,1,992,247
7607,336,84,1,710,0,1055,277
7608,88,42,1,244,0,456,110
7609,196,89,1,551,0,1051,261
7611,186,87,1,479,0,898,198
7612,148,63,1,418,0,668,200
7613,255,80,1,617,2,1015,271
7614,352,118,1,793,0,1177,319
7615,209,82,1,528,2,1020,228
7616,238,103,1,807,0,981,459
7617,204,85,1,516,0,898,218
7618,285,79,1,689,0,948,324
7619,558,201,1,1485,0,1971,717
7621,284,108,1,800,0,1082,402
7622,204,83,1,534,0,1007,239
7623,195,55,1,467,0,839,211
7624,225,77,1,565,0,1074,256
7625,164,99,1,617,2,896,346
7626,304,126,1,1011,0,1177,572
7627,393,191,1,1326,0,1586,720
7628,300,81,1,720,1,1006,333
7629,229,75,1,577,0,837,267
7631,320,119,1,915,2,1143,471
7632,213,46,1,532,1,727,270
7633,198,84,1,574,0,731,288
7634,231,89,1,706,0,1017,378
7635,239,82,1,643,0,868,314
7636,252,95,1,784,0,993,431
7637,333,175,1,1151,1,1361,635
7638,308,146,1,1135,1,1285,663
7639,251,114,1,891,1,1011,510
7641,280,68,1,795,0,977,431
7642,247,197,1,810,0,967,350
7643,235,111,1,758,0,959,402
7644,253,157,1,925,0,1111,505
7645,203,78,1,587,0,669,294
7646,540,236,1,1893,0,2163,1082
7647,301,75,1,598,0,1028,216
7648,0,2,1,3,0,4,1
7701,386,105,1,914,1,1049,412
7702,275,86,1,663,0,775,294
7703,38,20,1,100,0,178,35
7704,391,94,1,881,0,1006,385
7705,197,43,1,495,2,554,250
7706,337,67,1,773,0,853,369
7707,335,73,1,784,0,854,367
7708,321,77,1,783,1,894,372
7709,199,30,1,354,0,390,120
7711,306,74,1,685,1,789,298
7712,233,64,1,518,0,577,213
7801,377,76,1,964,0,975,505
7802,263,85,1,723,1,760,367
7803,282,75,1,774,0,827,408
7804,318,84,1,876,0,932,466
7805,298,72,1,761,0,852,387
7806,283,62,1,663,0,746,311
7807,284,53,1,671,0,774,331
7808,240,67,1,578,1,702,266
7809,389,115,1,1091,0,1234,579
7811,312,66,1,696,0,806,306
7812,313,82,1,752,2,892,355
7813,380,111,1,943,0,1061,441
7814,307,82,1,667,1,919,273
7815,318,86,1,879,1,967,467
7816,292,71,1,823,1,896,450
7817,318,57,1,711,2,804,328
7818,323,63,1,787,0,889,393
