precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,265,49,1,446,0,586,129
1102,481,58,1,810,0,996,267
1103,477,69,1,781,2,971,225
1104,451,76,1,763,1,991,237
1106,334,72,1,600,0,808,186
1107,297,57,1,506,0,781,149
1108,425,75,1,744,1,951,235
1109,339,64,1,617,1,809,207
1111,362,88,1,717,0,1031,257
1112,297,72,1,557,1,765,178
1113,299,59,1,547,0,713,179
1114,385,99,1,741,2,971,255
1115,407,106,1,746,0,910,227
1116,342,66,1,636,0,913,222
1117,345,65,1,644,0,886,226
1118,397,76,1,776,0,1031,295
1119,299,74,1,587,0,783,209
1121,288,64,1,525,1,691,171
1122,269,56,1,482,0,658,156
1123,345,72,1,646,1,954,229
1124,304,73,1,556,1,831,172
1125,357,101,1,745,0,1029,282
1126,366,81,1,701,0,954,244
1127,366,76,1,685,0,911,242
1128,314,91,1,686,1,907,274
1129,346,84,1,703,0,951,269
1131,298,68,1,574,1,853,205
1132,384,86,1,721,2,982,245
1133,358,71,1,661,0,870,223
1134,335,65,1,593,0,793,192
1135,230,32,1,421,1,521,155
1136,347,75,1,669,1,857,239
1141,465,67,1,812,0,1047,277
1142,376,63,1,667,2,858,212
1143,483,67,1,801,0,1056,239
1144,423,77,1,713,1,928,212
1145,461,69,1,753,0,931,212
1146,435,78,1,791,0,1036,273
1147,443,73,1,734,1,927,212
1148,381,74,1,727,1,992,266
1149,408,78,1,747,0,950,258
1151,0,0,1,0,0,0,0
1152,356,72,1,671,0,898,240
1153,425,72,1,749,0,961,243
1154,0,0,1,0,0,0,0
7001,356,64,1,559,0,742,139
7002,612,125,1,997,0,1225,259
7003,545,75,1,834,0,927,210
7004,548,85,1,808,0,896,166
7005,504,83,1,755,0,853,161
7006,556,82,1,799,0,966,153
7007,584,93,1,870,0,987,182
7008,555,77,1,820,0,882,178
7009,464,74,1,750,0,931,207
7011,376,65,1,621,0,1063,176
7012,600,99,1,925,1,1034,213
7013,403,71,1,640,0,733,161
7014,589,112,1,928,0,1073,216
7015,53,4,1,81,0,113,22
7016,317,67,1,593,0,977,210
7017,272,48,1,469,1,786,150
7018,330,82,1,672,0,992,254
7019,367,75,1,696,0,945,251
7021,343,60,1,631,1,993,220
7022,367,72,1,667,0,1032,216
7023,364,71,1,671,0,938,222
7024,59,8,1,119,1,309,49
7025,159,24,1,266,0,505,82
7026,316,96,1,700,0,1022,275
7027,280,80,1,577,0,879,212
7028,297,60,1,544,2,900,187
7029,268,79,1,525,0,924,172
7030,246,74,1,558,0,787,235
7031,180,53,1,392,0,511,152
7032,297,57,1,589,2,938,223
7033,284,53,1,546,1,814,208
7034,289,52,1,515,0,954,171
7035,187,31,1,341,0,476,122
7036,287,58,1,596,1,967,245
7037,192,54,1,379,1,840,129
7038,301,75,1,595,0,960,218
7039,314,65,1,625,0,831,240
7041,15,9,1,42,0,62,19
7042,274,72,1,514,0,697,165
7043,317,63,1,640,1,990,253
7044,202,53,1,415,0,867,162
7045,268,69,1,531,0,803,191
7046,183,30,1,319,0,435,100
7047,325,59,1,602,0,858,211
7048,239,66,1,518,0,877,210
7049,237,82,1,534,0,829,211
7051,295,81,1,612,1,909,229
7052,346,80,1,675,0,894,244
7053,200,55,1,462,0,552,194
7054,377,61,1,683,1,1068,242
7101,86,18,1,126,0,150,21
7201,466,119,1,868,0,983,314
7202,374,91,1,752,0,885,277
7203,447,129,1,840,0,950,242
7204,455,112,1,833,0,933,253
7205,444,94,1,815,0,903,271
7206,183,45,1,340,0,390,109
7207,301,116,1,595,1,712,170
7208,269,106,1,539,1,635,155
7209,300,58,1,491,0,563,124
7301,416,129,1,813,0,1080,266
7302,394,98,1,732,0,862,235
7303,487,142,1,851,0,1032,221
7304,472,119,1,828,0,993,232
7305,434,97,1,772,0,906,221
7306,482,128,1,882,0,1076,243
7307,372,109,1,674,0,826,183
7308,327,72,1,548,0,641,143
7309,384,119,1,764,0,897,249
7311,467,140,1,853,3,986,225
