precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,175,40,1,446,0,586,228
1102,357,58,1,810,0,996,391
1103,331,60,1,781,1,971,381
1104,340,66,1,763,0,991,359
1106,260,54,1,600,0,808,278
1107,231,52,1,506,0,781,220
1108,331,60,1,744,0,951,345
1109,272,42,1,617,3,809,294
1111,304,67,1,717,1,1031,335
1112,228,58,1,557,0,765,262
1113,220,33,1,547,0,713,284
1114,310,66,1,741,0,971,365
1115,334,63,1,746,1,910,342
1116,259,63,1,636,0,913,308
1117,286,60,1,644,0,886,290
1118,309,71,1,776,2,1031,386
1119,238,58,1,587,0,783,286
1121,190,45,1,525,0,691,289
1122,179,42,1,482,0,658,260
1123,278,53,1,646,0,954,316
1124,235,54,1,556,1,831,260
1125,269,83,1,745,1,1029,387
1126,262,66,1,701,1,954,362
1127,227,75,1,685,0,911,382
1128,226,79,1,686,1,907,374
1129,199,73,1,703,0,951,427
1131,205,72,1,574,0,853,295
1132,266,72,1,721,0,982,379
1133,235,49,1,661,0,870,368
1134,217,51,1,593,0,793,324
1135,173,24,1,421,0,521,221
1136,253,50,1,669,0,857,359
1141,356,63,1,812,1,1047,389
1142,262,58,1,667,0,858,333
1143,359,56,1,801,0,1056,374
1144,318,65,1,713,0,928,330
1145,345,47,1,753,0,931,350
1146,321,61,1,791,3,1036,401
1147,353,54,1,734,3,927,319
1148,283,65,1,727,0,992,374
1149,345,62,1,747,0,950,337
1151,0,0,1,0,0,0,0
1152,254,49,1,671,0,898,365
1153,312,65,1,749,1,961,362
1154,0,0,1,0,0,0,0
7001,248,31,1,559,0,742,280
7002,374,65,1,997,1,1225,556
7003,363,43,1,834,1,927,423
7004,390,47,1,808,3,896,359
7005,378,49,1,755,0,853,321
7006,466,43,1,799,0,966,282
7007,417,60,1,870,0,987,382
7008,391,52,1,820,2,882,365
7009,376,39,1,750,0,931,330
7011,311,49,1,621,1,1063,256
7012,453,57,1,925,1,1034,402
7013,285,31,1,640,0,733,319
7014,417,60,1,928,1,1073,439
7015,46,4,1,81,0,113,29
7016,259,55,1,593,2,977,278
7017,248,40,1,469,0,786,183
7018,277,58,1,672,0,992,331
7019,291,50,1,696,0,945,352
7021,293,48,1,631,0,993,283
7022,301,54,1,667,1,1032,299
7023,276,66,1,671,1,938,314
7024,52,8,1,119,0,309,57
7025,132,22,1,266,0,505,111
7026,185,63,1,700,0,1022,439
7027,208,67,1,577,0,879,297
7028,278,60,1,544,2,900,206
7029,243,61,1,525,1,924,214
7030,163,47,1,558,0,787,345
7031,125,40,1,392,0,511,220
7032,246,55,1,589,3,938,275
7033,244,61,1,546,1,814,240
7034,241,45,1,515,0,954,226
7035,140,33,1,341,0,476,167
7036,202,40,1,596,0,967,349
7037,181,46,1,379,0,840,149
7038,223,59,1,595,0,960,312
7039,243,40,1,625,0,831,336
7041,10,6,1,42,0,62,27
7042,204,49,1,514,0,697,258
7043,263,37,1,640,0,990,334
7044,178,52,1,415,0,867,187
7045,202,48,1,531,0,803,278
7046,139,18,1,319,0,435,156
7047,217,47,1,602,0,858,331
7048,168,53,1,518,0,877,294
7049,156,71,1,534,0,829,303
7051,209,63,1,612,0,909,334
7052,228,48,1,675,0,894,394
7053,128,39,1,462,0,552,282
7054,325,38,1,683,1,1068,317
7101,62,14,1,126,0,150,49
7201,339,74,1,868,1,983,485
7202,266,49,1,752,0,885,427
7203,326,77,1,840,2,950,413
7204,313,69,1,833,0,933,438
7205,308,64,1,815,1,903,436
7206,139,27,1,340,1,390,170
7207,232,72,1,595,0,712,284
7208,201,70,1,539,0,635,260
7209,203,35,1,491,1,563,243
7301,284,89,1,813,0,1080,438
7302,254,75,1,732,0,862,398
7303,342,92,1,851,1,1032,415
7304,349,76,1,828,0,993,398
7305,303,63,1,772,1,906,385
7306,347,92,1,882,1,1076,413
7307,302,71,1,674,0,826,291
7308,238,55,1,548,1,641,248
7309,292,75,1,764,0,897,385
7311,314,103,1,853,0,986,418
7312,287,77,1,768,0,874,397
7313,308,85,1,798,1,1001,386
7314,170,78,1,511,1,833,251
7315,245,78,1,597,1,783,261
7316,297,63,1,661,0,893,296
7317,297,53,1,743,0,938,378
7318,234,98,1,689,0,788,344
7319,352,97,1,908,0,1123,443
7321,189,61,1,493,1,683,235
7322,161,93,1,526,0,937,266
7323,257,70,1,727,0,888,388
7324,225,54,1,601,1,756,307
7325,327,90,1,792,0,973,362
7326,322,69,1,749,1,922,347
7327,113,65,1,434,1,762,253
7328,192,112,1,617,2,1024,311
7329,152,44,1,454,0,607,256
7331,259,76,1,793,1,933,442
7332,316,58,1,718,0,889,334
7333,361,107,1,888,1,1101,404
7334,328,80,1,774,1,963,351
7335,373,83,1,894,0,1002,422
7336,313,95,1,883,1,1017,461
7337,291,70,1,755,1,944,382
7338,192,100,1,695,0,1005,394
7339,202,44,1,495,0,660,245
7341,318,77,1,765,0,974,360
7342,362,68,1,791,1,1034,354
7343,271,67,1,618,0,746,276
7344,373,90,1,916,0,1143,447
7345,392,97,1,891,1,1186,390
7346,368,66,1,762,0,991,319
7347,398,77,1,841,0,1085,348
7348,262,59,1,647,0,957,312
7349,325,86,1,771,1,1006,348
7501,191,55,1,522,0,574,269
7502,302,75,1,694,0,808,307
7503,290,60,1,688,1,808,328
7504,199,57,1,420,0,503,150
7505,333,75,1,762,1,915,337
7506,357,72,1,798,0,1018,348
7507,307,59,1,631,0,992,262
7508,247,61,1,606,0,735,290
7509,325,74,1,825,0,1006,416
7512,220,41,1,493,0,638,227
7513,296,77,1,601,0,836,224
7514,246,75,1,544,1,886,216
7515,349,73,1,710,0,898,282
7516,294,86,1,759,0,907,374
7517,472,56,1,826,0,956,290
7518,516,56,1,858,0,993,279
7519,370,65,1,676,0,802,231
7521,403,47,1,726,1,854,265
7522,419,49,1,742,0,848,267
7523,440,46,1,689,0,821,196
7524,288,55,1,532,0,728,183
7525,310,56,1,636,0,870,260
7526,453,64,1,858,1,999,323
7527,298,57,1,624,0,773,255
7529,502,57,1,860,1,992,294
7531,493,51,1,805,1,954,255
7532,346,62,1,741,0,886,325
7533,531,59,1,910,1,1025,306
7534,445,50,1,775,1,967,270
7535,408,54,1,711,0,807,243
7536,420,65,1,775,0,895,282
7537,394,41,1,664,1,783,221
7538,434,53,1,736,0,831,238
7539,507,53,1,821,0,978,258
7541,418,48,1,728,0,865,259
7542,462,37,1,756,0,906,252
7543,454,63,1,806,0,993,286
7544,419,60,1,821,1,962,336
7545,414,68,1,833,0,970,343
7546,442,65,1,817,0,935,300
7547,498,68,1,837,1,1057,255
7548,507,71,1,894,2,1135,307
7549,379,59,1,734,1,854,287
7551,373,47,1,669,1,762,242
7552,393,48,1,678,1,756,225
7553,76,22,1,168,0,187,66
7554,391,55,1,769,1,859,308
7555,442,59,1,846,0,893,333
7556,480,55,1,906,0,1008,361
7601,262,60,1,588,0,929,258
7602,355,70,1,689,1,962,259
7603,350,42,1,690,0,888,290
7604,307,47,1,677,0,989,316
7605,193,44,1,428,1,771,190
7606,327,64,1,640,1,992,244
7607,318,69,1,710,0,1055,310
7608,86,36,1,244,0,456,118
7609,217,82,1,551,0,1051,247
7611,222,71,1,479,0,898,178
7612,153,42,1,418,0,668,216
7613,260,60,1,617,0,1015,288
7614,344,72,1,793,2,1177,371
7615,218,59,1,528,1,1020,243
7616,327,45,1,807,0,981,428
7617,196,71,1,516,0,898,240
7618,267,39,1,689,0,948,382
7619,584,132,1,1485,2,1971,758
7621,317,58,1,800,0,1082,419
7622,228,62,1,534,0,1007,236
7623,194,37,1,467,0,839,230
7624,248,54,1,565,1,1074,255
7625,151,88,1,617,0,896,372
7626,349,62,1,1011,1,1177,590
7627,367,119,1,1326,0,1586,818
7628,322,48,1,720,3,1006,342
7629,250,37,1,577,1,837,283
7631,368,73,1,915,1,1143,470
7632,229,37,1,532,0,727,264
7633,192,56,1,574,0,731,322
7634,246,67,1,706,0,1017,385
7635,249,36,1,643,1,868,349
7636,270,67,1,784,0,993,441
7637,379,108,1,1151,3,1361,654
7638,314,82,1,1135,0,1285,722
7639,269,72,1,891,0,1011,535
7641,274,49,1,795,0,977,456
