precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,224,46,1,446,0,586,173
1102,427,64,1,810,0,996,315
1103,383,64,1,781,0,971,326
1104,345,75,1,763,0,991,345
1106,295,67,1,600,1,808,229
1107,239,56,1,506,1,781,207
1108,339,72,1,744,0,951,325
1109,278,61,1,617,0,809,272
1111,307,79,1,717,0,1031,321
1112,228,70,1,557,0,765,250
1113,258,45,1,547,0,713,234
1114,296,84,1,741,0,971,361
1115,327,75,1,746,0,910,338
1116,250,72,1,636,0,913,308
1117,285,63,1,644,0,886,288
1118,297,82,1,776,0,1031,389
1119,240,72,1,587,0,783,270
1121,219,55,1,525,0,691,250
1122,197,47,1,482,0,658,237
1123,275,65,1,646,0,954,307
1124,212,61,1,556,1,831,276
1125,249,83,1,745,0,1029,408
1126,258,80,1,701,3,954,350
1127,255,81,1,685,2,911,346
1128,235,82,1,686,1,907,362
1129,256,91,1,703,0,951,352
1131,208,81,1,574,0,853,283
1132,275,94,1,721,1,982,347
1133,285,65,1,661,1,870,301
1134,250,59,1,593,0,793,283
1135,188,30,1,421,0,521,200
1136,269,61,1,669,1,857,331
1141,375,82,1,812,0,1047,352
1142,304,51,1,667,1,858,297
1143,367,74,1,801,0,1056,348
1144,319,78,1,713,1,928,315
1145,380,62,1,753,0,931,300
1146,335,73,1,791,0,1036,378
1147,361,68,1,734,2,927,298
1148,312,74,1,727,2,992,334
1149,367,69,1,747,1,950,307
1151,0,0,1,0,0,0,0
1152,280,63,1,671,0,898,325
1153,327,76,1,749,0,961,337
1154,0,0,1,0,0,0,0
7001,282,41,1,559,0,742,236
7002,463,103,1,997,0,1225,430
7003,457,66,1,834,0,927,307
7004,461,72,1,808,1,896,265
7005,435,69,1,755,0,853,244
7006,479,60,1,799,0,966,252
7007,504,84,1,870,0,987,271
7008,481,84,1,820,0,882,245
7009,417,54,1,750,0,931,274
7011,292,52,1,621,0,1063,273
7012,523,78,1,925,1,1034,311
7013,347,56,1,640,0,733,232
7014,474,79,1,928,1,1073,363
7015,43,6,1,81,0,113,30
7016,239,61,1,593,0,977,294
7017,202,47,1,469,1,786,221
7018,249,54,1,672,0,992,363
7019,302,57,1,696,0,945,334
7021,268,46,1,631,0,993,310
7022,286,55,1,667,0,1032,314
7023,303,64,1,671,0,938,290
7024,46,8,1,119,0,309,63
7025,122,24,1,266,0,505,119
7026,216,74,1,700,0,1022,397
7027,206,66,1,577,0,879,300
7028,249,55,1,544,2,900,240
7029,209,64,1,525,0,924,246
7030,191,55,1,558,1,787,308
7031,136,49,1,392,0,511,200
7032,228,59,1,589,2,938,290
7033,218,63,1,546,1,814,264
7034,204,47,1,515,0,954,261
7035,144,26,1,341,0,476,170
7036,200,44,1,596,0,967,347
7037,149,44,1,379,1,840,182
7038,213,58,1,595,0,960,323
7039,252,49,1,625,0,831,318
7041,10,9,1,42,0,62,24
7042,199,52,1,514,0,697,260
7043,225,50,1,640,0,990,359
7044,148,48,1,415,0,867,221
7045,207,53,1,531,0,803,268
7046,130,31,1,319,0,435,152
7047,227,61,1,602,0,858,307
7048,172,52,1,518,0,877,291
7049,162,86,1,534,0,829,282
7051,199,72,1,612,0,909,335
7052,264,56,1,675,0,894,350
7053,148,54,1,462,0,552,247
7054,315,50,1,683,0,1068,316
7101,62,13,1,126,0,150,50
7201,402,99,1,868,0,983,398
7202,294,66,1,752,1,885,381
7203,361,96,1,840,1,950,360
7204,376,89,1,833,1,933,354
7205,372,79,1,815,0,903,358
7206,170,31,1,340,0,390,136
7207,242,84,1,595,0,712,262
