precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,127,44,1,446,0,586,272
1102,273,60,1,810,1,996,472
1103,241,76,1,781,0,971,456
1104,240,84,1,763,0,991,441
1106,193,62,1,600,0,808,337
1107,140,59,1,506,0,781,304
1108,220,77,1,744,0,951,439
1109,205,51,1,617,1,809,354
1111,224,73,1,717,0,1031,410
1112,151,69,1,557,0,765,328
1113,168,49,1,547,0,713,320
1114,193,90,1,741,0,971,458
1115,204,85,1,746,0,910,451
1116,165,69,1,636,0,913,396
1117,189,67,1,644,0,886,380
1118,247,69,1,776,0,1031,452
1119,171,63,1,587,0,783,348
1121,188,50,1,525,0,691,286
1122,199,49,1,482,0,658,233
1123,167,61,1,646,1,954,418
1124,138,64,1,556,0,831,348
1125,201,100,1,745,0,1029,439
1126,232,75,1,701,0,954,384
1127,247,81,1,685,0,911,356
1128,220,86,1,686,0,907,374
1129,215,80,1,703,0,951,404
1131,200,79,1,574,0,853,293
1132,214,81,1,721,0,982,422
1133,225,57,1,661,0,870,370
1134,200,62,1,593,0,793,330
1135,161,33,1,421,0,521,224
1136,234,68,1,669,1,857,359
1141,249,79,1,812,1,1047,480
1142,208,66,1,667,0,858,379
1143,202,71,1,801,0,1056,516
1144,205,89,1,713,0,928,419
1145,232,67,1,753,0,931,443
1146,194,78,1,791,0,1036,514
1147,204,65,1,734,0,927,460
1148,221,87,1,727,1,992,413
1149,202,79,1,747,0,950,463
1151,0,0,1,0,0,0,0
1152,229,67,1,671,0,898,372
1153,247,79,1,749,0,961,414
1154,0,0,1,0,0,0,0
7001,162,48,1,559,0,742,349
7002,322,100,1,997,0,1225,574
7003,284,67,1,834,1,927,478
7004,271,67,1,808,0,896,461
7005,204,75,1,755,0,853,469
7006,190,65,1,799,0,966,536
7007,313,78,1,870,0,987,468
7008,286,74,1,820,0,882,450
7009,214,59,1,750,0,931,472
7011,155,63,1,621,1,1063,398
7012,289,79,1,925,2,1034,543
7013,225,54,1,640,0,733,356
7014,333,77,1,928,0,1073,507
7015,11,6,1,81,0,113,62
7016,141,61,1,593,0,977,392
7017,99,47,1,469,0,786,325
7018,190,64,1,672,0,992,412
7019,230,72,1,696,2,945,389
7021,146,53,1,631,3,993,422
7022,161,58,1,667,0,1032,436
7023,153,74,1,671,0,938,430
7024,25,13,1,119,0,309,79
7025,51,25,1,266,0,505,189
7026,251,67,1,700,1,1022,368
7027,159,80,1,577,0,879,333
7028,120,62,1,544,3,900,361
7029,98,73,1,525,1,924,347
7030,230,54,1,558,0,787,271
7031,119,53,1,392,0,511,213
7032,151,55,1,589,3,938,370
7033,137,61,1,546,1,814,347
7034,105,52,1,515,0,954,355
7035,103,34,1,341,0,476,203
7036,181,48,1,596,0,967,362
7037,71,48,1,379,1,840,256
7038,180,75,1,595,0,960,339
7039,216,51,1,625,0,831,352
7041,13,10,1,42,0,62,20
7042,155,57,1,514,0,697,299
7043,163,64,1,640,0,990,407
7044,103,56,1,415,0,867,258
7045,211,51,1,531,0,803,266
7046,111,22,1,319,0,435,180
7047,199,58,1,602,1,858,337
7048,161,61,1,518,0,877,293
7049,191,78,1,534,0,829,261
7051,197,73,1,612,0,909,336
7052,229,62,1,675,1,894,378
7053,164,55,1,462,0,552,230
7054,174,53,1,683,0,1068,454
7101,38,15,1,126,0,150,72
7201,324,106,1,868,0,983,469
7202,280,70,1,752,0,885,392
7203,296,108,1,840,0,950,414
7204,323,91,1,833,1,933,405
7205,327,88,1,815,0,903,394
7206,124,32,1,340,0,390,181
7207,175,86,1,595,1,712,326
7208,167,79,1,539,0,635,285
7209,202,43,1,491,0,563,237
7301,258,124,1,813,0,1080,429
7302,270,90,1,732,0,862,367
7303,281,114,1,851,1,1032,454
7304,298,89,1,828,0,993,436
7305,279,82,1,772,0,906,391
7306,282,122,1,882,1,1076,448
7307,220,85,1,674,1,826,358
7308,202,74,1,548,0,641,266
7309,271,90,1,764,1,897,390
7311,284,127,1,853,0,986,424
7312,319,99,1,768,0,874,343
7313,279,98,1,798,0,1001,403
7314,156,95,1,511,2,833,247
7315,167,96,1,597,1,783,321
7316,220,77,1,661,0,893,359
7317,263,74,1,743,0,938,391
7318,222,120,1,689,0,788,334
7319,320,125,1,908,0,1123,447
7321,162,81,1,493,0,683,243
7322,157,110,1,526,0,937,253
7323,220,104,1,727,0,888,391
7324,198,83,1,601,1,756,305
7325,245,111,1,792,0,973,423
7326,237,91,1,749,0,922,411
7327,147,80,1,434,0,762,205
7328,197,133,1,617,0,1024,287
7329,189,48,1,454,0,607,215
7331,345,88,1,793,1,933,344
7332,195,84,1,718,2,889,427
7333,282,130,1,888,0,1101,461
7334,253,98,1,774,0,963,409
7335,317,111,1,894,1,1002,449
7336,304,125,1,883,1,1017,440
7337,259,86,1,755,0,944,399
7338,235,133,1,695,0,1005,318
7339,146,53,1,495,0,660,292
7341,222,90,1,765,0,974,443
7342,234,88,1,791,0,1034,463
7343,147,81,1,618,0,746,386
7344,271,111,1,916,1,1143,527
7345,214,122,1,891,0,1186,544
7346,187,87,1,762,0,991,479
7347,166,95,1,841,1,1085,561
7348,179,84,1,647,0,957,370
7349,217,95,1,771,0,1006,448
7501,195,79,1,522,0,574,241
7502,221,84,1,694,1,808,378
7503,211,82,1,688,1,808,385
7504,106,71,1,420,0,503,229
7505,257,95,1,762,0,915,394
7506,244,95,1,798,0,1018,438
7507,177,70,1,631,1,992,380
7508,186,71,1,606,1,735,340
7509,244,92,1,825,0,1006,479
7512,142,53,1,493,0,638,293
7513,143,95,1,601,1,836,358
7514,110,87,1,544,2,886,339
7515,202,80,1,710,1,898,421
7516,218,105,1,759,1,907,430
7517,199,80,1,826,1,956,538
7518,221,76,1,858,0,993,554
7519,146,85,1,676,1,802,434
7521,161,68,1,726,1,854,486
7522,180,75,1,742,0,848,480
7523,148,50,1,689,0,821,484
7524,135,68,1,532,0,728,323
7525,158,64,1,636,0,870,404
7526,219,81,1,858,0,999,541
7527,165,68,1,624,0,773,377
7529,209,74,1,860,0,992,571
7531,203,89,1,805,0,954,508
7532,203,97,1,741,0,886,433
7533,230,88,1,910,0,1025,579
7534,204,70,1,775,0,967,492
7535,185,65,1,711,1,807,454
7536,225,80,1,775,2,895,460
7537,180,63,1,664,0,783,414
7538,169,68,1,736,0,831,488
7539,174,74,1,821,1,978,569
7541,195,55,1,728,0,865,475
7542,167,55,1,756,0,906,529
7543,203,74,1,806,0,993,526
7544,214,74,1,821,0,962,528
7545,223,94,1,833,0,970,508
7546,202,85,1,817,2,935,518
7547,198,90,1,837,0,1057,534
