precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,47,47,1,446,1,586,348
1102,111,76,1,810,0,996,619
1103,93,77,1,781,0,971,603
1104,110,96,1,763,0,991,559
1106,65,74,1,600,0,808,453
1107,47,62,1,506,0,781,394
1108,82,79,1,744,0,951,575
1109,70,69,1,617,0,809,472
1111,80,96,1,717,0,1031,531
1112,53,85,1,557,0,765,410
1113,82,69,1,547,2,713,384
1114,103,101,1,741,0,971,537
1115,81,98,1,746,0,910,561
1116,84,91,1,636,0,913,455
1117,105,80,1,644,1,886,450
1118,99,93,1,776,1,1031,575
1119,73,81,1,587,0,783,428
1121,76,66,1,525,0,691,382
1122,65,60,1,482,1,658,355
1123,98,78,1,646,0,954,471
1124,81,79,1,556,0,831,390
1125,92,119,1,745,0,1029,529
1126,123,94,1,701,0,954,474
1127,83,93,1,685,2,911,506
1128,95,105,1,686,0,907,480
1129,101,107,1,703,0,951,491
1131,84,102,1,574,0,853,386
1132,92,98,1,721,0,982,527
1133,85,81,1,661,0,870,486
1134,95,69,1,593,0,793,428
1135,50,41,1,421,1,521,326
1136,82,82,1,669,1,857,497
1141,100,95,1,812,0,1047,614
1142,91,69,1,667,1,858,492
1143,109,80,1,801,0,1056,600
1144,102,93,1,713,1,928,517
1145,90,72,1,753,0,931,580
1146,105,90,1,791,0,1036,591
1147,93,80,1,734,0,927,556
1148,107,86,1,727,2,992,527
1149,85,92,1,747,0,950,567
1151,0,0,1,0,0,0,0
1152,103,81,1,671,1,898,483
1153,105,95,1,749,0,961,540
1154,0,0,1,0,0,0,0
7001,64,58,1,559,0,742,437
7002,94,113,1,997,1,1225,788
7003,69,70,1,834,0,927,691
7004,92,82,1,808,1,896,624
7005,67,69,1,755,0,853,612
7006,85,68,1,799,0,966,638
7007,83,98,1,870,0,987,678
7008,68,77,1,820,0,882,665
7009,86,77,1,750,0,931,582
7011,112,76,1,621,0,1063,429
7012,103,89,1,925,0,1034,721
7013,67,68,1,640,0,733,500
7014,108,95,1,928,1,1073,713
7015,4,4,1,81,0,113,71
7016,104,76,1,593,0,977,414
7017,90,66,1,469,0,786,315
7018,117,73,1,672,0,992,476
7019,100,89,1,696,0,945,504
7021,114,71,1,631,1,993,438
7022,85,78,1,667,0,1032,492
7023,104,90,1,671,1,938,462
7024,34,13,1,119,0,309,70
7025,68,35,1,266,1,505,161
7026,106,103,1,700,0,1022,478
7027,76,100,1,577,1,879,395
7028,98,77,1,544,2,900,369
7029,101,84,1,525,0,924,334
7030,97,79,1,558,0,787,379
7031,49,58,1,392,1,511,277
7032,106,76,1,589,2,938,395
7033,103,85,1,546,0,814,358
7034,125,73,1,515,0,954,314
7035,63,38,1,341,0,476,239
7036,112,65,1,596,0,967,414
7037,93,57,1,379,0,840,226
7038,96,95,1,595,0,960,403
7039,104,71,1,625,0,831,444
7041,2,10,1,42,0,62,31
7042,86,78,1,514,0,697,347
7043,106,57,1,640,0,990,471
7044,118,63,1,415,0,867,236
7045,107,72,1,531,0,803,349
7046,60,38,1,319,0,435,215
7047,105,83,1,602,0,858,407
7048,110,79,1,518,0,877,326
7049,86,88,1,534,0,829,356
7051,85,90,1,612,0,909,431
7052,90,77,1,675,0,894,503
7053,42,60,1,462,0,552,347
7054,107,74,1,683,0,1068,500
7101,10,16,1,126,2,150,97
7201,93,120,1,868,0,983,686
7202,80,74,1,752,0,885,588
7203,93,118,1,840,0,950,607
