precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,245,51,1,446,1,586,146
1102,456,72,1,810,2,996,276
1103,459,87,1,781,1,971,226
1104,414,86,1,763,1,991,264
1106,329,75,1,600,0,808,188
1107,264,67,1,506,2,781,170
1108,403,86,1,744,1,951,246
1109,309,64,1,617,1,809,237
1111,340,92,1,717,0,1031,275
1112,281,75,1,557,0,765,192
1113,282,48,1,547,1,713,206
1114,382,96,1,741,1,971,262
1115,370,94,1,746,0,910,276
1116,326,88,1,636,0,913,216
1117,350,74,1,644,0,886,212
1118,403,89,1,776,1,1031,275
1119,297,72,1,587,0,783,213
1121,276,77,1,525,0,691,171
1122,229,58,1,482,0,658,194
1123,317,80,1,646,0,954,250
1124,275,72,1,556,0,831,203
1125,350,104,1,745,0,1029,286
1126,350,86,1,701,3,954,252
1127,335,90,1,685,0,911,259
1128,323,96,1,686,0,907,261
1129,324,100,1,703,1,951,274
1131,258,89,1,574,0,853,225
1132,358,87,1,721,1,982,271
1133,361,74,1,661,2,870,215
1134,307,63,1,593,0,793,222
1135,222,35,1,421,0,521,161
1136,351,74,1,669,0,857,237
1141,458,89,1,812,3,1047,259
1142,372,72,1,667,2,858,207
1143,451,74,1,801,0,1056,264
1144,402,87,1,713,0,928,224
1145,428,72,1,753,0,931,242
1146,422,94,1,791,2,1036,268
1147,438,74,1,734,1,927,216
1148,380,92,1,727,1,992,249
1149,430,87,1,747,0,950,227
1151,0,0,1,0,0,0,0
1152,353,77,1,671,0,898,238
1153,388,87,1,749,0,961,265
1154,0,0,1,0,0,0,0
7001,356,55,1,559,0,742,148
7002,545,105,1,997,0,1225,346
7003,526,76,1,834,2,927,226
7004,520,84,1,808,0,896,195
7005,467,86,1,755,0,853,195
7006,536,76,1,799,0,966,179
7007,585,97,1,870,0,987,177
7008,531,80,1,820,0,882,199
7009,464,65,1,750,0,931,216
7011,367,71,1,621,0,1063,179
7012,562,93,1,925,1,1034,257
7013,368,63,1,640,0,733,204
7014,556,96,1,928,1,1073,264
7015,51,5,1,81,0,113,23
7016,314,68,1,593,1,977,211
7017,268,47,1,469,2,786,154
7018,331,70,1,672,0,992,265
7019,361,70,1,696,0,945,262
7021,327,63,1,631,0,993,234
7022,359,75,1,667,0,1032,221
7023,365,66,1,671,2,938,224
7024,77,7,1,119,0,309,33
7025,150,29,1,266,0,505,86
7026,296,81,1,700,0,1022,310
7027,281,79,1,577,0,879,212
7028,307,68,1,544,1,900,170
7029,277,73,1,525,0,924,169
7030,238,73,1,558,0,787,244
7031,171,52,1,392,0,511,162
7032,301,62,1,589,2,938,214
7033,299,74,1,546,1,814,172
7034,299,49,1,515,0,954,164
7035,193,32,1,341,1,476,114
7036,299,61,1,596,0,967,231
7037,184,55,1,379,2,840,135
7038,271,77,1,595,0,960,246
7039,314,61,1,625,0,831,244
7041,17,9,1,42,0,62,17
7042,285,69,1,514,0,697,157
7043,346,61,1,640,1,990,226
7044,217,53,1,415,0,867,147
7045,250,65,1,531,0,803,213
7046,167,32,1,319,0,435,114
7047,284,70,1,602,0,858,241
7048,235,64,1,518,1,877,215
7049,210,92,1,534,0,829,228
7051,256,80,1,612,0,909,270
7052,331,73,1,675,0,894,266
7053,178,61,1,462,1,552,209
7054,382,64,1,683,2,1068,233
7101,73,17,1,126,0,150,35
7201,482,120,1,868,1,983,296
7202,380,100,1,752,0,885,262
7203,443,116,1,840,0,950,259
7204,436,124,1,833,0,933,260
7205,423,103,1,815,0,903,283
7206,200,41,1,340,0,390,96
7207,292,102,1,595,3,712,191
7208,277,100,1,539,1,635,153
7209,286,45,1,491,0,563,151
7301,373,116,1,813,0,1080,322
7302,375,92,1,732,0,862,260
7303,464,142,1,851,3,1032,241
7304,458,113,1,828,0,993,252
7305,429,96,1,772,1,906,226
7306,455,144,1,882,3,1076,251
7307,364,95,1,674,1,826,204
7308,325,81,1,548,0,641,136
7309,390,120,1,764,0,897,242
