precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,180,30,1,446,0,586,233
1102,325,51,1,810,0,996,430
1103,314,59,1,781,1,971,399
1104,312,61,1,763,0,991,392
1106,246,48,1,600,1,808,297
1107,201,42,1,506,2,781,258
1108,317,62,1,744,1,951,356
1109,283,41,1,617,0,809,287
1111,318,58,1,717,0,1031,331
1112,243,40,1,557,0,765,265
1113,242,35,1,547,1,713,259
1114,307,72,1,741,0,971,362
1115,331,62,1,746,0,910,347
1116,280,57,1,636,1,913,292
1117,297,52,1,644,0,886,287
1118,343,60,1,776,0,1031,365
1119,275,57,1,587,0,783,250
1121,250,35,1,525,0,691,239
1122,228,33,1,482,0,658,220
1123,306,52,1,646,1,954,288
1124,252,55,1,556,1,831,242
1125,329,75,1,745,0,1029,336
1126,309,65,1,701,0,954,317
1127,318,63,1,685,0,911,303
1128,306,68,1,686,0,907,306
1129,319,66,1,703,0,951,314
1131,266,65,1,574,0,853,241
1132,345,69,1,721,0,982,303
1133,322,49,1,661,0,870,281
1134,266,34,1,593,0,793,292
1135,198,24,1,421,0,521,196
1136,336,44,1,669,0,857,282
1141,341,65,1,812,0,1047,403
1142,272,46,1,667,1,858,334
1143,334,60,1,801,0,1056,395
1144,314,54,1,713,1,928,344
1145,319,37,1,753,0,931,386
1146,354,57,1,791,2,1036,373
1147,313,49,1,734,0,927,367
1148,338,58,1,727,0,992,326
1149,346,58,1,747,0,950,340
1151,0,0,1,0,0,0,0
1152,286,56,1,671,0,898,326
1153,356,63,1,749,0,961,321
1154,0,0,1,0,0,0,0
7001,169,36,1,559,0,742,354
7002,319,66,1,997,0,1225,611
7003,230,35,1,834,0,927,565
7004,177,34,1,808,0,896,588
7005,195,38,1,755,0,853,515
7006,220,53,1,799,0,966,518
7007,216,53,1,870,0,987,590
7008,187,42,1,820,0,882,581
7009,223,45,1,750,0,931,477
7011,232,51,1,621,0,1063,334
7012,271,50,1,925,1,1034,591
7013,170,32,1,640,1,733,432
7014,214,58,1,928,0,1073,645
7015,24,6,1,81,0,113,49
7016,275,53,1,593,0,977,266
7017,245,33,1,469,2,786,191
7018,365,46,1,672,0,992,255
7019,328,53,1,696,1,945,311
7021,302,47,1,631,0,993,275
7022,307,36,1,667,0,1032,312
7023,322,43,1,671,3,938,289
7024,55,11,1,119,0,309,51
7025,131,21,1,266,0,505,113
7026,369,49,1,700,0,1022,269
7027,268,62,1,577,0,879,242
7028,255,49,1,544,0,900,242
7029,230,54,1,525,0,924,235
7030,288,42,1,558,0,787,225
7031,178,21,1,392,0,511,186
7032,296,45,1,589,3,938,235
7033,285,55,1,546,1,814,205
7034,269,40,1,515,0,954,203
7035,164,25,1,341,2,476,149
7036,296,45,1,596,1,967,249
7037,220,50,1,379,0,840,106
