precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,137,45,1,446,0,586,261
1102,294,67,1,810,0,996,445
1103,266,86,1,781,1,971,420
1104,253,88,1,763,0,991,424
1106,208,71,1,600,1,808,312
1107,162,53,1,506,1,781,287
1108,232,77,1,744,0,951,427
1109,207,64,1,617,0,809,340
1111,238,96,1,717,1,1031,372
1112,189,67,1,557,1,765,291
1113,175,44,1,547,0,713,318
1114,278,87,1,741,2,971,374
1115,244,89,1,746,1,910,406
1116,201,91,1,636,1,913,337
1117,243,72,1,644,1,886,320
1118,251,81,1,776,1,1031,435
1119,190,69,1,587,0,783,323
1121,217,56,1,525,1,691,250
1122,184,50,1,482,0,658,247
1123,214,77,1,646,0,954,356
1124,207,71,1,556,0,831,272
1125,267,109,1,745,0,1029,364
1126,260,84,1,701,0,954,347
1127,250,82,1,685,0,911,352
1128,283,82,1,686,0,907,315
1129,283,92,1,703,0,951,324
1131,214,80,1,574,0,853,278
1132,273,90,1,721,0,982,354
1133,239,61,1,661,2,870,350
1134,225,57,1,593,0,793,310
1135,149,33,1,421,0,521,236
1136,251,69,1,669,1,857,341
1141,269,74,1,812,0,1047,466
1142,238,70,1,667,1,858,344
1143,263,70,1,801,0,1056,456
1144,261,75,1,713,0,928,377
1145,229,71,1,753,0,931,442
1146,270,79,1,791,2,1036,435
1147,244,68,1,734,1,927,416
1148,272,80,1,727,0,992,370
1149,258,79,1,747,0,950,407
1151,0,0,1,0,0,0,0
1152,255,70,1,671,0,898,343
1153,293,79,1,749,0,961,368
1154,0,0,1,0,0,0,0
7001,188,58,1,559,0,742,313
7002,311,96,1,997,2,1225,587
7003,263,70,1,834,1,927,496
7004,233,84,1,808,1,896,481
7005,220,62,1,755,0,853,466
7006,197,74,1,799,1,966,519
7007,264,86,1,870,0,987,509
7008,273,73,1,820,0,882,464
7009,239,71,1,750,0,931,435
7011,196,70,1,621,0,1063,351
7012,305,88,1,925,3,1034,517
7013,219,67,1,640,0,733,349
7014,278,78,1,928,0,1073,561
7015,10,5,1,81,0,113,64
7016,221,68,1,593,1,977,304
7017,164,50,1,469,0,786,257
7018,249,67,1,672,0,992,350
7019,251,63,1,696,0,945,379
7021,236,65,1,631,0,993,323
7022,206,69,1,667,0,1032,380
7023,219,75,1,671,2,938,361
7024,65,8,1,119,0,309,44
7025,98,35,1,266,0,505,132
7026,266,71,1,700,1,1022,349
7027,219,81,1,577,0,879,272
7028,170,66,1,544,0,900,310
7029,194,75,1,525,0,924,250
7030,237,68,1,558,1,787,249
7031,91,51,1,392,0,511,243
7032,223,63,1,589,2,938,291
7033,201,68,1,546,1,814,276
7034,195,60,1,515,1,954,256
7035,137,36,1,341,0,476,167
7036,250,55,1,596,2,967,284
7037,147,54,1,379,0,840,175
7038,225,76,1,595,0,960,293
7039,237,57,1,625,0,831,325
7041,12,8,1,42,0,62,23
7042,191,64,1,514,0,697,256
7043,223,59,1,640,1,990,351
7044,189,65,1,415,0,867,163
7045,201,47,1,531,0,803,280
7046,127,24,1,319,0,435,162
7047,238,61,1,602,0,858,296
7048,174,64,1,518,1,877,276
7049,230,81,1,534,0,829,219
7051,227,73,1,612,0,909,306
7052,261,52,1,675,1,894,356
7053,159,57,1,462,0,552,233
7054,221,67,1,683,3,1068,390
7101,36,12,1,126,0,150,77
7201,367,112,1,868,1,983,419
7202,339,83,1,752,1,885,319
7203,313,125,1,840,1,950,379
7204,340,99,1,833,0,933,381
7205,359,82,1,815,1,903,367
7206,131,38,1,340,0,390,168
7207,208,92,1,595,1,712,287
7208,174,95,1,539,0,635,262
7209,211,41,1,491,2,563,228
7301,271,119,1,813,2,1080,419
7302,232,90,1,732,0,862,405
7303,289,131,1,851,0,1032,430
7304,295,104,1,828,1,993,423
7305,330,84,1,772,1,906,337
7306,303,122,1,882,1,1076,427
7307,212,96,1,674,0,826,356
7308,190,60,1,548,1,641,291
7309,274,96,1,764,0,897,382
7311,283,133,1,853,0,986,419
7312,346,92,1,768,1,874,322
7313,261,111,1,798,0,1001,408
7314,163,90,1,511,1,833,246
7315,174,105,1,597,0,783,306
7316,197,83,1,661,1,893,375
7317,252,83,1,743,1,938,392
7318,229,123,1,689,0,788,324
7319,334,130,1,908,0,1123,428
7321,175,83,1,493,1,683,227
7322,165,110,1,526,1,937,244
7323,246,102,1,727,1,888,366
7324,192,83,1,601,0,756,312
7325,260,126,1,792,0,973,393
7326,242,91,1,749,0,922,406
7327,130,78,1,434,0,762,224
7328,167,132,1,617,0,1024,318
7329,183,47,1,454,0,607,222
7331,306,94,1,793,0,933,378
7332,182,94,1,718,0,889,432
7333,282,134,1,888,3,1101,454
7334,236,106,1,774,1,963,417
7335,331,115,1,894,3,1002,429
7336,315,132,1,883,3,1017,420
7337,286,92,1,755,0,944,366
7338,241,132,1,695,0,1005,313
7339,154,64,1,495,0,660,273
7341,202,115,1,765,0,974,438
7342,240,93,1,791,0,1034,452
7343,162,87,1,618,0,746,365
7344,266,130,1,916,2,1143,512
7345,226,139,1,891,0,1186,515
7346,172,93,1,762,1,991,487
7347,192,108,1,841,1,1085,522
7348,194,90,1,647,0,957,349
7349,223,101,1,771,0,1006,436
7501,210,74,1,522,1,574,230
7502,249,93,1,694,0,808,342
7503,226,86,1,688,0,808,367
7504,99,72,1,420,0,503,235
7505,285,92,1,762,1,915,368
7506,215,107,1,798,0,1018,455
7507,184,63,1,631,1,992,380
7508,166,72,1,606,0,735,360
7509,213,107,1,825,0,1006,495
7512,134,56,1,493,0,638,298
7513,147,100,1,601,0,836,350
7514,150,86,1,544,1,886,301
7515,202,89,1,710,0,898,413
7516,216,92,1,759,1,907,445
7517,215,73,1,826,1,956,529
7518,190,87,1,858,3,993,571
7519,162,89,1,676,0,802,415
7521,178,72,1,726,0,854,466
7522,175,71,1,742,0,848,489
7523,150,63,1,689,1,821,468
7524,152,71,1,532,0,728,303
7525,166,73,1,636,0,870,387
7526,219,81,1,858,1,999,540
7527,174,71,1,624,0,773,365
7529,206,92,1,860,1,992,555
7531,194,92,1,805,2,954,512
7532,221,90,1,741,0,886,422
7533,200,100,1,910,0,1025,597
7534,186,80,1,775,1,967,499
7535,172,68,1,711,1,807,464
7536,207,78,1,775,0,895,482
7537,145,70,1,664,1,783,441
7538,183,70,1,736,1,831,471
7539,161,71,1,821,1,978,585
7541,179,64,1,728,1,865,481
7542,159,61,1,756,1,906,530
7543,190,86,1,806,1,993,526
7544,221,82,1,821,1,962,512
7545,211,100,1,833,0,970,514
7546,200,93,1,817,1,935,513
7547,167,104,1,837,1,1057,550
7548,242,104,1,894,0,1135,541
7549,171,85,1,734,0,854,470
7551,168,69,1,669,0,762,426
7552,191,64,1,678,0,756,412
7553,38,26,1,168,0,187,100
7554,236,66,1,769,0,859,453
7555,258,86,1,846,1,893,489
7556,290,72,1,906,0,1008,534
7601,158,76,1,588,0,929,346
7602,173,86,1,689,0,962,426
7603,157,75,1,690,0,888,450
7604,186,81,1,677,1,989,402
7605,121,69,1,428,0,771,238
7606,156,90,1,640,2,992,388
7607,181,88,1,710,0,1055,428
7608,62,48,1,244,0,456,130
7609,143,104,1,551,0,1051,299
7611,125,87,1,479,0,898,259
7612,103,59,1,418,0,668,249
7613,167,86,1,617,0,1015,355
7614,215,104,1,793,1,1177,469
7615,159,69,1,528,2,1020,291
7616,251,91,1,807,0,981,458
7617,172,77,1,516,0,898,258
7618,163,69,1,689,0,948,456
7619,446,188,1,1485,2,1971,840
7621,261,94,1,800,0,1082,439
7622,154,88,1,534,0,1007,284
7623,136,56,1,467,2,839,267
7624,180,75,1,565,0,1074,303
7625,218,110,1,617,0,896,283
7626,406,101,1,1011,0,1177,495
7627,583,149,1,1326,0,1586,572
7628,206,63,1,720,0,1006,446
7629,170,55,1,577,0,837,346
7631,299,113,1,915,1,1143,499
7632,156,48,1,532,0,727,326
7633,163,73,1,574,0,731,334
7634,229,94,1,706,0,1017,375
7635,227,80,1,643,0,868,328
7636,281,96,1,784,0,993,401
7637,441,137,1,1151,0,1361,566
7638,530,116,1,1135,1,1285,471
7639,366,101,1,891,0,1011,409
7641,341,58,1,795,0,977,380
7642,274,193,1,810,0,967,327
7643,272,101,1,758,0,959,375
7644,311,137,1,925,0,1111,467
7645,252,63,1,587,1,669,259
7646,698,212,1,1893,1,2163,947
7647,190,79,1,598,1,1028,322
7648,0,1,1,3,0,4,2
7701,260,105,1,914,0,1049,539
7702,262,71,1,663,0,775,322
7703,35,17,1,100,0,178,41
7704,316,94,1,881,0,1006,460
7705,216,40,1,495,0,554,236
7706,297,70,1,773,0,853,406
7707,290,68,1,784,0,854,417
7708,267,78,1,783,1,894,425
7709,96,36,1,354,1,390,216
7711,213,69,1,685,0,789,397
7712,145,49,1,518,0,577,316
7801,281,80,1,964,1,975,596
7802,230,75,1,723,0,760,411
7803,274,68,1,774,1,827,422
7804,289,79,1,876,0,932,500
7805,203,62,1,761,0,852,492
7806,184,58,1,663,1,746,413
7807,167,43,1,671,1,774,457
7808,133,61,1,578,0,702,380
7809,300,99,1,1091,0,1234,684
7811,142,62,1,696,1,806,479
7812,200,78,1,752,0,892,474
7813,212,103,1,943,0,1061,617
7814,189,80,1,667,1,919,393
7815,248,80,1,879,1,967,543
7816,223,62,1,823,0,896,529
7817,148,59,1,711,0,804,498
7818,214,61,1,787,0,889,504
7819,169,59,1,682,5,809,442
7821,278,50,1,916,0,998,581
7822,213,71,1,776,0,951,491
7823,218,58,1,806,0,928,526
7824,199,58,1,665,0,794,402
7825,118,43,1,521,0,578,357
7826,148,52,1,633,1,709,426
7827,185,68,1,758,1,931,495
7828,286,88,1,924,3,1053,537
7829,257,51,1,841,0,904,527
7831,225,53,1,803,0,906,521
7832,226,51,1,759,1,824,472
7833,205,55,1,710,1,785,441
7834,179,71,1,775,1,901,516
7835,208,65,1,785,0,863,503
7836,271,63,1,903,0,990,562
7837,240,85,1,840,1,934,506
7838,253,60,1,839,1,933,521
7839,286,43,1,785,0,869,438
7841,242,68,1,839,0,947,519
7842,239,61,1,864,0,960,555
7843,139,61,1,679,2,802,469
7844,147,60,1,594,1,682,382
7845,224,69,1,783,0,869,487
7846,272,85,1,814,0,925,445
7847,229,83,1,843,1,960,524
7848,270,77,1,818,2,905,465
7849,281,57,1,864,0,967,525
7851,199,35,1,472,0,528,234
7852,206,41,1,584,0,644,330
7853,268,73,1,770,0,896,421
7854,268,77,1,825,0,933,470
7855,252,78,1,870,1,968,531
7856,203,81,1,769,0,849,477
7857,256,57,1,854,0,963,534
7858,161,58,1,674,1,791,447
7859,257,70,1,834,1,915,498
7861,229,69,1,776,0,881,453
7862,253,69,1,815,1,923,484
7863,216,81,1,819,1,939,516
7864,188,66,1,703,1,815,448
