precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,135,51,1,446,1,586,256
1102,288,77,1,810,1,996,440
1103,218,93,1,781,0,971,462
1104,212,103,1,763,0,991,450
1106,169,86,1,600,0,808,337
1107,119,75,1,506,0,781,309
1108,206,100,1,744,0,951,430
1109,189,81,1,617,0,809,341
1111,173,115,1,717,0,1031,419
1112,138,88,1,557,1,765,321
1113,161,70,1,547,0,713,306
1114,211,110,1,741,0,971,420
1115,192,109,1,746,1,910,438
1116,152,104,1,636,1,913,373
1117,183,82,1,644,1,886,370
1118,221,110,1,776,0,1031,437
1119,160,91,1,587,0,783,331
1121,160,82,1,525,1,691,281
1122,168,75,1,482,0,658,238
1123,152,96,1,646,0,954,399
1124,165,87,1,556,0,831,298
1125,196,125,1,745,0,1029,419
1126,186,95,1,701,0,954,410
1127,227,93,1,685,0,911,364
1128,197,106,1,686,0,907,377
1129,196,113,1,703,0,951,390
1131,176,107,1,574,0,853,289
1132,203,105,1,721,0,982,409
1133,208,91,1,661,0,870,353
1134,189,72,1,593,0,793,331
1135,149,44,1,421,0,521,225
1136,211,106,1,669,1,857,344
1141,230,107,1,812,0,1047,472
1142,182,91,1,667,0,858,380
1143,194,93,1,801,1,1056,501
1144,210,95,1,713,0,928,408
1145,218,82,1,753,0,931,442
1146,219,92,1,791,1,1036,474
1147,189,88,1,734,0,927,452
1148,203,106,1,727,0,992,413
1149,218,90,1,747,1,950,435
1151,0,0,1,0,0,0,0
1152,213,81,1,671,0,898,374
1153,220,104,1,749,0,961,416
1154,0,0,1,0,0,0,0
7001,196,65,1,559,0,742,298
7002,331,131,1,997,0,1225,534
7003,291,82,1,834,1,927,456
7004,304,91,1,808,1,896,403
7005,234,85,1,755,0,853,429
7006,226,76,1,799,0,966,489
7007,304,99,1,870,0,987,456
7008,305,80,1,820,0,882,425
7009,238,73,1,750,0,931,434
7011,179,83,1,621,0,1063,355
7012,319,102,1,925,0,1034,492
7013,258,65,1,640,2,733,310
7014,344,99,1,928,1,1073,473
7015,13,5,1,81,0,113,61
7016,163,86,1,593,0,977,345
7017,130,61,1,469,0,786,280
7018,187,94,1,672,1,992,384
7019,203,83,1,696,1,945,406
7021,169,66,1,631,1,993,388
7022,176,88,1,667,0,1032,391
7023,164,86,1,671,0,938,407
7024,29,11,1,119,0,309,77
7025,70,33,1,266,0,505,162
7026,208,115,1,700,1,1022,363
7027,168,101,1,577,0,879,303
7028,149,70,1,544,0,900,327
7029,133,89,1,525,0,924,297
7030,186,98,1,558,1,787,270
7031,98,67,1,392,0,511,220
7032,146,83,1,589,2,938,348
7033,133,77,1,546,0,814,336
7034,128,64,1,515,0,954,320
7035,117,41,1,341,0,476,182
7036,145,66,1,596,0,967,380
7037,115,63,1,379,0,840,198
7038,169,99,1,595,1,960,325
7039,192,79,1,625,0,831,348
7041,8,12,1,42,0,62,23
7042,132,77,1,514,0,697,302
7043,168,77,1,640,0,990,389
7044,118,68,1,415,1,867,230
7045,152,85,1,531,0,803,291
7046,119,35,1,319,0,435,159
7047,175,88,1,602,0,858,332
7048,164,77,1,518,0,877,274
7049,157,108,1,534,1,829,264
7051,175,104,1,612,0,909,327
7052,208,75,1,675,0,894,387
7053,153,75,1,462,0,552,221
7054,165,76,1,683,1,1068,439
7101,36,16,1,126,0,150,73
7201,363,139,1,868,0,983,397
7202,329,90,1,752,0,885,323
7203,346,134,1,840,0,950,338
7204,357,117,1,833,0,933,346
7205,366,109,1,815,0,903,334
7206,126,46,1,340,0,390,165
7207,202,115,1,595,0,712,271
7208,206,114,1,539,0,635,211
7209,258,52,1,491,0,563,172
7301,267,143,1,813,0,1080,401
7302,269,114,1,732,0,862,344
7303,278,155,1,851,0,1032,417
7304,315,131,1,828,0,993,377
7305,310,109,1,772,0,906,333
7306,300,155,1,882,0,1076,398
7307,227,124,1,674,0,826,313
7308,198,79,1,548,0,641,265
7309,289,124,1,764,0,897,339
7311,285,161,1,853,1,986,388
7312,375,118,1,768,0,874,268
7313,272,128,1,798,0,1001,380
7314,126,119,1,511,1,833,254
7315,162,116,1,597,1,783,306
7316,207,112,1,661,0,893,337
7317,274,108,1,743,1,938,345
7318,209,152,1,689,1,788,314
7319,329,156,1,908,0,1123,407
7321,167,96,1,493,0,683,223
7322,138,143,1,526,0,937,239
7323,250,112,1,727,1,888,352
7324,194,122,1,601,0,756,271
7325,266,150,1,792,0,973,363
7326,251,125,1,749,0,922,363
7327,123,102,1,434,0,762,207
7328,140,200,1,617,0,1024,277
7329,194,65,1,454,1,607,192
7331,329,124,1,793,0,933,325
7332,185,120,1,718,0,889,403
7333,276,182,1,888,1,1101,414
7334,220,137,1,774,0,963,403
7335,324,134,1,894,2,1002,418
7336,341,152,1,883,2,1017,375
7337,294,118,1,755,0,944,332
7338,211,173,1,695,0,1005,302
7339,157,73,1,495,0,660,261
7341,216,134,1,765,0,974,405
7342,226,114,1,791,0,1034,445
7343,165,96,1,618,0,746,353
7344,284,146,1,916,0,1143,480
7345,221,158,1,891,0,1186,501
7346,182,110,1,762,1,991,460
7347,190,127,1,841,0,1085,506
7348,167,103,1,647,1,957,362
7349,223,138,1,771,0,1006,399
7501,225,94,1,522,1,574,195
7502,267,113,1,694,0,808,304
7503,222,98,1,688,0,808,359
7504,118,76,1,420,0,503,212
7505,339,118,1,762,2,915,287
7506,244,121,1,798,0,1018,412
7507,179,84,1,631,0,992,365
7508,202,90,1,606,1,735,305
7509,260,127,1,825,0,1006,428
7512,150,63,1,493,0,638,275
7513,148,113,1,601,1,836,335
7514,115,95,1,544,0,886,328
7515,233,98,1,710,0,898,373
7516,234,128,1,759,0,907,392
7517,222,97,1,826,1,956,498
7518,249,102,1,858,0,993,500
7519,164,106,1,676,0,802,396
7521,196,84,1,726,0,854,436
7522,204,81,1,742,0,848,450
7523,186,71,1,689,1,821,424
7524,173,76,1,532,0,728,277
7525,167,85,1,636,0,870,374
7526,290,92,1,858,0,999,459
7527,178,79,1,624,0,773,353
7529,252,100,1,860,1,992,501
7531,235,111,1,805,1,954,453
7532,265,102,1,741,0,886,366
7533,242,102,1,910,0,1025,553
7534,243,89,1,775,0,967,434
7535,211,84,1,711,0,807,410
7536,240,99,1,775,0,895,428
7537,186,75,1,664,0,783,396
7538,213,77,1,736,0,831,435
7539,230,75,1,821,0,978,513
7541,243,83,1,728,0,865,399
7542,200,70,1,756,0,906,481
7543,254,89,1,806,0,993,460
7544,252,90,1,821,1,962,473
7545,285,110,1,833,1,970,429
7546,235,96,1,817,0,935,476
7547,238,109,1,837,0,1057,475
7548,295,110,1,894,0,1135,482
7549,221,107,1,734,0,854,398
7551,222,82,1,669,0,762,359
7552,249,75,1,678,0,756,343
7553,49,30,1,168,0,187,85
7554,295,81,1,769,0,859,379
7555,309,100,1,846,0,893,425
7556,385,84,1,906,0,1008,427
7601,128,88,1,588,0,929,364
7602,136,97,1,689,0,962,452
7603,143,87,1,690,0,888,452
7604,154,80,1,677,0,989,436
7605,99,74,1,428,0,771,255
7606,119,91,1,640,0,992,426
7607,159,108,1,710,1,1055,429
7608,40,56,1,244,0,456,144
7609,82,113,1,551,0,1051,351
7611,97,100,1,479,1,898,273
7612,113,82,1,418,0,668,216
7613,135,83,1,617,0,1015,390
7614,178,122,1,793,1,1177,488
7615,86,82,1,528,2,1020,351
7616,339,98,1,807,0,981,363
7617,120,100,1,516,0,898,287
7618,214,81,1,689,0,948,393
7619,494,223,1,1485,1,1971,758
7621,277,109,1,800,0,1082,408
7622,127,93,1,534,0,1007,306
7623,110,63,1,467,0,839,288
7624,134,79,1,565,1,1074,344
7625,182,132,1,617,0,896,297
7626,433,132,1,1011,0,1177,437
7627,576,199,1,1326,0,1586,529
7628,236,86,1,720,1,1006,392
7629,187,62,1,577,0,837,322
7631,324,128,1,915,0,1143,460
7632,202,48,1,532,0,727,280
7633,202,93,1,574,1,731,274
7634,224,106,1,706,0,1017,368
7635,243,74,1,643,0,868,318
7636,321,104,1,784,1,993,352
7637,443,180,1,1151,0,1361,521
7638,552,154,1,1135,0,1285,412
7639,392,120,1,891,0,1011,364
7641,354,83,1,795,0,977,342
7642,255,205,1,810,0,967,334
7643,294,127,1,758,0,959,327
7644,356,152,1,925,1,1111,406
7645,253,83,1,587,1,669,238
7646,807,254,1,1893,0,2163,797
7647,132,89,1,598,0,1028,371
7648,0,1,1,3,0,4,2
7701,335,130,1,914,0,1049,439
7702,281,98,1,663,0,775,276
7703,14,19,1,100,0,178,60
7704,366,115,1,881,1,1006,388
7705,238,52,1,495,1,554,201
7706,337,83,1,773,1,853,352
7707,329,87,1,784,0,854,359
7708,292,106,1,783,0,894,373
7709,92,40,1,354,0,390,217
7711,242,87,1,685,0,789,350
7712,166,61,1,518,0,577,283
7801,429,79,1,964,1,975,449
7802,262,84,1,723,0,760,370
7803,340,80,1,774,0,827,345
7804,354,96,1,876,0,932,418
7805,283,83,1,761,0,852,391
7806,238,69,1,663,0,746,349
7807,233,53,1,671,0,774,382
7808,195,71,1,578,0,702,308
7809,401,113,1,1091,1,1234,568
7811,189,66,1,696,0,806,429
7812,263,83,1,752,0,892,406
7813,287,108,1,943,0,1061,537
7814,171,76,1,667,1,919,415
7815,340,110,1,879,1,967,421
7816,360,76,1,823,0,896,378
7817,230,68,1,711,0,804,407
7818,294,62,1,787,0,889,423
7819,224,61,1,682,3,809,387
7821,406,80,1,916,0,998,423
7822,297,81,1,776,0,951,397
7823,307,69,1,806,0,928,426
7824,263,61,1,665,1,794,334
7825,170,55,1,521,0,578,293
7826,223,62,1,633,0,709,342
7827,203,83,1,758,1,931,462
7828,350,97,1,924,1,1053,466
7829,349,70,1,841,1,904,415
7831,362,61,1,803,2,906,374
7832,302,60,1,759,0,824,388
7833,263,68,1,710,0,785,371
7834,261,83,1,775,0,901,423
7835,263,77,1,785,0,863,436
7836,331,75,1,903,0,990,490
7837,331,103,1,840,0,934,398
7838,368,78,1,839,1,933,388
7839,321,69,1,785,1,869,376
7841,326,75,1,839,0,947,428
7842,295,74,1,864,0,960,486
7843,225,69,1,679,0,802,377
7844,159,63,1,594,1,682,367
7845,289,78,1,783,0,869,413
7846,352,86,1,814,0,925,364
7847,319,101,1,843,1,960,416
7848,333,96,1,818,0,905,385
7849,341,64,1,864,0,967,458
7851,228,55,1,472,0,528,185
7852,249,60,1,584,0,644,268
7853,279,76,1,770,0,896,407
7854,342,88,1,825,0,933,385
7855,368,98,1,870,0,968,396
7856,271,88,1,769,0,849,402
7857,301,62,1,854,0,963,484
7858,195,69,1,674,1,791,402
7859,342,94,1,834,0,915,390
7861,285,76,1,776,0,881,390
7862,317,88,1,815,1,923,401
7863,255,91,1,819,0,939,468
7864,271,68,1,703,0,815,364
7865,249,77,1,754,1,853,416
7866,297,96,1,746,0,831,349
7867,332,84,1,822,1,946,400
7868,313,71,1,764,0,901,367
7869,304,71,1,789,0,874,408
7871,313,86,1,804,0,909,401
7872,343,86,1,819,1,902,388
7873,300,81,1,788,0,874,400
7874,131,40,1,408,0,482,235
7875,171,53,1,525,0,628,299
7901,290,118,1,952,1,1286,542
7902,242,82,1,842,1,1064,502
7903,154,86,1,652,0,929,406
7904,225,63,1,694,0,926,399
7905,216,51,1,718,1,851,444
7906,174,72,1,653,1,854,402
7907,251,99,1,834,0,991,474
7908,222,111,1,872,1,1008,531
7909,187,60,1,644,0,787,394
7911,188,71,1,734,0,907,465
7912,260,118,1,874,1,1090,488
7913,217,73,1,800,0,964,504
7914,204,74,1,752,0,895,466
7915,186,66,1,716,0,892,462
7916,205,64,1,768,0,953,493
7917,234,74,1,868,1,1073,548
7918,199,71,1,697,1,860,423
7919,199,79,1,767,2,928,486
7921,201,58,1,694,0,970,430
7922,204,63,1,705,0,884,428
7923,193,52,1,689,1,930,442
7924,181,70,1,696,1,883,440
7925,115,39,1,483,0,591,326
7926,189,64,1,695,0,820,430
7927,216,68,1,688,0,782,401
7928,264,64,1,849,1,976,510
7929,267,55,1,780,0,871,455
7931,221,54,1,687,1,765,404
7932,164,48,1,482,0,557,280
7933,1,0,1,7,0,8,6
7934,200,66,1,772,0,888,501
7935,276,69,1,851,0,949,499
7936,216,60,1,764,0,876,482
7937,220,69,1,780,1,909,482
7938,165,60,1,636,0,808,408
7939,163,57,1,593,0,674,365
7941,186,80,1,655,0,790,386
7942,236,81,1,769,0,950,437
7943,240,87,1,780,0,938,450
7944,208,55,1,692,0,830,425
7945,167,85,1,663,0,926,405
7946,233,91,1,716,0,976,384
7947,259,112,1,717,0,964,340
7948,210,111,1,721,1,933,389
7949,132,61,1,433,0,594,237
7951,231,104,1,645,0,841,303
7952,213,83,1,651,0,865,344
7953,214,88,1,677,0,853,374
7954,0,0,1,0,0,0,0
7955,221,104,1,684,0,899,351
7956,156,92,1,579,0,779,321
7957,159,65,1,524,0,664,296
7958,50,24,1,199,0,291,122
9001,54,29,1,197,0,269,113
9101,241,103,1,740,0,899,388
9102,275,118,1,817,0,989,412
9103,281,119,1,786,1,971,379
9104,258,106,1,795,0,1004,417
9105,285,131,1,817,1,975,393
9106,300,126,1,819,0,938,379
9107,193,107,1,679,0,859,369
9108,228,100,1,691,0,815,358
9109,265,112,1,749,0,875,368
9111,197,104,1,637,0,785,328
9112,286,93,1,804,1,975,417
9113,333,117,1,853,0,1008,390
9114,200,142,1,749,0,913,403
9115,219,115,1,761,1,948,415
9116,251,120,1,811,0,986,422
9117,262,86,1,670,0,785,317
9118,231,130,1,780,0,987,407
9119,251,122,1,744,0,911,369
9121,269,114,1,758,1,950,363
9122,216,131,1,769,0,976,414
9123,250,117,1,740,2,902,371
9124,239,111,1,730,2,940,370
9125,219,120,1,740,0,911,390
9126,277,134,1,820,0,978,406
9127,271,147,1,819,1,985,397
9128,285,100,1,727,0,859,338
9129,195,91,1,621,0,772,327
9131,250,91,1,661,1,806,312
9132,182,122,1,701,0,898,391
9133,301,143,1,888,0,1083,439
9134,244,136,1,767,0,937,374
9135,219,96,1,652,0,831,329
9136,250,101,1,788,0,952,429
9137,222,118,1,785,0,977,431
9138,252,120,1,771,0,930,389
9139,302,131,1,831,0,1004,390
9141,275,101,1,794,2,963,411
9142,243,108,1,843,2,1003,480
9143,231,120,1,747,0,921,381
9144,269,105,1,832,1,983,446
9145,288,91,1,753,0,889,366
9146,236,127,1,799,0,929,431
9147,265,114,1,818,0,983,430
9148,287,114,1,869,0,1007,454
9149,249,135,1,842,1,976,443
9151,247,103,1,704,0,858,341
9152,164,118,1,636,1,842,342
9201,274,101,1,893,0,1047,514
9202,324,142,1,806,0,962,337
9203,414,165,1,857,0,1006,264
9204,371,104,1,733,0,849,249
9205,295,119,1,652,0,760,229
9206,422,132,1,822,1,960,259
9207,407,140,1,845,1,980,284
9208,385,166,1,897,0,1028,335
9209,307,103,1,646,0,750,223
9211,340,166,1,778,0,910,262
9212,342,132,1,746,0,857,256
9213,355,150,1,853,0,987,340
9214,249,96,1,539,0,632,190
9215,304,76,1,566,0,645,177
9216,356,125,1,726,1,861,225
9217,279,108,1,662,0,761,262
9218,329,126,1,730,1,868,260
9219,275,145,1,719,0,829,293
