precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,83,51,1,446,0,586,309
1102,159,72,1,810,0,996,575
1103,148,75,1,781,0,971,550
1104,135,80,1,763,0,991,550
1106,127,67,1,600,0,808,398
1107,107,51,1,506,0,781,345
1108,137,77,1,744,0,951,522
1109,143,50,1,617,0,809,418
1111,144,77,1,717,0,1031,486
1112,126,52,1,557,0,765,370
1113,111,40,1,547,0,713,386
1114,132,78,1,741,0,971,531
1115,149,80,1,746,0,910,511
1116,110,80,1,636,1,913,439
1117,135,61,1,644,0,886,440
1118,162,71,1,776,0,1031,535
1119,92,67,1,587,0,783,423
1121,124,47,1,525,1,691,352
1122,111,47,1,482,0,658,323
1123,112,66,1,646,0,954,469
1124,106,62,1,556,0,831,382
1125,147,89,1,745,0,1029,504
1126,145,77,1,701,0,954,469
1127,170,74,1,685,0,911,440
1128,139,85,1,686,0,907,456
1129,146,91,1,703,0,951,462
1131,114,71,1,574,0,853,387
1132,145,90,1,721,0,982,482
1133,126,70,1,661,0,870,456
1134,123,60,1,593,0,793,409
1135,95,36,1,421,0,521,287
1136,141,62,1,669,0,857,459
1141,156,81,1,812,0,1047,572
1142,122,70,1,667,0,858,461
1143,119,76,1,801,0,1056,594
1144,162,76,1,713,0,928,475
1145,144,59,1,753,0,931,539
1146,147,85,1,791,0,1036,554
1147,133,60,1,734,0,927,536
1148,166,80,1,727,0,992,476
1149,159,73,1,747,0,950,512
1151,0,0,1,0,0,0,0
1152,144,69,1,671,1,898,454
1153,148,79,1,749,0,961,513
1154,0,0,1,0,0,0,0
7001,87,49,1,559,0,742,423
7002,174,111,1,997,0,1225,711
7003,131,69,1,834,0,927,630
7004,100,64,1,808,0,896,635
7005,94,64,1,755,0,853,590
7006,103,63,1,799,0,966,625
7007,131,77,1,870,0,987,651
7008,115,64,1,820,0,882,631
7009,112,57,1,750,1,931,575
7011,74,59,1,621,1,1063,483
7012,134,89,1,925,0,1034,690
7013,92,50,1,640,0,733,493
7014,146,78,1,928,0,1073,693
7015,9,9,1,81,0,113,61
7016,114,70,1,593,0,977,410
7017,53,51,1,469,0,786,367
7018,141,74,1,672,0,992,451
7019,139,74,1,696,0,945,480
7021,91,55,1,631,0,993,478
7022,100,61,1,667,0,1032,494
7023,114,69,1,671,0,938,474
7024,15,8,1,119,0,309,94
7025,33,27,1,266,0,505,205
7026,182,76,1,700,0,1022,429
7027,101,87,1,577,0,879,384
7028,75,58,1,544,0,900,413
7029,72,81,1,525,1,924,365
7030,172,67,1,558,0,787,316
7031,78,59,1,392,0,511,248
7032,104,72,1,589,2,938,401
7033,108,77,1,546,1,814,360
7034,49,46,1,515,0,954,417
7035,54,35,1,341,0,476,251
7036,114,56,1,596,0,967,421
7037,40,49,1,379,0,840,287
7038,129,72,1,595,0,960,393
7039,150,50,1,625,0,831,419
7041,10,11,1,42,0,62,22
7042,99,59,1,514,0,697,353
7043,117,62,1,640,0,990,455
7044,77,58,1,415,0,867,282
7045,143,52,1,531,0,803,333
7046,72,30,1,319,0,435,211
7047,142,67,1,602,0,858,386
7048,88,61,1,518,0,877,366
7049,134,71,1,534,0,829,325
7051,151,85,1,612,0,909,370
7052,190,60,1,675,0,894,420
7053,74,51,1,462,0,552,324
7054,126,69,1,683,0,1068,486
7101,19,16,1,126,0,150,90
7201,172,86,1,868,0,983,641
7202,149,68,1,752,0,885,525
7203,151,101,1,840,0,950,566
7204,141,86,1,833,0,933,593
7205,143,80,1,815,0,903,586
7206,66,31,1,340,0,390,240
7207,93,89,1,595,0,712,406
7208,70,89,1,539,2,635,370
7209,76,48,1,491,0,563,358
7301,141,113,1,813,0,1080,557
7302,140,90,1,732,0,862,497
7303,126,110,1,851,0,1032,614
7304,133,110,1,828,0,993,580
7305,136,77,1,772,0,906,539
7306,141,117,1,882,0,1076,595
7307,113,91,1,674,0,826,460
7308,85,63,1,548,0,641,394
7309,117,83,1,764,0,897,552
7311,119,120,1,853,0,986,596
7312,151,100,1,768,0,874,510
7313,152,93,1,798,0,1001,535
7314,69,104,1,511,1,833,326
7315,84,88,1,597,0,783,413
7316,114,89,1,661,0,893,453
7317,126,73,1,743,1,938,528
7318,128,114,1,689,0,788,434
7319,179,106,1,908,1,1123,606
7321,88,76,1,493,0,683,322
7322,80,111,1,526,0,937,329
7323,116,98,1,727,0,888,501
7324,89,86,1,601,0,756,412
7325,130,96,1,792,0,973,553
7326,128,85,1,749,0,922,526
7327,79,93,1,434,0,762,260
7328,77,156,1,617,1,1024,383
7329,76,57,1,454,0,607,319
7331,123,89,1,793,1,933,565
7332,82,86,1,718,0,889,540
7333,131,132,1,888,0,1101,610
7334,107,104,1,774,0,963,549
7335,133,106,1,894,0,1002,639
7336,139,128,1,883,0,1017,603
7337,102,98,1,755,1,944,543
7338,113,135,1,695,0,1005,438
7339,60,63,1,495,0,660,368
7341,97,89,1,765,0,974,569
7342,115,80,1,791,0,1034,590
7343,64,69,1,618,0,746,481
7344,117,104,1,916,0,1143,689
7345,108,110,1,891,0,1186,662
7346,81,84,1,762,0,991,588
7347,83,87,1,841,0,1085,653
7348,85,74,1,647,0,957,474
7349,112,98,1,771,0,1006,550
7501,98,72,1,522,0,574,345
7502,127,97,1,694,0,808,460
7503,98,81,1,688,0,808,500
7504,37,67,1,420,1,503,301
7505,90,102,1,762,0,915,554
7506,96,94,1,798,0,1018,587
7507,97,73,1,631,1,992,457
7508,86,69,1,606,0,735,443
7509,106,91,1,825,0,1006,618
7512,68,60,1,493,0,638,360
7513,72,90,1,601,0,836,435
7514,63,86,1,544,0,886,389
7515,93,89,1,710,1,898,521
7516,114,103,1,759,0,907,537
7517,96,80,1,826,0,956,642
7518,105,82,1,858,0,993,664
7519,58,81,1,676,0,802,527
7521,51,76,1,726,0,854,589
7522,57,66,1,742,0,848,612
7523,56,63,1,689,0,821,563
7524,58,58,1,532,0,728,410
7525,54,65,1,636,0,870,507
7526,78,76,1,858,0,999,687
7527,69,65,1,624,0,773,476
7529,77,76,1,860,1,992,700
7531,63,80,1,805,1,954,656
7532,96,79,1,741,0,886,558
7533,91,75,1,910,0,1025,731
7534,60,70,1,775,0,967,636
7535,67,60,1,711,0,807,578
7536,69,75,1,775,1,895,622
7537,73,62,1,664,1,783,521
7538,78,67,1,736,0,831,580
7539,66,68,1,821,0,978,684
7541,89,56,1,728,0,865,580
7542,68,49,1,756,0,906,634
7543,64,78,1,806,0,993,661
7544,89,77,1,821,0,962,650
7545,98,88,1,833,0,970,639
7546,86,86,1,817,0,935,635
7547,63,80,1,837,0,1057,679
7548,78,84,1,894,0,1135,725
7549,68,79,1,734,0,854,579
7551,71,65,1,669,0,762,527
7552,71,55,1,678,0,756,541
7553,18,23,1,168,0,187,123
7554,73,72,1,769,0,859,610
7555,96,92,1,846,0,893,646
7556,129,79,1,906,0,1008,688
7601,63,70,1,588,0,929,447
7602,55,69,1,689,0,962,561
7603,59,60,1,690,0,888,563
7604,82,59,1,677,0,989,529
7605,47,58,1,428,0,771,323
7606,78,81,1,640,0,992,477
7607,77,82,1,710,0,1055,538
7608,34,41,1,244,0,456,165
7609,61,116,1,551,0,1051,369
7611,60,82,1,479,0,898,329
7612,65,57,1,418,0,668,289
7613,64,73,1,617,1,1015,470
7614,85,86,1,793,0,1177,618
7615,74,70,1,528,1,1020,376
7616,102,70,1,807,0,981,628
7617,56,85,1,516,0,898,366
7618,91,58,1,689,0,948,539
7619,169,173,1,1485,0,1971,1134
7621,90,84,1,800,0,1082,620
7622,47,79,1,534,0,1007,400
7623,52,60,1,467,0,839,349
7624,56,71,1,565,0,1074,431
7625,98,94,1,617,0,896,419
7626,156,94,1,1011,0,1177,752
7627,224,146,1,1326,0,1586,934
7628,95,71,1,720,0,1006,549
7629,66,59,1,577,0,837,446
7631,128,102,1,915,0,1143,682
7632,60,40,1,532,0,727,430
7633,77,71,1,574,0,731,422
7634,95,86,1,706,0,1017,517
7635,90,55,1,643,0,868,490
7636,140,92,1,784,0,993,546
7637,194,146,1,1151,0,1361,804
7638,226,110,1,1135,0,1285,782
7639,157,102,1,891,0,1011,617
7641,156,69,1,795,1,977,553
7642,109,165,1,810,0,967,520
7643,130,104,1,758,1,959,513
7644,141,121,1,925,1,1111,652
7645,73,73,1,587,0,669,429
7646,267,172,1,1893,0,2163,1419
7647,72,68,1,598,0,1028,452
7648,0,0,1,3,0,4,3
7701,132,106,1,914,0,1049,666
7702,137,71,1,663,0,775,447
7703,9,13,1,100,0,178,71
7704,222,91,1,881,0,1006,557
7705,143,42,1,495,0,554,307
7706,180,65,1,773,0,853,528
7707,148,77,1,784,0,854,550
7708,141,76,1,783,0,894,554
7709,73,34,1,354,0,390,242
7711,119,65,1,685,0,789,495
7712,77,51,1,518,0,577,382
7801,132,84,1,964,0,975,742
7802,84,73,1,723,0,760,559
7803,112,63,1,774,0,827,590
7804,114,75,1,876,0,932,679
7805,63,62,1,761,0,852,632
7806,72,50,1,663,0,746,534
7807,63,41,1,671,0,774,564
7808,51,48,1,578,0,702,475
7809,117,90,1,1091,0,1234,876
7811,59,45,1,696,0,806,580
7812,95,70,1,752,0,892,587
7813,99,81,1,943,0,1061,752
7814,75,60,1,667,1,919,527
7815,96,77,1,879,0,967,699
7816,108,44,1,823,0,896,662
7817,51,52,1,711,0,804,602
7818,74,49,1,787,0,889,656
7819,79,55,1,682,1,809,540
7821,129,61,1,916,0,998,719
7822,88,62,1,776,0,951,625
7823,92,53,1,806,1,928,656
7824,93,45,1,665,0,794,521
7825,51,33,1,521,0,578,434
7826,53,54,1,633,0,709,520
7827,72,60,1,758,0,931,617
7828,135,79,1,924,0,1053,700
7829,145,49,1,841,0,904,641
7831,88,57,1,803,0,906,654
7832,100,43,1,759,0,824,607
7833,78,42,1,710,0,785,582
7834,72,66,1,775,0,901,629
7835,127,58,1,785,0,863,591
7836,152,60,1,903,0,990,684
7837,104,77,1,840,0,934,651
7838,124,63,1,839,0,933,648
7839,105,53,1,785,0,869,609
7841,75,58,1,839,0,947,696
7842,84,55,1,864,0,960,716
7843,66,47,1,679,0,802,558
7844,54,46,1,594,0,682,490
7845,117,71,1,783,0,869,592
7846,99,59,1,814,0,925,644
7847,106,67,1,843,0,960,664
7848,92,67,1,818,0,905,655
7849,91,49,1,864,0,967,723
7851,102,36,1,472,0,528,330
7852,113,34,1,584,0,644,430
7853,104,67,1,770,1,896,590
7854,105,69,1,825,0,933,641
7855,97,71,1,870,0,968,694
7856,89,74,1,769,0,849,598
7857,94,38,1,854,0,963,715
7858,73,42,1,674,0,791,552
7859,127,64,1,834,0,915,635
7861,126,65,1,776,0,881,560
7862,102,73,1,815,0,923,632
7863,84,64,1,819,0,939,666
7864,97,53,1,703,0,815,553
7865,96,66,1,754,0,853,581
7866,154,59,1,746,1,831,528
7867,129,56,1,822,0,946,632
7868,109,49,1,764,0,901,593
7869,108,55,1,789,1,874,619
7871,118,57,1,804,0,909,625
7872,103,65,1,819,0,902,650
7873,99,50,1,788,0,874,632
7874,67,27,1,408,1,482,311
7875,57,45,1,525,0,628,421
7901,96,103,1,952,0,1286,752
7902,84,60,1,842,0,1064,683
7903,72,55,1,652,0,929,519
7904,65,56,1,694,0,926,566
7905,82,43,1,718,0,851,587
7906,56,59,1,653,0,854,534
7907,75,84,1,834,0,991,665
7908,89,96,1,872,0,1008,680
7909,55,67,1,644,0,787,519
7911,105,61,1,734,0,907,558
7912,71,96,1,874,0,1090,700
7913,98,54,1,800,0,964,642
7914,86,60,1,752,0,895,598
7915,76,59,1,716,0,892,579
7916,57,52,1,768,1,953,652
7917,76,66,1,868,0,1073,715
7918,68,56,1,697,0,860,570
7919,55,62,1,767,0,928,649
